㔢	t͡ɕyəʔ²
中华人民共和国	t͡suŋ¹¹ xua¹¹ t͡səŋ¹¹ miŋ¹¹ kuŋ⁴⁵ xuɤ¹¹ kuəʔ²
中华民国	t͡suŋ¹¹ xua¹¹ miŋ¹¹ kuəʔ²
中奖	t͡suŋ⁴⁵ t͡ɕiɒ̃⁵³
中式	t͡suŋ¹¹ sz̩⁴⁵
中暑	t͡suŋ⁴⁵ su⁵³
中獎	t͡suŋ⁴⁵ t͡ɕiɒ̃⁵³
中華人民共和國	t͡suŋ¹¹ xua¹¹ t͡səŋ¹¹ miŋ¹¹ kuŋ⁴⁵ xuɤ¹¹ kuəʔ²
中華民國	t͡suŋ¹¹ xua¹¹ miŋ¹¹ kuəʔ²
中路梆子	t͡suŋ¹¹ ləu⁴⁵ pɒ̃¹¹ t͡səʔ²
中間	t͡suŋ¹¹ t͡ɕie¹¹
中间	t͡suŋ¹¹ t͡ɕie¹¹
中風	t͡suŋ⁴⁵ fəŋ¹¹
中风	t͡suŋ⁴⁵ fəŋ¹¹
串亲戚	t͡sʰuæ̃⁴⁵ t͡ɕʰiŋ¹¹ t͡ɕʰiŋ⁴⁵
串親戚	t͡sʰuæ̃⁴⁵ t͡ɕʰiŋ¹¹ t͡ɕʰiŋ⁴⁵
临	liŋ¹¹
丸	væ̃¹¹
丸药	væ̃¹¹ iəʔ²
丸藥	væ̃¹¹ iəʔ²
丹	tæ̃¹¹
为	vei¹¹
为甚	vei⁴⁵ səŋ⁴⁵
主	t͡su⁵³
主教	t͡su⁵³ t͡ɕiau⁴⁵
主顧	t͡su⁵³ ku⁴⁵
主顾	t͡su⁵³ ku⁴⁵
举	t͡ɕy⁵³
举手	t͡ɕy⁵³⁻¹¹ səu⁵³
乃	nai⁵³
久	t͡ɕiəu⁵³
义	i⁴⁵
之	t͡sz̩¹¹
乌	vu¹¹
乌贼	vu¹¹ t͡sei¹¹
乌贼鱼	vu¹¹ t͡sei¹¹ y¹¹
乌龟	vu¹¹ kuei¹¹
乎	xu¹¹
乐	yəʔ²
乒乓球	pʰiŋ¹¹ pʰa¹¹ t͡ɕʰiəu¹¹
乔	t͡ɕʰiau¹¹
乘	t͡sʰəŋ¹¹
乙	iəʔ²
九	t͡ɕiəu⁵³
九十	t͡ɕiəu⁵³⁻¹¹ səʔ⁵⁴
乞	t͡ɕʰiəʔ²
也	ie⁵³
习	ɕiəʔ⁵⁴
乡	ɕiɒ̃¹¹
乡俗	ɕiɒ̃¹¹ ɕyəʔ⁵⁴
书	su¹¹
书包	su¹¹ pau¹¹
买	mai⁵³
买主	mai⁵³⁻¹¹ t͡su⁵³
买卖	mai⁵³ mai⁴⁵
买卖人	mai⁵³ mai⁴⁵ ʐəŋ¹¹
乱	luæ̃⁴⁵
乱七八糟	luæ̃⁴⁵ t͡ɕʰiəʔ² paʔ²⁻⁵⁴ t͡sau¹¹
乱哄哄	luæ̃⁴⁵ xuŋ¹¹ xuŋ¹¹
乱套	luæ̃⁴⁵ tʰau⁴⁵
乳	ʐu⁵³
乾	kæ̃¹¹
乾井	kæ̃¹¹ t͡ɕiŋ⁵³
乾兒子	kæ̃¹¹ əɻ¹¹ t͡səʔ²
乾杯	kæ̃¹¹ pei¹¹
