㔢	t͡ɕyəʔ²
出门子	t͡sʰuəʔ²⁻⁵⁴ məŋ¹¹ t͡səʔ²
出阁	t͡sʰuəʔ²⁻⁵⁴ kaʔ²
出院	t͡sʰuəʔ² ye⁴⁵
出麻疹	t͡sʰuəʔ²⁻⁵³ ma¹¹ t͡səŋ⁵³
函	xæ̃¹¹
凿子	t͡sau¹¹ t͡səʔ²
刀	tau¹¹
刀刀	tau¹¹ tau¹¹⁻⁴⁵
刀刃	tau¹¹ t͡səŋ⁴⁵
刀削面	tau¹¹ ɕyəʔ² mie⁴⁵
刀削麵	tau¹¹ ɕyəʔ² mie⁴⁵
刀子	tau¹¹ t͡səʔ²
刃	ʐəŋ⁴⁵
分	fəŋ¹¹
切	t͡sʰiaʔ²
刊	kʰæ̃¹¹
刑	ɕiŋ¹¹
刑事	ɕiŋ¹¹ sz̩⁴⁵
刑场	ɕiŋ¹¹ t͡sʰɒ̃⁵³
刑場	ɕiŋ¹¹ t͡sʰɒ̃⁵³
列	liəʔ²
则	t͡saʔ²
刚	kɒ̃¹¹
刚刚	t͡ɕiɒ̃¹¹ t͡ɕiɒ̃¹¹⁻⁴⁵
刚好	t͡ɕiɒ̃¹¹ xau⁵³
初	t͡sʰu¹¹
初一	t͡sʰu¹¹ iəʔ²
删	sæ̃¹¹
判	pʰæ̃⁴⁵
判官	pʰæ̃⁴⁵ kuæ̃¹¹
別	piəʔ⁵⁴
別針兒	piəʔ⁵⁴ t͡səɻ¹¹
刨花儿	pau⁴⁵ xuɑɻ¹¹
刨花兒	pau⁴⁵ xuɑɻ¹¹
利	li⁴⁵
刪	sæ̃¹¹
别	piəʔ⁵⁴
别针儿	piəʔ⁵⁴ t͡səɻ¹¹
刮	kuaʔ²
刮虱子	kuaʔ²⁻⁵⁴ saʔ² t͡səʔ³
刮蝨子	kuaʔ²⁻⁵⁴ saʔ² t͡səʔ³
刮风	kuaʔ²⁻⁵⁴ fəŋ¹¹
到	tau⁴⁵
制	t͡sz̩⁴⁵
制服	t͡sz̩⁴⁵ fəʔ⁵⁴
刷	suaʔ²
刷子	suaʔ² t͡səʔ³
刷牙	suaʔ²⁻⁵⁴ ia¹¹
刹	saʔ²
刹车	saʔ²⁻⁵⁴ t͡sʰɤ¹¹
刺	t͡sʰz̩⁴⁵
刻	kʰəʔ²
剃头	tʰi⁴⁵ tʰəu¹¹
剃头的	tʰi⁴⁵ tʰəu¹¹ təʔ²
剃头铺	tʰi⁴⁵ tʰəu¹¹ pʰu⁴⁵
剃頭	tʰi⁴⁵ tʰəu¹¹
剃頭的	tʰi⁴⁵ tʰəu¹¹ təʔ²
剃頭鋪	tʰi⁴⁵ tʰəu¹¹ pʰu⁴⁵
則	t͡saʔ²
削	ɕyəʔ²
削面	ɕyəʔ² mie⁴⁵
削麵	ɕyəʔ² mie⁴⁵
前	t͡ɕʰie¹¹
前些年	t͡ɕʰie¹¹ ɕie¹¹ nie¹¹
前几天	t͡ɕʰie¹¹ t͡ɕi⁵³ tʰie¹¹
前半夜	t͡ɕʰie¹¹ pæ̃⁴⁵ ie⁴⁵
前半年	t͡ɕʰie¹¹ pæ̃⁴⁵ nie¹¹
前天	t͡ɕʰie¹¹ tʰie¹¹
前头	t͡ɕʰie¹¹ tʰəu⁴⁵
前年	t͡ɕʰie¹¹ nie¹¹
前幾天	t͡ɕʰie¹¹ t͡ɕi⁵³ tʰie¹¹
前晌	t͡ɕʰie¹¹ t͡sʰɒ̃⁵³
前面	t͡ɕʰie¹¹ mie⁴⁵
前頭	t͡ɕʰie¹¹ tʰəu⁴⁵
剎	saʔ²
剎車	saʔ²⁻⁵⁴ t͡sʰɤ¹¹
剑	t͡ɕie⁴⁵
剔	tʰiəʔ²
剖膛	pʰau¹¹ tʰɒ̃¹¹
剛	kɒ̃¹¹
剛剛	t͡ɕiɒ̃¹¹ t͡ɕiɒ̃¹¹⁻⁴⁵
剛好	t͡ɕiɒ̃¹¹ xau⁵³
剝皮魚	paʔ²⁻⁵⁴ pʰi¹¹ y¹¹
剥皮鱼	paʔ²⁻⁵⁴ pʰi¹¹ y¹¹
剩	səŋ⁴⁵
剪	t͡ɕie⁵³
副	fu⁴⁵
割	kuaʔ²
劁	t͡ɕʰiau¹¹
劍	t͡ɕie⁴⁵
力	liəʔ²
劝	t͡ɕʰye⁴⁵
劝酒	t͡ɕʰye⁴⁵ t͡ɕiəu⁵³
办	pæ̃⁴⁵
功	kuŋ¹¹
功底	kuŋ¹¹ ti⁵³
功臣	kuŋ¹¹ t͡sʰəŋ¹¹
功課	kuŋ¹¹ kʰuɤ⁴⁵
功课	kuŋ¹¹ kʰuɤ⁴⁵
加	t͡ɕia¹¹
加油	t͡ɕia¹¹ iəu¹¹
务	vu⁴⁵
劣	lyəʔ²
动	tuŋ⁴⁵
助	t͡su⁴⁵
劳驾	lau¹¹ t͡ɕia⁴⁵
勃	pəʔ⁵⁴
勇	yŋ⁵³
勇敢	yŋ⁵³⁻¹¹ kæ̃⁵³
勇气	yŋ⁵³ t͡ɕʰi⁴⁵
勇氣	yŋ⁵³ t͡ɕʰi⁴⁵
勋	ɕyŋ¹¹
動	tuŋ⁴⁵
務	vu⁴⁵
勛	ɕyŋ¹¹
勞駕	lau¹¹ t͡ɕia⁴⁵
勤	t͡ɕʰiŋ¹¹
勸	t͡ɕʰye⁴⁵
勸酒	t͡ɕʰye⁴⁵ t͡ɕiəu⁵³
勺	saʔ⁵⁴
勺子	saʔ⁵⁴ t͡səʔ¹
勾	kəu¹¹
包	pau¹¹
包包	pau¹¹ pau¹¹⁻⁴⁵
包头白	pau¹¹ tʰəu¹¹ pai¹¹
包頭白	pau¹¹ tʰəu¹¹ pai¹¹
化	xua⁴⁵
化妆	xua⁴⁵ t͡suɒ̃¹¹
化妝	xua⁴⁵ t͡suɒ̃¹¹
化肥	xua⁴⁵ fei¹¹
化食胆	xua⁴⁵ səʔ⁵⁴⁻² tæ̃⁵³
化食膽	xua⁴⁵ səʔ⁵⁴⁻² tæ̃⁵³
北	pei⁵³
北京	pei⁵³ t͡ɕiŋ¹¹
北半切	pei⁵³ pæ̃⁴⁵ t͡ɕʰiaʔ²
北斗七星	pei⁵³⁻¹¹ təu⁵³ t͡ɕʰiəʔ²⁻⁵⁴ ɕiŋ¹¹
北路梆子	pei⁵³ ləu⁴⁵ pɒ̃¹¹ t͡səʔ²
北鞑子	pei⁵³ taʔ⁵⁴ t͡səʔ¹
北韃子	pei⁵³ taʔ⁵⁴ t͡səʔ¹
北風	pei⁵³ fəŋ¹¹
北风	pei⁵³ fəŋ¹¹
匙匙	sz̩¹¹ sz̩¹¹⁻⁴⁵
匠	t͡ɕiɒ̃⁴⁵
匪	fei⁵³
区	t͡ɕʰy¹¹
医	i¹¹
医生	i¹¹ səŋ¹¹
医院	i¹¹ ye⁴⁵
匾	pie⁵³
匿	nəʔ²
匿名	nəʔ²⁻⁵⁴ miŋ¹¹
匿名信	nəʔ²⁻⁵⁴ miŋ¹¹ ɕiŋ⁴⁵
區	t͡ɕʰy¹¹
十	səʔ⁵⁴
十一	səʔ⁵⁴ iəʔ²
十七	səʔ⁵⁴ t͡ɕʰiəʔ²
十三	səʔ⁵⁴ sæ̃¹¹
十九	səʔ⁵⁴⁻² t͡ɕiəu⁵³
十二	səʔ⁵⁴⁻² əɻ⁴⁵
十五	səʔ⁵⁴⁻² vu⁵³
十八	səʔ⁵⁴ paʔ²
千	t͡ɕʰie¹¹
千斤頂	t͡ɕʰie¹¹ t͡ɕiŋ¹¹ tiŋ⁵³
千斤顶	t͡ɕʰie¹¹ t͡ɕiŋ¹¹ tiŋ⁵³
午	u⁵³
半	pæ̃⁴⁵
半切	pæ̃⁴⁵ t͡ɕʰiaʔ²
半夜	pæ̃⁴⁵ ie⁴⁵
半夜五更	pæ̃⁴⁵ ie⁴⁵ vu⁵³ t͡ɕiŋ¹¹
半天	pæ̃⁴⁵ tʰie¹¹
半晌	pæ̃⁴⁵ sɒ̃⁵³
半身不遂	pæ̃⁴⁵ səŋ¹¹ pəʔ² suei¹¹
华	xua¹¹
协	ɕiəʔ²
卑	pei¹¹
卒	t͡suəʔ²
卒子	t͡suəʔ² t͡səʔ³
協	ɕiəʔ²
单	tæ̃¹¹
单三三	tæ̃¹¹ sæ̃¹¹ sæ̃¹¹⁻⁴⁵
单意	tæ̃¹¹ i⁴⁵
单皮皮眼	tæ̃¹¹ pʰi¹¹ pʰi¹¹⁻⁴⁵ nie⁵³
单立人儿	tæ̃¹¹ liəʔ²⁻⁵⁴ ʐʌ̃ɻ¹¹
单耳朵	tæ̃¹¹ əɻ⁵³ tuɤ¹¹
卖	mai⁴⁵
卖张口儿	mai⁴⁵ t͡sɒ̃¹¹ kʰəuɻ⁵³
南	næ̃¹¹
南瓜	næ̃¹¹ kua¹¹
卜	pei⁴⁵
卦	kua⁴⁵
卧	vɤ⁴⁵
卫	vei⁴⁵
卯窍	mau⁵³ t͡ɕʰiau⁴⁵
卯竅	mau⁵³ t͡ɕʰiau⁴⁵
印	iŋ⁴⁵
印蓝纸	iŋ⁴⁵ læ̃¹¹ t͡sz̩⁵³
印藍紙	iŋ⁴⁵ læ̃¹¹ t͡sz̩⁵³
危	vei¹¹
即	t͡ɕiəʔ²
即便	t͡ɕiəʔ² pie⁴⁵
却	t͡ɕʰiəʔ²
卵	luæ̃⁵³
卷子	t͡ɕye⁴⁵ t͡səʔ⁴
卸	ɕie⁴⁵
卻	t͡ɕʰiəʔ²
历	liəʔ²
历头	liəʔ²⁻⁵⁴ tʰəu¹¹
厉	li⁴⁵
厉害	li⁴⁵ xai⁴⁵⁻⁵³
压岁钱	iaʔ² suei⁴⁵ t͡ɕʰie¹¹
压石	iaʔ²⁻⁴⁵ səʔ⁵⁴
厕	t͡sʰəʔ²
厘	li¹¹
厚	xəu⁴⁵
原	ye¹¹
原告	ye¹¹ kau⁴⁵
原子笔	ye¹¹ t͡səʔ² piəʔ²
原子筆	ye¹¹ t͡səʔ² piəʔ²
原煤	ye¹¹ mei⁵³
厨	t͡sʰu¹¹
厨子	t͡sʰu¹¹ t͡səʔ²
厨房	t͡sʰu¹¹ fɒ̃¹¹
厲	li⁴⁵
厲害	li⁴⁵ xai⁴⁵⁻⁵³
去	t͡ɕʰy⁴⁵
去年	t͡ɕʰy⁴⁵ nie¹¹
县	ɕie⁴⁵
参	səŋ¹¹
參	səŋ¹¹
又	iəu⁴⁵
叉	t͡sʰa¹¹
及	t͡ɕiəʔ⁵⁴
及格	t͡ɕiəʔ⁵⁴ kaʔ²
友	iəu⁵³
双	suɒ̃¹¹
双喜	suɒ̃¹¹ ɕi⁵³
双圪棱棱眼	suɒ̃¹¹ kəʔ⁵⁴ ləŋ¹¹ ləŋ¹¹⁻⁴⁵ nie⁵⁴
双生生	t͡sʰuɒ̃⁴⁵ səŋ¹¹ səŋ¹¹⁻⁴⁵
反	fæ̃⁵³
反倒	fæ̃⁵³ tau⁴⁵
发	faʔ²
发咾猛财的	faʔ² lau⁵³⁻¹¹ məŋ⁵³ t͡sʰai¹¹ təʔ²
发大水	faʔ² ta⁴⁵ suei⁵³
发引	faʔ²⁻⁴⁵ iŋ⁵³
发毛	faʔ²⁻⁵⁴ mau¹¹
发炎	faʔ² ie⁴⁵
发烧	faʔ²⁻⁵⁴ sau¹¹
发疯	faʔ²⁻⁵⁴ fəŋ¹¹
发票	faʔ² pʰiau⁴⁵
发糕	faʔ²⁻⁵⁴ kau¹¹
发霉	faʔ²⁻⁵⁴ mei¹¹
发面	faʔ² mie⁴⁵
叔	suəʔ²
叔伯兄弟	suəʔ²⁻⁴⁵ piəʔ⁵⁴ ɕyŋ¹¹ ti⁴⁵
叔伯哥哥	suəʔ²⁻⁴⁵ piəʔ⁵⁴ kɤ¹¹ kɤ¹¹⁻⁴⁵
叔伯妹妹	suəʔ²⁻⁴⁵ piəʔ⁵⁴ mei⁴⁵ mei⁴⁵⁻⁵³
叔伯姐姐	suəʔ²⁻⁴⁵ piəʔ⁵⁴ t͡ɕie⁵³ t͡ɕie⁵³⁻¹¹
叔伯弟弟	suəʔ²⁻⁴⁵ piəʔ⁵⁴ ti⁴⁵ ti⁴⁵⁻⁵³
叔叔	suəʔ²⁻⁵⁴ suəʔ²
取	t͡sʰəʔ²
取灯	t͡ɕʰyəʔ²⁻⁵⁴ təŋ¹¹
取燈	t͡ɕʰyəʔ²⁻⁵⁴ təŋ¹¹
受	səu⁴⁵
受热	səu⁴⁵ ʐaʔ²
受熱	səu⁴⁵ ʐaʔ²
受苦	səu⁴⁵ kʰu⁵³
受苦人	səu⁴⁵ kʰu⁵³ ʐəŋ¹¹
变	pie⁴⁵
变卖	pie⁴⁵ mai⁴⁵
变戏法	pie⁴⁵ ɕi⁴⁵ faʔ²
变蛋	pie⁴⁵ tæ̃⁴⁵
口	kʰəu⁵³
口供	kʰəu⁵³ kuŋ⁴⁵
口泼	kʰəu⁵³ pʰaʔ²
口潑	kʰəu⁵³ pʰaʔ²
口紅	kʰəu⁵³ xuŋ¹¹
口红	kʰəu⁵³ xuŋ¹¹
古	ku⁴⁵
句	t͡ɕy⁴⁵
另外	liŋ⁴⁵ vai⁴⁵
只	t͡sz̩⁵³
只好	t͡sz̩⁵³⁻¹¹ xau⁵³
叫	t͡ɕiau⁴⁵
叫蚱蚱	t͡ɕiau⁴⁵ t͡sa⁵³ t͡sa⁵³⁻¹¹
叫驢	t͡ɕiau⁴⁵ ly¹¹
叫驴	t͡ɕiau⁴⁵ ly¹¹
召	t͡sau¹¹
可	kʰɤ⁵³
台	tʰai¹¹
台灯	tʰai¹¹ təŋ¹¹
台风	tʰai¹¹ fəŋ¹¹
史	sz̩⁵³
右	iəu⁴⁵
右半切	iəu⁴⁵ pæ̃⁴⁵ t͡ɕʰiaʔ²
右手	iəu⁴⁵ səu⁵³
叶	iəʔ²
叶子	iəʔ² t͡səʔ³
号	xau⁴⁵
司	sz̩¹¹
司仪	sz̩¹¹ i¹¹
司儀	sz̩¹¹ i¹¹
司机	sz̩¹¹ t͡ɕi¹¹
司機	sz̩¹¹ t͡ɕi¹¹
司馬	sz̩¹¹ ma⁵³
司马	sz̩¹¹ ma⁵³
叹	tʰæ̃⁴⁵
叽	t͡ɕiau⁴⁵
吃	t͡sʰəʔ²
吃亏	t͡sʰəʔ²⁻⁵⁴ kʰuei¹¹
吃烟	t͡sʰəʔ²⁻⁵⁴ ie¹¹
吃煙	t͡sʰəʔ²⁻⁵⁴ ie¹¹
吃独食	t͡sʰəʔ² tuəʔ⁵⁴⁻² səʔ⁵⁴
吃猴虫	t͡sʰəʔ²⁻⁵⁴ xəu¹¹ t͡sʰuŋ¹¹
吃猴蟲	t͡sʰəʔ²⁻⁵⁴ xəu¹¹ t͡sʰuŋ¹¹
吃獨食	t͡sʰəʔ² tuəʔ⁵⁴⁻² səʔ⁵⁴
吃素	t͡sʰəʔ² su⁴⁵
吃虧	t͡sʰəʔ²⁻⁵⁴ kʰuei¹¹
吃醋	t͡sʰəʔ² t͡sʰu⁴⁵
吃飯	t͡sʰəʔ² fæ̃⁴⁵
吃饭	t͡sʰəʔ² fæ̃⁴⁵
各	kaʔ²
合	xaʔ⁵⁴
吉	t͡ɕiəʔ²
吉兆	t͡ɕiəʔ² t͡sau⁴⁵
吉日	t͡ɕiəʔ²⁻⁵⁴ ʐəʔ²
吉祥	t͡ɕiəʔ²⁻⁵⁴ ɕiɒ̃¹¹
同	tʰuŋ¹¹
同伙	tʰuŋ¹¹ xuɤ⁵³
同夥	tʰuŋ¹¹ xuɤ⁵³
同学	tʰuŋ¹¹ ɕyəʔ⁵⁴
同學	tʰuŋ¹¹ ɕyəʔ⁵⁴
同岁	tʰuŋ¹¹ suei⁴⁵
同歲	tʰuŋ¹¹ suei⁴⁵
同謀	tʰuŋ¹¹ mu¹¹
同谋	tʰuŋ¹¹ mu¹¹
同輩	tʰuŋ¹¹ pei⁴⁵
同辈	tʰuŋ¹¹ pei⁴⁵
名	miŋ¹¹
名片	miŋ¹¹ pʰie⁴⁵
后	xəu⁴⁵
后半夜	xəu⁴⁵ pæ̃⁴⁵ ie⁴⁵
后半年	xəu⁴⁵ pæ̃⁴⁵ nie¹¹
后场	xəu⁴⁵ t͡sʰɒ̃⁵³
后天	xəu⁴⁵ tʰie¹¹
后头	xəu⁴⁵ tʰəu⁵³
后奔蛋	xəu⁴⁵ pəŋ¹¹ tæ̃⁴⁵
后妈	xəu⁴⁵ ma¹¹
后婚婆姨	xəu⁴⁵ xuŋ¹¹ pʰɤ¹¹ i¹¹
后婚汉	xəu⁴⁵ xuŋ¹¹ xæ̃⁴⁵
后年	xəu⁴⁵ nie¹¹
后影	xəu⁴⁵ iŋ⁵³
后悔	xəu⁴⁵ xuei⁵³
后抱抱	xəu⁴⁵ pau⁴⁵ pau⁴⁵⁻⁵³
后晌	xəu⁴⁵ t͡sʰɒ̃⁵³
后来	xəu⁴⁵ lai¹¹
后槽牙	xəu⁴⁵ t͡sʰau¹¹ nia¹¹
后爸爸	xəu⁴⁵ pa⁴⁵ pa⁴⁵⁻⁵³
后疙瘩	xəu⁴⁵ kəʔ²⁻⁵⁴ taʔ²
后福	xəu⁴⁵ fəʔ²
后老子	xəu⁴⁵ lau⁵³ t͡səʔ¹
后脊梁	xəu⁴⁵ t͡ɕiəʔ² niɒ̃⁴⁵
后襟	xəu⁴⁵ t͡ɕiŋ¹¹
后跟	xəu⁴⁵ kəŋ¹¹
后门	xəu⁴⁵ məŋ¹¹
后面	xəu⁴⁵ mie⁵³
吐沫	tʰu⁴⁵ maʔ²
向阳	ɕiɒ̃⁴⁵ iɒ̃¹¹
向陽	ɕiɒ̃⁴⁵ iɒ̃¹¹
吓	xaʔ²
君	t͡ɕyŋ¹¹
吝	liŋ⁴⁵
吝啬	liŋ⁴⁵ saʔ²
吝嗇	liŋ⁴⁵ saʔ²
否	fu⁵³
吨	tuaŋ¹¹
听	tʰiŋ¹¹
听见	tʰiŋ¹¹ t͡ɕie⁴⁵
听说	tʰiŋ¹¹ suəʔ²
启	t͡ɕʰi⁵³
启明	t͡ɕʰi⁵³ miŋ¹¹
吳	vu¹¹
吴	vu¹¹
吸	ɕiəʔ²
吸鐵石	ɕiəʔ²⁻⁵⁴ tʰiəʔ² səʔ⁵⁴
吸铁石	ɕiəʔ²⁻⁵⁴ tʰiəʔ² səʔ⁵⁴
吹	t͡sʰuei¹¹
吹打的	t͡sʰuei¹¹ ta⁵³ təʔ¹
吹牛屄	t͡sʰuei¹¹ niəu¹¹ pi¹¹
吼	xəu⁵³
呈	t͡sʰəŋ¹¹
告	kau⁴⁵
告示	kau⁴⁵ sz̩⁴⁵
员	ye¹¹
呢子	ni¹¹ t͡səʔ²
周	t͡səu¹¹
味	vei⁴⁵
味精	vei⁴⁵ t͡ɕiŋ¹¹
味道	vei⁴⁵ tau⁵³
呵水	xɤ¹¹ suei⁵³
呼噜	xuəʔ² ləu⁴⁵
呼嚕	xuəʔ² ləu⁴⁵
命	miŋ⁴⁵
命令	miŋ⁴⁵ liŋ⁴⁵
和	xuɤ¹¹
和尚	xuɤ¹¹ sɒ̃⁴⁵
咙	luŋ¹¹
咱	t͡sa⁵³
咱们	t͡sa⁵³ mɤ¹
咱們	t͡sa⁵³ mɤ¹
咳嗽	kʰaʔ² səu⁴⁵
咶咶油	kuaʔ² kuaʔ² iəu¹¹
咸	ɕie¹¹
咸盐	ɕie¹¹ ie¹¹
咸菜	ɕie¹¹ t͡sʰai⁴⁵
咸鸭蛋	ɕie¹¹ iaʔ² tæ̃⁴⁵
咾	lau⁵³
哀	ɣai¹¹
哀乐	ɣai¹¹ yəʔ²
哀樂	ɣai¹¹ yəʔ²
品	piŋ⁵³
哈	xa¹¹
哈气	xa¹¹ t͡ɕʰi⁴⁵
哈氣	xa¹¹ t͡ɕʰi⁴⁵
哈腰	xa¹¹ iau¹¹
响	ɕiɒ̃⁵³
响工	ɕiɒ̃⁵³ kuŋ¹¹
响忽雷	ɕiɒ̃⁵³ xuəʔ²⁻⁵⁴ luei¹¹
响雷	ɕiɒ̃⁵³ luei¹¹
員	ye¹¹
哥	kɤ¹¹
哥哥	kɤ¹¹ kɤ¹¹⁻⁴⁵
哪个	na⁵³ kɤ⁴⁵
哪些	na⁵³ ɕie¹¹
哪個	na⁵³ kɤ⁴⁵
哪儿家	nɑɻ⁵³ t͡ɕia¹¹
哪兒家	nɑɻ⁵³ t͡ɕia¹¹
哪块	na⁵³ kʰuai⁴⁵
哪塊	na⁵³ kʰuai⁴⁵
哪裡	na⁵³ lɤ¹¹
哪里	na⁵³ lɤ¹¹
哪阵子	na⁵³ t͡səŋ⁴⁵ t͡səʔ⁴
哪陣子	na⁵³ t͡səŋ⁴⁵ t͡səʔ⁴
哭	kʰuəʔ²
哭哭生	kʰuəʔ² kʰuəʔ²⁻⁵⁴ səŋ¹¹
哭穷	kʰuəʔ²⁻⁵⁴ t͡ɕʰyŋ¹¹
哭窮	kʰuəʔ²⁻⁵⁴ t͡ɕʰyŋ¹¹
唐	tʰɒ̃¹¹
唱	t͡sʰɒ̃⁴⁵
唾	tʰɤ⁴⁵
唾沫	tʰɤ⁴⁵ maʔ²
商	sɒ̃¹¹
問	vəŋ⁴⁵
啟	t͡ɕʰi⁵³
啟明	t͡ɕʰi⁵³ miŋ¹¹
啤	pʰi¹¹
啤酒	pʰi¹¹ t͡ɕiəu⁵³
啬	saʔ²
啼	tʰi¹¹
善	sæ̃⁴⁵
善蛇	sæ̃⁴⁵ sɤ¹¹
喇叭花	la⁵³ pa²⁻⁵⁴ xua¹¹
喉	xuəʔ⁵⁴
喉咙	xuəʔ⁵⁴ luŋ¹¹
喉嚨	xuəʔ⁵⁴ luŋ¹¹
喊	xæ̃⁵³
喜	ɕi⁵³
喜房	ɕi⁵³ fɒ̃¹¹
喜欢	ɕi⁵³ xuæ̃¹¹
喜歡	ɕi⁵³ xuæ̃¹¹
喜鵲子	ɕi⁵³ t͡ɕʰiaʔ² t͡səʔ³
喜鹊子	ɕi⁵³ t͡ɕʰiaʔ² t͡səʔ³
喝	xaʔ²
喝礼生	xaʔ² li⁵³ səŋ¹¹
喝禮生	xaʔ² li⁵³ səŋ¹¹
喝茶	xaʔ²⁻⁵⁴ t͡sʰa¹¹
喝酒	xaʔ²⁻⁴⁵ t͡ɕiəu⁵³
喪	sɒ̃¹¹
喪棒	sɒ̃¹¹ pɒ̃⁴⁵
喬	t͡ɕʰiau¹¹
單	tæ̃¹¹
單三三	tæ̃¹¹ sæ̃¹¹ sæ̃¹¹⁻⁴⁵
單意	tæ̃¹¹ i⁴⁵
單皮皮眼	tæ̃¹¹ pʰi¹¹ pʰi¹¹⁻⁴⁵ nie⁵³
單立人兒	tæ̃¹¹ liəʔ²⁻⁵⁴ ʐʌ̃ɻ¹¹
單耳朵	tæ̃¹¹ əɻ⁵³ tuɤ¹¹
喷	pʰəŋ⁵³
嗇	saʔ²
嗉	su⁴⁵
嗉子	su⁴⁵ t͡səʔ⁴
嘆	tʰæ̃⁴⁵
嘉	t͡ɕia¹¹
嘟噜	tuəʔ²⁻⁵⁴ lu¹¹
嘟嚕	tuəʔ²⁻⁵⁴ lu¹¹
嘬	t͡suɤ¹¹
嘱咐	t͡suəʔ² fu⁴⁵
嘴	t͡suei⁵³
嘴岔窝	t͡suei⁵³ t͡sʰa⁴⁵ vɤ¹¹
嘴岔窩	t͡suei⁵³ t͡sʰa⁴⁵ vɤ¹¹
嘴臭	t͡suei⁵³ t͡sʰəu⁴⁵
噁心	ɣaʔ²⁻⁵⁴ ɕiŋ¹¹
噘嘴凹脸	t͡ɕyəʔ²⁻⁴⁵ t͡suei⁵³ va⁴⁵ lie⁵³
噘嘴凹臉	t͡ɕyəʔ²⁻⁴⁵ t͡suei⁵³ va⁴⁵ lie⁵³
器	t͡ɕʰi⁴⁵
噴	pʰəŋ⁵³
噸	tuaŋ¹¹
嚇	xaʔ²
嚏	tʰi⁴⁵
嚏喷	tʰi⁴⁵ pʰəŋ⁵³
嚏噴	tʰi⁴⁵ pʰəŋ⁵³
嚨	luŋ¹¹
嚴	ie¹¹
嚼	t͡ɕiau¹¹
囊	nɒ̃¹¹
囑咐	t͡suəʔ² fu⁴⁵
囚	ɕiəu¹¹
囚犯	t͡ɕʰiəu¹¹ fæ̃⁴⁵
四	sz̩⁴⁵
四平八稳	sz̩⁴⁵ pʰiŋ¹¹ paʔ² vəŋ⁵³
四平八穩	sz̩⁴⁵ pʰiŋ¹¹ paʔ² vəŋ⁵³
四拇指头	sz̩⁴⁵ məʔ⁴ t͡səʔ² tʰəu⁴⁵
四拇指頭	sz̩⁴⁵ məʔ⁴ t͡səʔ² tʰəu⁴⁵
四界	sz̩⁴⁵ t͡ɕie⁴⁵
四眼儿	sz̩⁴⁵ ieɻ⁵³
四眼兒	sz̩⁴⁵ ieɻ⁵³
四股子	sz̩⁴⁵ ku⁵³ t͡səʔ¹
回	xuei¹¹
回來	xuei¹¹ lai¹¹
回去	xuei¹¹ kəʔ²
回回	xuei¹¹ xuei¹¹⁻⁴⁵
回来	xuei¹¹ lai¹¹
囟門子	ɕiŋ⁴⁵ məŋ¹¹ t͡səʔ²
囟门子	ɕiŋ⁴⁵ məŋ¹¹ t͡səʔ²
因	iŋ¹¹
因为	iŋ¹¹ vei¹¹
因为甚	iŋ¹¹ vei⁴⁵ səŋ⁴⁵
因為	iŋ¹¹ vei¹¹
因為甚	iŋ¹¹ vei⁴⁵ səŋ⁴⁵
团	tʰuæ̃¹¹
囫囵	xuəʔ²⁻⁵⁴ luŋ¹¹
囫圇	xuəʔ²⁻⁵⁴ luŋ¹¹
园	ye¹¹
围	vei¹¹
围巾	vei¹¹ t͡ɕiŋ¹¹
围棋	vei¹¹ t͡ɕʰi¹¹
国	kuəʔ²
国字框	kuəʔ² t͡sz̩⁴⁵ kʰuɒ̃⁴⁵
国杜林	kuəʔ² tu⁴⁵ liŋ¹¹
国民	kuəʔ miŋ¹¹
圆	ye¹¹
圆桌	ye¹¹ t͡suaʔ²
圆溜溜	ye¹¹ liəu⁴⁵ liəu⁴⁵⁻⁵³
圆白菜	ye¹¹ piəʔ⁵⁴⁻² t͡sʰai⁴⁵
圈圈	t͡ɕʰye¹¹ t͡ɕʰye¹¹⁻⁴⁵
國	kuəʔ²
國字框	kuəʔ² t͡sz̩⁴⁵ kʰuɒ̃⁴⁵
國杜林	kuəʔ² tu⁴⁵ liŋ¹¹
國民	kuəʔ miŋ¹¹
圍	vei¹¹
圍巾	vei¹¹ t͡ɕiŋ¹¹
圍棋	vei¹¹ t͡ɕʰi¹¹
圐	kʰuəʔ²
圐圙	kʰuəʔ² lye⁴⁵
園	ye¹¹
圓	ye¹¹
圓桌	ye¹¹ t͡suaʔ²
圓溜溜	ye¹¹ liəu⁴⁵ liəu⁴⁵⁻⁵³
圓白菜	ye¹¹ piəʔ⁵⁴⁻² t͡sʰai⁴⁵
團	tʰuæ̃¹¹
圙	lye⁴⁵
土	tʰu⁵³
土匪	tʰu⁵³⁻¹¹ fei⁵³
土地庙	tʰu⁵³ ti⁴⁵ miau⁴⁵
土地廟	tʰu⁵³ ti⁴⁵ miau⁴⁵
土坷垃	tʰu⁵³ kʰəʔ²⁻⁵⁴ la¹¹
土脈	tʰu⁵³ miəʔ²
土脉	tʰu⁵³ miəʔ²
土話	tʰu⁵³ xua⁴⁵
土话	tʰu⁵³ xua⁴⁵
圣	səŋ⁴⁵
圣人	səŋ⁴⁵ ʐəŋ¹¹
在	t͡sai⁴⁵
在行	t͡sai⁴⁵ xɒ̃¹¹
圪	kəʔ⁵⁴
圪出出	kəʔ⁵⁴ t͡sʰuəʔ² t͡sʰuəʔ²
