# Burmese pronunciation lexicon (the 🟡→✅ lexical layer) — undiacritized word ⇥ canonical IPA, for words the
# rule g2p gets wrong (lexical rime, colloquial, Pali gemination, loanword ⟨ရ⟩→ɹ). Mined from the kaikki gold
# (Wiktionary, CC-BY-SA) by tools/build-my-dict.ts; tone diacritics converted to our Chao letters. Applied in
# burmese.ts (an exact-word override before the g2p rules); OOV words keep the rule reading.
စားဖိုဆောင်	səpʰo˨za˨ʊɴ
စားဖိုမှူး	səpʰo˨m̥u˥˩
စားမြုံ့ပြန်	səmjo˥ˀʊɴpja˨ɴ
စားသုံးသူသမဝါယမ	sa˥˩θo˥˩ʊɴðəma˥ˀwa˨jəma˥ˀ
စိတ္တဇနာ	seɪʔdəza˥ˀna˨
စိတ္တဇပန်းချီ	seɪʔdəza˥ˀbəd͡ʑi˨
စိတ္တဇရောဂါ	seɪʔdəza˥ˀjɔ˥˩ɡa˨
စိတ္တဗေဒ	seɪʔta˥ˀbe˨da˥ˀ
စိတ်ဓာတ်	seɪʔda˨t
စိတ်ပညာ	seɪʔpjɪ˨ɴɲa˨
စိတ်ရှည်	seɪʔʃe˨
စိန်တစ်လုံး	se˨ɪɴtəlo˥˩ʊɴ
စိပ်ပုတီး	seɪʔbədi˥˩
စီတင်း	si˨ti˥˩̃
စီးကရက်	si˥˩kəɹɛʔ
စီးရီး	si˥˩ɹi˥˩
စုလျား	su˥ˀja˥˩
စုလျားရစ်ပတ်	su˥ˀja˥˩jɪʔpaʔ
စူပါမားကတ်	su˨pəma˥˩kaʔ
စေတီ	ze˨di˨
စောင်းလျား	za˥˩ʊɴja˥˩
စောပြာ	sɔ˥˩bja˨
စောဥမ္မာ	sɔ˥˩ʔo˨ʊɴma˨
စေး	si˥˩
စံကား	zəɡa˥˩
စံပယ်	zəbɛ˨
စွတ်ကပါစိနံပါစိ	sʊʔka˥ˀpa˨si˥ˀna˨ɴpa˨si˥ˀ
စွမ်း	swa˥˩ɴ
စွမ်းအင်	swa˥˩ɴʔɪ˨ɴ
စွယ်	swɛ˨
စွယ်စုံ	swɛ˨zo˨ʊɴ
စွယ်စုံကျမ်း	swɛ˨zo˨ʊɴt͡ɕa˥˩ɴ
ဆက်သွယ်	sʰɛʔθwɛ˨
ဆက်သွယ်ရေး	sʰɛʔθwɛ˨je˥˩
ဆင်စွယ်	sʰɪ˨ɴzwɛ˨
ဆဋ္ဌမအာရုံ	sʰaʔtʰəma˥ˀʔa˨jo˨ʊɴ
ဆတ္တာသည်	sʰaʔta˨ðe˨
ဆန္ဒခံယူပွဲ	sʰa˨ɴda˥ˀkʰa˨ɴju˨bwɛ˥˩
ဆန္ဒပြ	sʰa˨ɴda˥ˀpja˥ˀ
ဆန္ဒပြပွဲ	sʰa˨ɴda˥ˀpja˥ˀbwɛ˥˩
ဆန်ကွဲ	zəɡwɛ˥˩
ဆန်ခါ	zəɡa˨
ဆန်တာကလော့စ်	sʰa˨ɴta˨kəlɔ˥ˀs
ဆန်ပြား	sʰa˨ɴbja˥˩
ဆန်ပြုတ်	sʰa˨ɴbjoʊʔ
ဆန်ဖရန်စစ္စကို	sʰa˨ɴpʰəɹa˨ɴsɪʔsəko˨
ဆန်ဖျား	sʰa˨ɴbja˥˩
ဆန်မာရီနို	sʰa˨ɴma˨ɹi˨no˨
ဆယ့်ခုနှစ်	sʰɛ˥ˀkʰʊ˨ɴnɪʔ
ဆယ့်နှစ်ရာသီ	sʰɛ˥ˀn̥əja˨θi˨
ဆယ့်နှစ်လ	sʰɛ˥ˀn̥əla˥ˀ
ဆရာဝန်	sʰa˥ˀja˨wʊ˨ɴ
ဆရာသမား	sʰa˥ˀja˨θəma˥˩
ဆလဗ	sʰəla˥ˀba˥ˀ
ဆလိမ်	sʰa˥ˀle˨ɪɴ
ဆာမူရိုင်း	sʰa˨mu˨ɹa˥˩ɪɴ
ဆာရာယေဗို	sʰa˨ɹa˨je˨bo˨
ဆာရီ	sʰa˨ɹi˨
ဆားရည်	sʰa˥˩je˨
ဆိတ်ကုလား	sʰeɪʔkəla˥˩
ဆိတ်ချေး	sʰeɪʔt͡ɕʰi˥˩
ဆိုကရေးတီး	sʰo˨kəɹe˥˩ti˥˩
ဆိုက်ပရပ်စ်	sʰaɪʔpəɹaʔs
ဆိုက်ဘေးရီးယား	sʰaɪʔbe˥˩ɹi˥˩ja˥˩
ဆိုလျှင်	sʰo˨l̥jɪ˨ɴ
ဆီပြန်	sʰi˨bja˨ɴ
ဆီမီးခွက်	sʰi˨mi˥˩ɡwɛʔ
ဆီရာလီယွန်	sʰi˨ɹa˨li˨jʊ˨ɴ
ဆီသတ်ရွက်	sʰi˨θaʔjwɛʔ
ဆီဥကြော်	sʰəʔu˥ˀd͡ʑɔ˨
ဆီးဖြူ	zi˥˩bju˨
ဆီးရီးယား	sʰi˥˩ɹi˥˩ja˥˩
ဆူရာနမ်	sʰu˨ɹa˨na˨ɴ
ဆောရီး	sʰɔ˥˩ɹi˥˩
ဆော့ဖ်ဝဲလ်	sʰaʊʔwɛ˥˩
ဆော်ဒီအာရေဗျ	sʰɔ˨di˨ʔa˨ɹe˨bja˥ˀ
ဆေးပြင်းလိပ်	sʰe˥˩bjɪ˥˩ɴleɪʔ
ဆံပင်	zəbɪ˨ɴ
ဆံပင်ညှပ်	zəbɪ˨ɴɲ̊aʔ
ဆံပင်ညှပ်ဆိုင်	zəbɪ˨ɴɲ̊aʔsʰa˨ɪɴ
ဆံပင်တု	zəbɪ˨ɴdu˥ˀ
ဆံပင်ပုံစံ	zəbɪ˨ɴpo˨ʊɴza˨ɴ
ဆွစ်ကွန်ဖက်ဒရေးရှင်း	sʰwɪʔkʊ˨ɴpʰɛʔdəɹe˥˩ʃɪ˥˩ɴ
ဆွစ်ဇာလန်	sʰwɪʔzəla˨ɴ
ဆွဆွ	sʰwa˥ˀzwa˥ˀ
ဆွယ်တာ	sʰwɛ˨ta˨
ဆွေခုနစ်ဆက်မျိုးခုနစ်ဆက်	sʰwe˨kʰənəzɛʔmjo˥˩kʰənəzɛʔ
ဇကွဲ	za˥ˀɡwɛ˥˩
ဇင့်ခ်	zɪ˥ˀɴ
ဇင်္ဂမဥစ္စာ	zɪ˨ɴɡəma˥ˀʔoʊʔsa˨
ဇနကထာ	zəna˥ˀɡətʰa˨
ဇန်နဝါရီ	zənəwa˨ɹi˨
ဇမ္ဗုသပြေ	zəbu˥ˀðəpje˨
ဇမ္ဗူ	zəbu˨
ဇမ္ဗူဒီပါ	zəbu˨di˨pa˨
ဇမ္ဗူပနီ	zəbu˨pəni˨
ဇလဗေဒ	zəla˥ˀbe˨da˥ˀ
ဇာဂရက်	za˨ɡəɹɛʔ
ဇာတိပ္ဖိုလ်	za˨deɪʔpʰo˨
ဇာတိပ္ဖိုလ်စေ့	za˨deɪʔpʰo˨ze˥ˀ
ဇာတ်ညွှန်း	za˨tɲ̊ʊ˥˩ɴ
ဇာတ်ပွဲ	za˨tpwɛ˥˩
ဇာတ်ဝင်သီချင်း	zaʔwɪ˨ɴθət͡ɕʰɪ˥˩ɴ
ဇီဝကမ္မဗေဒ	zi˨wa˥ˀka˨ɴma˥ˀbe˨da˥ˀ
ဇီဝစက်	zi˨wa˥ˀsɛʔ
ဇီဝဓာတုဗေဒ	zi˨wa˥ˀda˨tu˥ˀbe˨da˥ˀ
ဇီဝဗေဒ	zi˨wa˥ˀbe˨da˥ˀ
ဇေယျ	ze˨ja˥ˀ
ဇေယျာပူရ	ze˨ja˥ˀpu˨ɹa˥ˀ
ဈမျဉ်းဆွဲ	za˥ˀmjɪ˥˩ɴzwɛ˥˩
ဈေးကွက်စီးပွားရေး	ze˥˩ɡwɛʔsi˥˩bwa˥˩je˥˩
ဈေးဝယ်	ze˥˩wɛ˨
ဈေးဝယ်စင်တာ	ze˥˩wɛ˨sɪ˨ɴta˨
ဈေးသည်	ze˥˩ðɛ˨
ဉာဉ်	ɲɪ˨ɴ
ဉာဏလုပ်သား	ɲa˨na˥ˀloʊʔða˥˩
ဉာဏ်ပညာ	ɲa˨npjɪ˨ɴɲa˨
ညကလေး	ɲa˥ˀkəle˥˩
ညကြီး	ɲa˥ˀt͡ɕi˥˩
ညချမ်း	ɲa˥ˀd͡ʑa˥˩ɴ
ညစာ	ɲa˥ˀza˨
ညစ်ထည်း	ɲɪʔtʰe˥˩
ညဈေး	ɲa˥ˀze˥˩
ညနေ	ɲa˥ˀne˨
ညနေခင်း	ɲa˥ˀne˨ɡɪ˥˩ɴ
ညနေစာ	ɲa˥ˀne˨za˨
ညလုံးပေါက်	ɲa˥ˀlo˥˩ʊɴbaʊʔ
ညလေး	ɲa˥ˀle˥˩
ညသန်းခေါင်	ɲa˥ˀðəɡa˨ʊɴ
ညအိပ်ဝတ်စုံ	ɲa˥ˀʔeɪʔwʊʔso˨ʊɴ
ညီမျှခြင်း	ɲi˨m̥ja˥ˀd͡ʑɪ˥˩ɴ
ညီအစ်ကို	ɲi˨ʔəko˨
ညီအစ်မ	ɲi˨ʔəma˥ˀ
ညောင်ဖြူ	ɲa˨ʊɴbju˨
ညောင်းကျရောဂါ	ɲa˥˩ʊɴt͡ɕa˥ˀjɔ˥˩ɡa˨
ညှပ်ဖိနပ်	ɲ̊aʔpʰənaʔ
ဋသန်လျင်းချိတ်	ta˥ˀθəjɪ˥˩ɴd͡ʑeɪʔ
ဌဝမ်းဘဲ	tʰa˥ˀwʊ˥˩ɴbɛ˥˩
ဍရင်ကောက်	da˥ˀjɪ˨ɴɡaʊʔ
ဎရေမှုတ်	da˥ˀje˨m̥oʊʔ
ဏကြီး	na˥ˀd͡ʑi˥˩
တက္ကစီ	tɛʔsi˨
တက္ကဗေဒ	tɛʔka˥ˀbe˨da˥ˀ
တက္ကသိုလ်	tɛʔkəθo˨
တင်ပါ့ဘုရား	tɪ˨ɴba˥ˀpʰəja˥˩
တင်းကျမ်းပြည့်	dɪ˥˩ɴd͡ʑa˥˩ɴpji˥ˀ
တင်းပြည့်ကျပ်ပြည့်	tɪ˥˩ɴbje˥ˀt͡ɕaʔbje˥ˀ
တစပြင်	dəza˥ˀbjɪ˨ɴ
တစ္ဆေ	təsʰe˨
တစ်ခန်းရပ်ပြဇာတ်	təkʰa˥˩ɴjaʔpja˥ˀzaʔ
တစ်ခါ	təkʰa˨
တစ်ခါတစ်လေ	təkʰa˨təle˨
တစ်ခုခု	təkʰu˥ˀkʰu˥ˀ
တစ်ခုလပ်	təkʰu˥ˀlaʔ
တစ်ချောင်းငင်	tət͡ɕʰa˥˩ʊɴŋɪ˨ɴ
တစ်ချောင်းပုဒ်	tət͡ɕʰa˥˩ʊɴpoʊʔ
တစ်စိတ်တစ်ဒေသ	dəzeɪʔdəde˨θa˥ˀ
တစ်စုံ	dəzo˨ʊɴ
တစ်စုံတစ်ခု	təzo˨ʊɴtəkʰu˥ˀ
တစ်စုံတစ်ယောက်	təzo˨ʊɴtəjaʊʔ
တစ်စုံတစ်ရာ	təzo˨ʊɴtəja˨
တစ်စုံတစ်ဦး	təzo˨ʊɴtəʔu˥˩
တစ်ဆင့်	təsʰɪ˥ˀɴ
တစ်ဆင့်စကား	təsʰɪ˥ˀɴzəɡa˥˩
တစ်ဆယ်	təzɛ˨
တစ်ထောင်	tətʰa˨ʊɴ
တစ်နည်းတစ်ဖုံ	təni˥˩təpʰo˨ʊɴ
တစ်နေကုန်	təne˨ɡo˨ʊɴ
တစ်ပင်တိုင်	dəbɪ˨ɴda˨ɪɴ
တစ်ပင်တိုင်မင်းသမီး	dəbɪ˨ɴda˨ɪɴmɪ˥˩ɴðəmi˥˩
တစ်ပတ်	dəbaʔ
တစ်ဖက်လှည့်	təpʰɛʔl̥i˥ˀ
တစ်ယောက်တည်း	təjaʊʔtɛ˥˩
တစ်ယောက်ယောက်	təjaʊʔjaʊʔ
တစ်ရာ	təja˨
တစ်လ	təla˥ˀ
တစ်လျှောက်	təʃaʊʔ
တစ်ဝန်း	təwʊ˥˩ɴ
တစ်သက်	təθɛʔ
တစ်သဝေမတိမ်း	təθwe˨məte˥˩ɪɴ
တည်း	tɛ˥˩
တည်းခိုခန်း	tʰɛ˥˩kʰo˨ɡa˥˩ɴ
တဏှင်္ကရာ	tən̥ɪ˨ɴkəɹa˨
တဏှင်္ကရာဘုရား	tən̥ɪ˨ɴkəɹa˨pʰəja˥˩
တတိယ	ta˥ˀti˥ˀja˥ˀ
တန	ta˥ˀna˥ˀ
တန်ခိုး	dəɡo˥˩
တန်ခူး	dəɡu˥˩
တန်ဆာ	dəza˨
တန်ဆောင်	dəza˨ʊɴ
တန်ဆောင်မုန်း	dəza˨ʊɴmo˥˩ʊɴ
တပည့်	dəbe˥ˀ
တပည့်တော်	dəbe˥ˀdɔ˨
တပိုင်းလျှပ်ကူး	ta˥ˀpa˥˩ɪɴl̥jaʔku˥˩
တပေါင်းလပြည့်နေ့	dəba˥˩ʊɴla˥ˀpji˥ˀne˥ˀ
တမ္ပဒီပ	ta˥ˀmpa˥ˀdi˨pa˥ˀ
တရ	ta˥ˀja˥ˀ
တရဖျား	ta˥ˀja˥ˀpʰja˥˩
တရားခံ	təjəkʰa˨ɴ
တရားခွင်	təjəkʰwɪ˨ɴ
တရားမျှတ	ta˥ˀja˥˩m̥ja˥ˀta˥ˀ
တရုတ်စံကား	təjoʊʔzəɡa˥˩
တရုတ်နံနံ	ta˥ˀjoʊʔna˨ɴna˨ɴ
တရုတ်နှင်းသီး	ta˥ˀjoʊʔn̥ɪ˥˩ɴθi˥˩
တရှကင့်	ta˥ˀʃəkɪ˥ˀɴ
တလည်း	təle˥˩
တဝမ်းပူ	ta˥ˀwɪ˥˩ɴbu˨
တာဝတိံသာ	ta˨wa˥ˀte˨ɪɴθa˨
တာ့ခ်မင်နစ္စတန်	ta˥ˀkʰmɪ˨ɴnɪʔsəta˨ɴ
တိရစ္ဆာန်	təɹeɪʔsʰa˨ɴ
တိရစ္ဆာန်ရုံ	təɹeɪʔsʰa˨ɴjo˨ʊɴ
တိရစ္ဆာန်ဥယျာဉ်	təɹeɪʔsʰa˨ɴʔu˥ˀjɪ˨ɴ
တိုက်လေယာဉ်	taɪʔle˨jɪ˨ɴ
တိုင်းဒေသကြီး	ta˥˩ɪɴde˨θa˥ˀd͡ʑi˥˩
တိုရ	to˨ɹa˥ˀ
တို့	do˥ˀ
တိဿ	teɪʔθa˥ˀ
တိဿဘုရား	teɪʔθa˥ˀpʰəja˥˩
တီရာနာ	ti˨ɹa˨na˨
တီဟီရန်	ti˨hi˨ɹa˨ɴ
တုတ်ထိုး	doʊʔtʰo˥˩
တုတ်မီး	doʊʔmi˥˩
တုသိတာ	toʊʔθi˥ˀta˨
တူနစ်စ်	tu˨nɪʔs
တူရကီ	tu˨ɹəki˨
တူရိယာ	tu˨ɹi˥ˀja˨
တူးရစ်	tu˥˩ɹɪʔ
တောက်တိုမည်ရ	taʊʔto˨mji˨ja˥ˀ
တောင်ကိုရီးယား	ta˨ʊɴko˨ɹi˥˩ja˥˩
တောင်ပြုန်းပွဲ	ta˨ʊɴbjo˥˩ʊɴpwɛ˥˩
တောင်ရှည်ပုဆိုး	ta˨ʊɴʃi˨pəsʰo˥˩
တောင်အမေရိက	ta˨ʊɴʔəme˨ɹi˥ˀka˥ˀ
တောင်အာဖရိက	ta˨ʊɴʔa˨pʰəɹi˥ˀka˥ˀ
တောမန်ကျည်း	tɔ˥˩məd͡ʑi˥˩
တော်ကာလျော်ကာ	tɔ˨ɡa˨jɔ˨ɡa˨
တော်ပြီ	tɔ˨bi˨
တော်ရိလျော်ရိ	tɔ˨ji˥ˀjɔ˨ji˥ˀ
တေးစီးရီး	te˥˩si˥˩ɹi˥˩
တဲ့	dɛ˥ˀ
တဲ့တိုး	dɛ˥ˀdo˥˩
တံခါး	dəɡa˥˩
တံခါးခုံ	dəɡəkʰo˨ʊɴ
တံခါးဗိုလ်	dəɡa˥˩bo˨
တံခွန်	dəɡʊ˨ɴ
တံခွန်တိုင်	dəɡʊ˨ɴda˨ɪɴ
တံငါ	təŋa˨
တံငါတာရာ	təŋa˨ta˨ja˨
တံစဉ်	dəzɪ˨ɴ
တံစဉ်း	dəzɪ˥˩ɴ
တံဆိပ်	dəzeɪʔ
တံဆိပ်ခေါင်း	dəzeɪʔɡa˥˩ʊɴ
တံဆိပ်တုံး	dəzeɪʔto˥˩ʊɴ
တံတား	dəda˥˩
တံတိုင်း	dəda˥˩ɪɴ
တံတောင်	dəda˨ʊɴ
တံတွေး	da˥ˀdwe˥˩
တံပိုး	dəbo˥˩
တံပူ	dəbu˨
တံမြက်စည်း	dəbjɛʔsi˥˩
တြိ	təɹi˥ˀ
တြိဂံ	tɹi˥ˀɡa˨ɴ
တြိပူရ	təɹi˥ˀpu˨ja˥ˀ
တွက်	twɛʔ
တွယ်	twɛ˨
ထက်ဝယ်ဖွဲ့ခွေ	tʰɛʔwɛ˨pʰwɛ˥ˀkʰwe˨
ထဆင်ထူး	tʰa˥ˀsʰɪ˨ɴdu˥˩
ထည့်	tʰɛ˥ˀ
ထည်	tʰɛ˨
ထန်းရည်	tʰəje˨
ထန်းလျက်	tʰəɲɛʔ
ထပ်တစ်ရာ	tʰaʔtəja˨
ထဘီ	tʰəmi˨
ထမင်းလုံးတစ္ဆေခြောက်	tʰəmɪ˥˩ɴlo˥˩ʊɴtəsʰe˨t͡ɕʰaʊʔ
ထမင်းသုပ်	tʰa˥ˀmɪ˥˩ɴθoʊʔ
ထမနဲ	tʰa˥ˀma˥ˀnɛ˥˩
ထရီလီယံ	tʰəɹi˨li˨ja˨ɴ
ထာဝရဘုရား	tʰa˨wəɹa˥ˀpʰəja˥˩
ထာဝရဥစ္စာ	tʰa˨wəja˥ˀʔoʊʔsa˨
ထားဝယ်	dəwɛ˨
ထိပ်စုဖုရား	tʰeɪʔsu˥ˀpʰəja˥˩
ထိုင်ဝမ်	tʰa˨ɪɴwa˨ɴ
ထီးဖြူ	tʰi˥˩bju˨
ထေရဝါဒ	tʰe˨ja˥ˀwa˨da˥ˀ
ထွက်	tʰwɛʔ
ထွက်ကုန်	tʰwɛʔko˨ʊɴ
ထွက်ပေါက်	tʰwɛʔpaʊʔ
ထွက်ပြေး	tʰwɛʔpje˥˩
ဒထွေး	da˥ˀdwe˥˩
ဒန္တပူရ	da˨ɴta˥ˀpu˨ɹa˥ˀ
ဒန်ပူ	dəbu˨
ဒဗ္ဗလျူ	da˨bba˥ˀju˨
ဒမားစကပ်	da˥ˀma˥˩səkaʔ
ဒရာမာ	dəɹa˨ma˨
ဒသပါရမီ	dəθa˥ˀpa˨ɹəmi˨
ဒသမ	da˥ˀθəma˥ˀ
ဒါမှမဟုတ်	da˨m̥a˥ˀməhoʊʔ
ဒါယိကာ	da˨jəka˨
ဒိဌိ	deɪʔtʰi˥ˀ
ဒိုင်ခွက်	da˨ɪɴɡwɛʔ
ဒိုင်ယာရီ	da˨ɪɴja˨ɹi˨
ဒိုမီနီကန်သမ္မတ	do˨mi˨ni˨ka˨ɴθəməda˥ˀ
ဒီဂရီ	di˨ɡəɹi˨
ဒီပင်္ကရာ	di˨pɪ˨ɴkəɹa˨
ဒီပင်္ကရာဘုရား	di˨pɪ˨ɴkəɹa˨pʰəja˥˩
ဒီမိုကရေစီ	di˨mo˨kəɹe˨si˨
ဒုက္ခပေး	du˨kkʰa˥ˀpe˥˩
ဒုက္ခရောက်	du˨kkʰa˥ˀjaʊʔ
ဒုက္ခရှာ	du˨kkʰa˥ˀʃa˨
ဒုက္ခသည်	doʊʔkʰa˥ˀðe˨
ဒုက္ခသည်စခန်း	doʊʔkʰa˥ˀðɛ˨səkʰa˥˩ɴ
ဒုဋ္ဌဝတီ	doʊʔtʰa˥ˀwədi˨
ဒုတိယကမ္ဘာစစ်	du˥ˀti˥ˀja˥ˀɡəba˨sɪʔ
ဒုတိယတပ်ကြပ်	du˥ˀti˥ˀja˥ˀtaʔt͡ɕaʔ
ဒုတိယဗိုလ်	du˥ˀti˥ˀja˥ˀbo˨
ဒုတိယဗိုလ်ချုပ်ကြီး	du˥ˀti˥ˀja˥ˀbo˨d͡ʑoʊʔd͡ʑi˥˩
ဒုတိယဗိုလ်ချုပ်မှူးကြီး	du˥ˀti˥ˀja˥ˀbo˨d͡ʑoʊʔm̥u˥˩d͡ʑi˥˩
ဒုတိယဗိုလ်မှူးကြီး	du˥ˀti˥ˀja˥ˀbo˨m̥u˥˩d͡ʑi˥˩
ဒုတိယအရာခံဗိုလ်	du˥ˀti˥ˀja˥ˀʔəja˨ɡa˨ɴbo˨
ဒုဗ္ဘိက္ခန္တရကပ်	doʊʔbeɪʔkʰa˨ɴtəɹa˥ˀkaʔ
ဒုယင်တော်	dəjɪ˨ɴdɔ˨
ဒုံးပျံ	do˥˩ʊɴbja˨ɴ
ဒေတာဘေ့စ်	de˨ta˨be˥ˀs
ဒေဝနာဂရီ	de˨wa˥ˀna˨ɡəɹi˨
ဒေသန္တရစကား	de˨θa˨ɴtəɹa˥ˀzəɡa˥˩
ဒေသိယစကား	de˨θi˥ˀja˥ˀzəɡa˥˩
ဒေါသကြီး	dɔ˥˩ða˥ˀt͡ɕi˥˩
ဒေါသထွက်	dɔ˥˩ða˥ˀtʰwɛʔ
ဒြပ်	dəɹaʔ
ဒြပ်စင်	dəɹaʔsɪ˨ɴ
ဒြပ်ထု	dəɹaʔtʰu˨
ဒွယံဒွယံ	dwa˥ˀja˨ɴdwa˥ˀja˨ɴ
ဒွါဒသမ	dwa˨da˥ˀθəma˥ˀ
ဒွိလိင်	dwi˥ˀle˨ɪɴ
ဒဿဂီရိ	dəθa˥ˀɡi˨ji˥ˀ
ဒဿနဗေဒ	da˥ˀθəna˥ˀbe˨da˥ˀ
ဒဿနိကဗေဒ	da˥ˀθəni˥ˀka˥ˀbe˨da˥ˀ
ဓနရှင်	dəna˥ˀʃɪ˨ɴ
ဓမ္မ	dəma˥ˀ
ဓမ္မစကြာ	da˨ɴma˥ˀsa˥ˀt͡ɕa˨
ဓမ္မတာ	dəməda˨
ဓမ္မတာကာလ	dəməda˨ka˨la˥ˀ
ဓမ္မတာလာ	dəməda˨la˨
ဓမ္မတာဝန်	dəməda˨wʊ˨ɴ
ဓမ္မဒူတ	dəma˥ˀdu˨ta˥ˀ
ဓမ္မဒဿီ	dəma˥ˀma˥ˀdaʔθi˨
ဓမ္မဒဿီဘုရား	dəma˥ˀdətθi˨pʰəja˥˩
ဓမ္မပါလ	da˨ɴma˥ˀpa˨la˥ˀ
ဓမ္မသတ်	dəməθaʔ
ဓအောက်ခြိုက်	da˥ˀʔaʊʔt͡ɕʰaɪʔ
ဓာတ်ကြီးလေးပါး	da˨tt͡ɕi˥˩le˥˩pa˥˩
ဓာတ်ခဲ	daʔkʰe˥˩
ဓာတ်ခွက်	da˨tkʰwɛʔ
ဓာတ်မှန်	da˨tm̥a˨ɴ
ဓာတ်သွား	da˨tθwa˥˩
ဓာတ်အား	da˨tʔa˥˩
ဓာတ်အားပေးစက်ရုံ	da˨tʔa˥˩be˥˩sɛʔjo˨ʊɴ
ဓားစာခံ	dəza˨ɡa˨ɴ
ဓားပြ	dəmja˥ˀ
ဓားပြား	dəbja˥˩
ဓားမြှောင်	dəm̥ja˨ʊɴ
ဓားအိမ်	dəʔe˨ɪɴ
နက္ခတ္တဗေဒ	nɛʔkʰəta˥ˀbe˨da˥ˀ
နက္ခတ်တာရာပြခန်း	nɛʔkʰaʔta˨ja˨pja˥ˀɡa˥˩ɴ
နဂါးငွေ့တန်း	na˥ˀɡa˥˩ŋwe˥ˀta˥˩ɴ
နဂါးမောက်	na˥ˀɡa˥˩maʊʔ
နဂါးမောက်သီး	na˥ˀɡa˥˩maʊʔθi˥˩
နငယ်	na˥ˀŋɛ˨
နည်း	nɛ˥˩;nɛ˥˩
နည်းနည်း	nɛ˥˩nɛ˥˩
နည်းပညာ	ni˥˩pjɪ˨ɴɲa˨
နတ်တော်	nədɔ˨
နတ်ဖွက်	naʔpʰwɛʔ
နတ်လျောင်းလ	naʔja˥˩ʊɴla˥ˀ
နတ်သမီး	naʔθa˥ˀmi˥˩
နတ်သုဓာ	naʔθoʊʔda˨
နတ်သုဓာထမင်း	naʔθoʊʔda˨tʰəmɪ˥˩ɴ
နန်းပြား	na˥˩ɴbja˥˩
နန်းပြားကြီး	na˥˩ɴbja˥˩d͡ʑi˥˩
နန်းပြားသုပ်	na˥˩ɴbja˥˩θoʊʔ
နနွင်း	sʰənwɪ˥˩ɴ
နမီးဘီးယား	na˥ˀmi˥˩bi˥˩ja˥˩
နယ်သာလန်	nɛ˨ðəla˨ɴ
နရက်	nəɹɛʔ
နလပိန်းတုံး	na˥ˀləbe˥˩ɪɴdo˥˩ʊɴ
နဝကမ္မ	nəwa˥ˀka˨ɴma˥ˀ
နဝရတ်	nəwəɹaʔ
နဝရူပ	na˥ˀwa˥ˀju˨pa˥ˀ
နဟုတံ	nəhoʊʔta˨ɴ
နာဂဒေဝ	na˨ɡa˥ˀde˨wa˥ˀ
နာဂရီ	na˨ɡəɹi˨
နာဆူလ်တန်	na˨sʰu˨lta˨ɴ
နာနတ်	nənaʔ
နာနတ်ပွင့်	nənaʔpwɪ˥ˀɴ
နာမကရဏ	na˨ma˥ˀkəɹəna˥ˀ
နာမည်	na˨mji˨
နာမည်ကဒ်	na˨mji˨ka˨d
နာမဝိသေသန	na˨ma˥ˀwi˥ˀθe˨θəna˥ˀ
နာမ်စား	na˨mza˥˩
နာရဒ	na˨ɹəda˥ˀ
နာရဒဘုရား	na˨ɹəda˥ˀpʰəja˥˩
နားကပ်	nəɡaʔ
နားကြပ်	nəd͡ʑaʔ
နားကွင်း	nəɡwɪ˥˩ɴ
နားတောင်း	nəda˥˩ʊɴ
နားထင်	nətʰɪ˨ɴ
နားရည်ဝ	na˥˩je˨wa˥ˀ
နားရွက်	nəjwɛʔ
နားလည်	na˥˩lɛ˨
နားလည်မှု	na˥˩lɛ˨m̥u˥ˀ
နားသမင်္ဂလာ	na˥˩ða˥ˀmɪ˨ɴɡəla˨
နိခါတကဗေဒ	ni˥ˀkʰa˨təka˥ˀbe˨da˥ˀ
နိဂ္ဂဟိတ	neɪʔɡəhi˥ˀta˥ˀ
နိစ္စ	ne˨sa˥ˀ
နိန္နဟုတံ	ne˨ɪɴnəhoʊʔta˨ɴ
နိမိတ်	nəmeɪʔ
နိမိတ်ကြီးလေးပါး	nəmeɪʔt͡ɕi˥˩le˥˩pa˥˩
နိမ္မာနရတိ	ne˨ɪɴma˨nəɹəti˥ˀ
နိရဗ္ဗုဒ	ni˥ˀɹaʔboʊʔda˥ˀ
နိုက်ထရိုဂျင်	naɪʔtʰəɹo˨d͡ʑɪ˨ɴ
နိုင်ဂျီးရီးယား	na˨ɪɴd͡ʑi˥˩ɹi˥˩ja˥˩
နိုင်ငံခြားသား	na˨ɪɴɡa˨ɴd͡ʑa˥˩ða˨
နိုင်ငံတော်တံဆိပ်	na˨ɪɴŋa˨ɴdɔ˨dəzeɪʔ
နိုင်ငံတော်သီချင်း	na˨ɪɴŋa˨ɴdɔ˨θət͡ɕʰɪ˥˩ɴ
နို့တိုက်သတ္တဝါ	no˥ˀdaɪʔðədəwa˨
နိဿယ	neɪʔθəja˥ˀ
နီကာရာဂွါ	ni˨ka˨ɹa˨ɡwa˨
နူဟ်	nu˨h
နေစကြဝဠာ	ne˨sɛʔt͡ɕa˨wəla˨
နေထွက်	ne˨tʰwɛʔ
နေထွက်ဘုရင်	ne˨tʰwɛʔbu˥ˀjɪ˨ɴ
နေရာငါးသွယ်	ne˨ja˨ŋa˥˩θwɛ˨
နေဝင်ဖျိုးဖျ	ne˨wɪ˨ɴpʰjo˥˩bja˥ˀ
နောက်ပစ်	naʊʔpjɪʔ
