annet	ˈɑnət
hos	ˈhʊs
hører	ˈhøːɾəɾ
måtte	ˈmɔtə
veien	ˈʋæɪən
fortelle	fɔˈʈɛlə
bort	ˈbʊʈ
først	ˈfœʂʈ
inne	ˈɪnə
fått	ˈfɔt
glad	ˈɡlɑː
ga	ˈɡɑː
gjennom	ˈjɛnɔm
heller	ˈhɛləɾ
stor	ˈstuːɾ
betyr	bəˈtyːɾ
liv	ˈliːʋ
tiden	ˈtiːdn
lei	ˈlæɪ
sikker	ˈsɪkəɾ
neste	ˈnɛstə
mannen	ˈmɑnn
sikkert	ˈsɪkəʈ
lenger	ˈlɛŋəɾ
fortsatt	ˈfɔʈʂɑt
annen	ˈɑnn
gjerne	ˈjæːɳə
hørte	ˈhœʈə
unna	ˈʊnɑ
nye	ˈnyːə
sagt	ˈsɑkt
fem	ˈfɛm
vekk	ˈʋɛk
alene	ɑˈleːnə
hatt	ˈhɑt
snakket	ˈsnɑkə
flott	ˈflɔt
derfor	ˈdæɾfɔɾ
store	ˈstuːɾə
skjønner	ˈʃœnəɾ
føler	ˈføːləɾ
menn	ˈmɛn
klart	ˈklɑːʈ
ny	ˈnyː
liten	ˈliːtn
jobber	ˈjɔbəɾ
dø	ˈdøː
håper	ˈhoːpəɾ
jævla	ˈjæːʋlɑ
grunn	ˈɡɾʊn
ennå	ˈɛnɔ
klarer	ˈklɑːɾəɾ
dager	ˈdɑːɡəɾ
tenkte	ˈtɛŋktə
politiet	pʊlɪˈtiːə
byen	ˈbyːən
ganger	ˈɡɑŋəɾ
pengene	ˈpɛŋənə
jobb	ˈjɔb
langt	ˈlɑŋt
venner	ˈʋɛnəɾ
sitt	ˈsɪt
faktisk	ˈfɑktɪsk
nesten	ˈnɛstn
drepte	ˈdɾɛptə
huset	ˈhʉːsə
jobben	ˈjɔbən
kjære	ˈçæːɾə
minutter	mɪˈnʊtəɾ
gamle	ˈɡɑmlə
hjemme	ˈjɛmə
venter	ˈʋɛntəɾ
ellers	ˈɛləʂ
dagen	ˈdɑːɡən
vårt	ˈʋɔʈ
hverandre	ʋəˈɾɑndɾə
fire	ˈfiːɾə
begge	ˈbɛɡə
navn	ˈnɑʋn
dit	ˈdiːt
moren	ˈmuːɳ
gutt	ˈɡʊt
be	ˈbeː
bak	ˈbɑːk
hørt	ˈhøːʈ
natt	ˈnɑt
fort	ˈfʊʈ
nettopp	ˈnɛˌtɔp
familien	fɑˈmiːlɪən
ferdig	ˈfæɖɪ
herfra	ˈhæɾˌfɾɑː
drept	ˈdɾɛpt
virker	ˈʋɪɾkəɾ
tenk	ˈtɛŋk
mens	ˈmɛns
stedet	ˈsteːdə
møte	ˈmøːtə
stille	ˈstɪlə
ei	ˈæɪ
dollar	ˈdɔlɑɾ
lille	ˈlɪlə
engang	ˈeːŋˌɡɑŋ
ett	ˈɛt
måte	ˈmoːtə
dårlig	ˈdoːɭɪ
hyggelig	ˈhʏɡəlɪ
sine	ˈsiːnə
hodet	ˈhuːdə
funnet	ˈfʊnə
orden	ˈɔɖɳ
synes	ˈsyːnəs
gode	ˈɡuːə
ganske	ˈɡɑnskə
par	ˈpɑːɾ
senere	ˈseːnəɾə
begynner	bəˈjʏnəɾ
galt	ˈɡɑlt
ba	ˈbɑː
prøve	ˈpɾøːʋə
slå	ˈʃloː
tenker	ˈtɛŋkəɾ
vanskelig	ˈʋɑnskəlɪ
vise	ˈʋiːsə
ringer	ˈɾɪŋəɾ
slags	ˈʃlɑɡs
ti	ˈtiː
allerede	ɑləˈɾeːdə
ønsker	ˈœnskəɾ
del	ˈdeːl
fortell	fɔˈʈɛl
gått	ˈɡɔt
hvilken	ˈʋɪlkən
prøvde	ˈpɾœʋdə
pokker	ˈpɔkəɾ
tenke	ˈtɛŋkə
saken	ˈsɑːkən
skyld	ˈʃʏl
klare	ˈklɑːɾə
gammel	ˈɡɑməl
bruke	ˈbɾʉːkə
uansett	ˈʉːɑnˌsɛt
slipp	ˈʃlɪp
mistet	ˈmɪstət
viktig	ˈʋɪktɪ
spør	ˈspœɾ
sånt	ˈsɔnt
helst	ˈhɛlst
jente	ˈjɛntə
øyeblikk	ˈœʏəˌblɪk
tenkt	ˈtɛŋkt
spørsmål	ˈspœˌʂmoːl
mellom	ˈmɛlɔm
bor	ˈbɔɾ
mi	ˈmiː
dør	ˈdøːɾ
egen	ˈeːɡən
kvinne	ˈkʋɪnə
ligger	ˈlɪɡəɾ
ord	ˈuːɾ
stopp	ˈstɔp
dro	ˈdɾuː
stemmer	ˈstɛməɾ
rolig	ˈɾuːlɪ
a	ˈɑː
nytt	ˈnʏt
ber	ˈbeːɾ
fortalte	fɔˈʈɑːltə
riktig	ˈɾɪktɪ
all	ˈɑl
fin	ˈfɪn
kommet	ˈkɔmə
stå	ˈstoː
lett	ˈlɛt
timer	ˈtiːməɾ
vente	ˈʋɛntə
redde	ˈɾɛdə
spise	ˈspiːsə
høres	ˈhøːɾəs
treffe	ˈtɾɛfə
setter	ˈsɛtəɾ
mennesker	ˈmɛnəskəɾ
jenta	ˈjɛntɑ
sitter	ˈsɪtəɾ
sønn	ˈsœn
legg	ˈlɛɡ
slapp	ˈʃlɑp
velkommen	ʋəlˈkɔmən
spiller	ˈspɪləɾ
bryr	ˈbɾyːɾ
ringe	ˈɾɪŋə
syns	ˈsʏns
skje	ˈʃeː
kaptein	kɑpˈtæɪn
fyr	ˈfyːɾ
mat	ˈmɑːt
sette	ˈsɛtə
john	ˈjɔn
jobbet	ˈjɔbət
fyren	ˈfyːɳ
di	ˈdiː
leve	ˈleːʋə
tak	ˈtɑːk
enda	ˈɛndɑ
seks	ˈsɛks
selvsagt	ˈsɛlˌsɑkt
egentlig	ˈeːɡəntlɪ
bruker	ˈbɾʉːkəɾ
mulig	ˈmʉːlɪ
gutten	ˈɡʊtn
åpne	ˈoːpnə
finnes	ˈfɪnəs
jack	ˈjɑk
best	ˈbɛst
lang	ˈlɑŋ
problem	pɾʊˈbleːm
full	ˈfʊl
problemer	pɾʊˈbleːməɾ
ses	ˈseːs
videre	ˈʋiːəɾə
navnet	ˈnɑʋnə
lever	ˈleːʋəɾ
holdt	ˈhɔlt
imot	ɪˈmuːt
utenfor	ˈʉːtnˌfɔɾ
spørre	ˈspœɾə
utrolig	ʊˈtɾuːlɪ
satt	ˈsɑt
kone	ˈkuːnə
dreper	ˈdɾeːpəɾ
sent	ˈsɛnt
tom	ˈtɔm
fins	ˈfɪns
nede	ˈneːdə
oppe	ˈɔpə
ring	ˈɾɪŋ
kjeft	ˈçɛft
lar	ˈlɑːɾ
skjedd	ˈʃɛd
begynte	bəˈjʏntə
kona	ˈkuːnɑ
ringte	ˈɾɪŋtə
hus	ˈhʉːs
hater	ˈhɑːtəɾ
mindre	ˈmɪndɾə
hente	ˈhɛntə
fantastisk	fɑnˈtɑstɪsk
hjelper	ˈjɛlpəɾ
fremdeles	fɾəmˈdeːləs
barna	ˈbɑːɳɑ
gutter	ˈɡʊtəɾ
jobbe	ˈjɔbə
handler	ˈhɑnləɾ
mest	ˈmɛst
spille	ˈspɪlə
selvfølgelig	səlˈfœlɡəliː
stort	ˈstʊʈ
fram	ˈfɾɑm
kaller	ˈkɑləɾ
ro	ˈɾuː
vennen	ˈʋɛnn
glem	ˈɡlɛm
rommet	ˈɾʊmə
kjøre	ˈçøːɾə
øynene	ˈœʏnnə
tusen	ˈtʉːsn
vann	ˈʋɑn
forsiktig	fɔˈʂɪktɪ
sjanse	ˈʃɑŋsə
skolen	ˈskuːln
kjører	ˈçøːɾəɾ
løp	ˈløːp
gal	ˈɡɑːl
lover	ˈloːʋəɾ
herr	ˈhæɾ
gangen	ˈɡɑŋən
resten	ˈɾɛstn
side	ˈsiːə
pass	ˈpɑs
fred	ˈfɾɛd
sønnen	ˈsœnn
lage	ˈlɑːɡə
plass	ˈplɑs
familie	fɑˈmiːlɪə
sannheten	ˈsɑnˌheːtn
ekte	ˈɛktə
kjent	ˈçɛnt
