㞎㞎	pa̠⁴¹ pa̠³
天遭乾	tʰi̯ẽ³³ t͡sɒu̯³³ kan³³
天遭干	tʰi̯ẽ³³ t͡sɒu̯³³ kan³³
太	tʰai̯⁴⁵
太亲翁	tʰai̯⁴⁵ t͡ɕʰin³³ ŋən³³
太婆	tʰai̯⁴⁵ po¹³
太平間	tʰai̯⁴⁵ pin¹³ kan³³
太平间	tʰai̯⁴⁵ pin¹³ kan³³
太親翁	tʰai̯⁴⁵ t͡ɕʰin³³ ŋən³³
太阳	tʰai̯⁴⁵ i̯æn¹³
太阳筋	tʰai̯⁴⁵ i̯æn¹³ t͡ɕin³³
太陽	tʰai̯⁴⁵ i̯æn¹³
太陽筋	tʰai̯⁴⁵ i̯æn¹³ t͡ɕin³³
央	i̯æn³³
失	sɤ̞²⁴
失格	sɤ̞²⁴ kɤ̞²⁴
头	təu̯¹³
头前	təu̯¹³ t͡ɕi̯ẽ¹³
头发	təu̯¹³ ɸa̠²⁴
头名	təu̯¹³ min¹³
头回	təu̯¹³ ɸe̞i̯¹³
夹	ka̠²⁴
夹生	t͡ɕi̯a̠²⁴ sən³³
夹老倌	ka̠²⁴ lɒu̯⁴¹ kõ³³
夹肢窝	ka̠²⁴ t͡ɕi³³ o³³
夹菜	ka̠²⁴ t͡sʰai̯⁴⁵
夹钳	ka̠²⁴ t͡ɕʰi̯ẽ¹³
夺	to²⁴
夾	ka̠²⁴
夾生	t͡ɕi̯a̠²⁴ sən³³
夾老倌	ka̠²⁴ lɒu̯⁴¹ kõ³³
夾肢窩	ka̠²⁴ t͡ɕi³³ o³³
夾菜	ka̠²⁴ t͡sʰai̯⁴⁵
夾鉗	ka̠²⁴ t͡ɕʰi̯ẽ¹³
奇	t͡ɕi¹³
奉	xən⁴⁵
奋	ɸən⁴⁵
奎	kʰu̯e̞i̯³³
契	t͡ɕʰi⁴⁵
奖	t͡ɕi̯æn⁴¹
套	tʰɒu̯⁴⁵
奢	sɤ̞³³
奥	ŋɒu̯⁴⁵
奧	ŋɒu̯⁴⁵
奪	to²⁴
奮	ɸən⁴⁵
女	n̠ʲy⁴¹
女的	n̠ʲy⁴¹ ti³
奶	lai̯⁴¹
奶唧唧	lai̯⁴¹ t͡ɕi⁴⁵ t͡ɕi⁴⁵
奶头	lai̯⁴¹ təu̯¹³
奶妈	lai̯⁴¹ ma̠³³
奶媽	lai̯⁴¹ ma̠³³
奶子	lai̯⁴¹ t͡sz̩³
奶頭	lai̯⁴¹ təu̯¹³
好	xɒu̯⁴¹
如	y¹³
如势	y¹³ sz̩⁴⁵
如勢	y¹³ sz̩⁴⁵
如崭	y¹³ t͡san³
如嶄	y¹³ t͡san³
如至今	y¹³ t͡sz̩⁴⁵ t͡ɕin³³
妃	ɸe̞i̯³³
妆	t͡ɕy̯æn³³
妇	ɸu⁴⁵
妈	ma̠³³
妈妈	ma̠³³ ma̠³
妖	i̯əu̯³³
妙	mi̯ɒu̯⁴⁵
妝	t͡ɕy̯æn³³
妥	tʰo⁴¹
妳	n̠ʲi⁴¹
妹	me̞i̯²¹
妹夫子	me̞i̯²¹⁻¹¹ ɸu³³ t͡sz̩³
妹子	me̞i̯²¹⁻¹¹ t͡sz̩³
妹郎子	me̞i̯²¹⁻¹¹ l̃an¹³ t͡sz̩³
妾	t͡ɕʰi̯e̞²⁴
姆妈	m̩³³ ma̠³³
姆媽	m̩³³ ma̠³³
姊	t͡sz̩⁴¹
始	sz̩⁴¹
姐夫子	t͡ɕi̯a̠⁴¹ ɸu³ t͡sz̩³
姐姐	t͡ɕi̯e̞⁴¹ t͡ɕi̯e̞³
姑妈	ku³³ ma̠³³
姑娭毑	ku³³ ŋai̯³³ t͡ɕi̯e̞⁴¹
姑媽	ku³³ ma̠³³
姑子	ku³³ t͡sz̩³
姑爷	ku³³ i̯e̞¹³
姑爷子	ku³³ i̯e̞¹³ t͡sz̩³
姑爹	ku³³ ti̯e̞³³
姑爹爹	ku³³ ti̯a̠³³ ti̯a̠³
姑爺	ku³³ i̯e̞¹³
姑爺子	ku³³ i̯e̞¹³ t͡sz̩³
姓	ɕin⁴⁵
委	u̯e̞i̯⁴¹
姚	i̯ɒu̯¹³
姜	t͡ɕi̯æn³³
姨	i¹³
姨外婆	i¹³ u̯ai̯²¹⁻¹¹ po¹³
姨妈	i¹³ ma̠³³
姨妹子	i¹³ me̞i̯⁴⁵ t͡sz̩³
姨姐	i¹³ t͡ɕi̯e̞⁴¹
姨娭毑	i¹³ ŋai̯³³ t͡ɕi̯e̞⁴¹
姨媽	i¹³ ma̠³³
姨子	i¹³ t͡sz̩³
姨爷子	i¹³ i̯e̞¹³ t͡sz̩³
姨爹	i¹³ ti̯a̠³³
姨爹爹	i¹³ ti̯a̠³³ ti̯a̠³
姨爺子	i¹³ i̯e̞¹³ t͡sz̩³
姪	t͡sz̩²⁴
姪儿子	t͡sz̩²⁴ ɤ̞¹³ t͡sz̩³
姪兒子	t͡sz̩²⁴ ɤ̞¹³ t͡sz̩³
姪女子	t͡sz̩²⁴ n̠ʲy⁴¹ t͡sz̩³
姪郎子	t͡sz̩²⁴ l̃an¹³ t͡sz̩³
威	u̯e̞i̯³³
娃	u̯a̠¹³
娑	so³³
娘	n̠ʲi̯æn¹³
娘屋裡	n̠ʲi̯æn¹³ u²⁴ li³
娘屋里	n̠ʲi̯æn¹³ u²⁴ li³
娘老子	n̠ʲi̯æn¹³ lɒu̯⁴¹ t͡sz̩³
娛	y¹³
娭毑	ŋai̯³³ t͡ɕi̯e̞⁴¹
娱	y¹³
娶	t͡ɕi⁴⁵
婆	po¹³
婆娑	pa̠³³ sa̠³³
婆子	po¹³ t͡sz̩³
婊	pi̯ɒu̯⁴¹
婊子	pi̯ɒu̯⁴¹ t͡sz̩³
婚	ɸən³³
婦	ɸu⁴⁵
婴	in³³
婶	sən⁴¹
婶婶	sən⁴¹ sən³
婿	ɕi²⁴
媒人	me̞i̯¹³ ʐən¹³
媳妇	ɕi²⁴ ɸu³
媳婦	ɕi²⁴ ɸu³
媽	ma̠³³
媽媽	ma̠³³ ma̠³
嫁妆	t͡ɕi̯a̠⁴⁵ t͡ɕy̯æn³³
嫁妝	t͡ɕi̯a̠⁴⁵ t͡ɕy̯æn³³
嫂子	sɒu̯⁴¹ t͡sz̩³
嬰	in³³
嬸	sən⁴¹
嬸嬸	sən⁴¹ sən³
孀	ɕy̯æn³³
子	t͡sz̩⁴¹
子姜	t͡sz̩⁴¹ t͡ɕi̯æn³³
子薑	t͡sz̩⁴¹ t͡ɕi̯æn³³
孑	t͡ɕi̯e̞²⁴
孓	t͡ɕy̯e̞²⁴
孔方錢	kʰən⁴¹ ɸan³³ t͡ɕi̯ẽ¹³
孔方钱	kʰən⁴¹ ɸan³³ t͡ɕi̯ẽ¹³
孕	yn²¹
字	t͡sz̩²¹
字帖	t͡ɕi²¹⁻¹¹ tʰi̯e̞²⁴
字眼子	t͡ɕi²¹⁻¹¹ ŋan⁴¹ t͡sz̩³
存	t͡sən¹³
孙	sən³³
孙女子	sən³³ n̠ʲy⁴¹ t͡sz̩³
孙子	sən³³ t͡sz̩³
孝棍	ɕi̯ɒu̯⁴⁵ ku̯ən⁴⁵
孝歌子	ɕi̯ɒu̯⁴⁵ ko³³ t͡sz̩³
孟	mən⁴⁵
孤	ku³³
孤儿	ku³³ ɤ̞¹³
孤兒	ku³³ ɤ̞¹³
学	ɕi̯o²⁴
学堂	ɕi̯o²⁴ tan¹³
学校	ɕi̯o²⁴ t͡ɕi̯ɒu̯⁴⁵
孫	sən³³
孫女子	sən³³ n̠ʲy⁴¹ t͡sz̩³
孫子	sən³³ t͡sz̩³
學	ɕi̯o²⁴
學堂	ɕi̯o²⁴ tan¹³
學校	ɕi̯o²⁴ t͡ɕi̯ɒu̯⁴⁵
孽	n̠ʲi̯e̞²⁴
宁	n̠ʲin¹³
它它妹子	to¹³ to³ me̞i̯²¹⁻¹¹ t͡sz̩³
它它針	to¹³ to⁴⁵ t͡sən³³
它它针	to¹³ to⁴⁵ t͡sən³³
宇	y⁴¹
守	səu̯⁴¹
守夜	səu̯⁴¹ i̯a̠²¹⁻¹¹
守孝	səu̯⁴¹ ɕi̯ɒu̯⁴⁵
安	ŋan³³
安置	ŋan³³ t͡sz̩²⁴
安頓	ŋan³³ tən⁴⁵
安顿	ŋan³³ tən⁴⁵
宋	sən⁴⁵
完	õ¹³
完姑妈	y̯ẽ¹³ ku³³ ma̠³³
完姑媽	y̯ẽ¹³ ku³³ ma̠³³
完姨子	y̯ẽ¹³ i¹³ t͡sz̩³
宏	xən¹³
宗	t͡sən³³
官	kõ³³
官炮	kʰõ³³ pʰɒu̯⁴⁵
定	tin²¹
宝	pɒu̯⁴¹
宝气	pɒu̯⁴¹ t͡ɕʰi⁴⁵
宝耕	pɒu̯⁴¹ kən³³
实	sz̩²⁴
审	sən⁴¹
客	kʰɤ̞²⁴
客栈	kʰɤ̞²⁴ t͡san²¹⁻¹¹
客棧	kʰɤ̞²⁴ t͡san²¹⁻¹¹
客車	kʰɤ̞²⁴ t͡sʰɤ̞³³
客车	kʰɤ̞²⁴ t͡sʰɤ̞³³
宣	ɕi̯ẽ³³
宪	ɕi̯ẽ⁴⁵
宫	kən³³
宮	kən³³
害	xai̯²¹
宵	ɕi̯ɒu̯³³
家	t͡ɕi̯a̠³³
家乡	t͡ɕi̯a̠³³ ɕi̯æn³³
家具	t͡ɕi̯a̠³³ t͡ɕy⁴⁵
家务事	t͡ɕi̯a̠³³ u⁴⁵ sz̩²¹⁻¹¹
家務事	t͡ɕi̯a̠³³ u⁴⁵ sz̩²¹⁻¹¹
家私	ka̠³³ sz̩³³
家鄉	t͡ɕi̯a̠³³ ɕi̯æn³³
容	in¹³
宾	pin³³
寂	t͡ɕʰi²⁴
寄	t͡ɕi⁴⁵
寅	in¹³
密	mi²⁴
寇	kʰəu̯⁴⁵
富菜	ɸu⁴⁵ t͡sʰai̯⁴⁵
寒	xan¹³
寒婆婆	xan¹³ po¹³ po³
寒毛子	xan¹³ mɒu̯¹³ t͡sz̩³
寒毛子眼	xan¹³ mɒu̯¹³ t͡sz̩³ ŋan⁴¹
寒露	xan¹³ ləu̯²¹⁻¹¹
寒食	xan¹³ sz̩²⁴
察	t͡sʰa̠²⁴
寡	ku̯a̠⁴¹
寡妇	ku̯a̠⁴¹ ɸu⁴⁵
寡婦	ku̯a̠⁴¹ ɸu⁴⁵
實	sz̩²⁴
寧	n̠ʲin¹³
審	sən⁴¹
寫	ɕi̯a̠⁴¹
寫記	ɕi̯e̞⁴¹ t͡ɕi⁴⁵
寶	pɒu̯⁴¹
寶氣	pɒu̯⁴¹ t͡ɕʰi⁴⁵
寶耕	pɒu̯⁴¹ kən³³
寸	t͡sʰən⁴⁵
寸耳風	t͡sʰən⁴⁵ ɤ̞⁴¹ xən³³
寸耳风	t͡sʰən⁴⁵ ɤ̞⁴¹ xən³³
对	te̞i̯⁴⁵
对不住	te̞i̯⁴⁵ pu²⁴ t͡ɕy²¹⁻¹¹
对襟	te̞i̯⁴⁵ t͡ɕin³³
寺	t͡sz̩²¹
寻	t͡ɕin¹³
导	tɒu̯⁴⁵
导游	tɒu̯⁴⁵ i̯əu̯¹³
寿	səu̯²¹
寿它子	səu̯⁴⁵ to¹³ t͡sz̩³
寿枋	səu̯⁴⁵ ɸan³³
封	xən³³
封皮	xən³³ pi¹³
射	sa̠²¹
射格	sa̠⁴⁵ kəu̯¹³
射沕子	sa̠⁴⁵ me̞i̯²¹⁻¹¹ t͡sz̩³
射火子星	sa̠²¹⁻¹¹ xo⁴¹ t͡sz̩³ ɕin³³
射火星	sa̠²¹⁻¹¹ xo⁴¹ ɕin³³
射鼻子	sa̠⁴⁵ pi²⁴ t͡sz̩³
專	t͡ɕy̯ẽ³³
專門	t͡ɕy̯ẽ³³ mən¹³
尊	t͡sən³³
尋	t͡ɕin¹³
對	te̞i̯⁴⁵
對不住	te̞i̯⁴⁵ pu²⁴ t͡ɕy²¹⁻¹¹
對襟	te̞i̯⁴⁵ t͡ɕin³³
導	tɒu̯⁴⁵
導遊	tɒu̯⁴⁵ i̯əu̯¹³
小	ɕi̯ɒu̯⁴¹
小名	ɕi̯ɒu̯⁴¹ min¹³
小婆子	ɕi̯ɒu̯⁴¹ po¹³ t͡sz̩³
小寒	ɕi̯ɒu̯⁴¹ xan¹³
小指拇	ɕi̯ɒu̯⁴¹ t͡sz̩²⁴ mɒu̯³
小指脑	ɕi̯ɒu̯⁴¹ t͡sz̩²⁴ lɒu̯⁴¹
小指腦	ɕi̯ɒu̯⁴¹ t͡sz̩²⁴ lɒu̯⁴¹
小暑	ɕi̯ɒu̯⁴¹ ɕy⁴¹
小气	ɕi̯ɒu̯⁴¹ t͡ɕʰi⁴⁵
小氣	ɕi̯ɒu̯⁴¹ t͡ɕʰi⁴⁵
小满	ɕi̯ɒu̯⁴¹ mõ⁴¹
小滿	ɕi̯ɒu̯⁴¹ mõ⁴¹
小菜	ɕi̯ɒu̯⁴¹ t͡sʰai̯⁴⁵
小衣	ɕi̯ɒu̯⁴¹ i³³
小酒	ɕi̯ɒu̯⁴¹ t͡ɕi̯əu̯⁴¹
小雪	ɕi̯ɒu̯⁴¹ ɕi̯e̞²⁴
少	sɒu̯⁴¹
尔	ɤ̞⁴¹
尖	t͡ɕi̯ẽ³³
尚	san⁴⁵
就	t͡ɕi̯əu̯²¹
尺	t͡sʰa̠²⁴
尼	n̠ʲi¹³
尼姑	n̠ʲi¹³ ku³³
尾	u̯e̞i̯⁴¹
尾子	u̯e̞i̯⁴¹ t͡sz̩³
尾巴	u̯e̞i̯⁴¹ pa̠³³
尾節骨	u̯e̞i̯⁴¹ t͡ɕi̯e̞²⁴ ku²⁴
尾节骨	u̯e̞i̯⁴¹ t͡ɕi̯e̞²⁴ ku²⁴
尿	n̠ʲi̯ɒu̯²¹
尿壶	n̠ʲi̯ɒu̯²¹⁻¹¹ ɸu¹³
尿壺	n̠ʲi̯ɒu̯²¹⁻¹¹ ɸu¹³
尿布	n̠ʲi̯ɒu̯²¹⁻¹¹ pu⁴⁵
尿泡	n̠ʲi̯ɒu̯²¹⁻¹¹ pʰɒu̯³³
屁	pʰi⁴⁵
屁眼	pʰi⁴⁵ ŋan⁴¹
屁股	pʰi⁴⁵ ku⁴¹
屁股臀子	pʰi⁴⁵ ku⁴¹ tən¹³ t͡sz̩³
层	t͡sʰən¹³
屄	pi̯e̞²⁴
居	t͡ɕy³³
屋	u²⁴
屋檐	u²⁴ i̯ẽ¹³
屋脊	u²⁴ t͡ɕi²⁴
屋頂	u²⁴ tin⁴¹
屋顶	u²⁴ tin⁴¹
屎	sz̩⁴¹
屎壳郎	sz̩⁴¹ kʰo²⁴ l̃an¹³
屎殼郎	sz̩⁴¹ kʰo²⁴ l̃an¹³
屏	pin¹³
屑	ɕi̯e̞²⁴
屑子	ɕi̯e̞²⁴ t͡sz̩³
展	t͡sə̃⁴¹
屙	o³³
屙尿	o³³ n̠ʲi̯ɒu̯²¹⁻¹¹
屙屎	o³³ sz̩⁴¹
屙肚子	o³³ təu̯⁴¹ t͡sz̩³
屡	le̞i̯⁴¹
屢	le̞i̯⁴¹
層	t͡sʰən¹³
履	li⁴¹
山	san³³
山冲里	san³³ t͡sʰən³³ li³
山坡	san³³ pʰo³³
山墈	san³³ kʰõ⁴⁵
山底下	san³³ ti⁴¹ xa̠³
山脚下	san³³ t͡ɕi̯o²⁴ xa̠³
山腳下	san³³ t͡ɕi̯o²⁴ xa̠³
山药薯	san³³ i̯o²⁴ ɕy²¹⁻¹¹
山藥薯	san³³ i̯o²⁴ ɕy²¹⁻¹¹
山衝裡	san³³ t͡sʰən³³ li³
岁	se̞i̯⁴⁵
岂	t͡ɕʰi⁴¹
岔	t͡sʰa̠⁴⁵
岛	tɒu̯⁴¹
岩	ŋai̯¹³
岳母娘	i̯o²⁴ mo⁴¹ n̠ʲi̯æn¹³
岳老子	i̯o²⁴ lɒu̯⁴¹ t͡sz̩³
岸	ŋan⁴⁵
峦	lõ¹³
峰	xən¹³
島	tɒu̯⁴¹
崑	kʰu̯ən³³
崔	t͡sʰe̞i̯³³
崖	ŋai̯¹³
崙	lən¹³
崧	sən³³
崭平	t͡san⁴¹ pin¹³
崭新	t͡san⁴¹ ɕin³³
崭齐	t͡san⁴¹ t͡ɕi¹³
崽	t͡sai̯⁴¹
崽女	t͡sai̯⁴¹ n̠ʲy⁴¹
崽子	t͡sai̯⁴¹ t͡sz̩³
嵩	sən³³
嶄平	t͡san⁴¹ pin¹³
嶄新	t͡san⁴¹ ɕin³³
嶄齊	t͡san⁴¹ t͡ɕi¹³
巒	lõ¹³
川	t͡ɕʰy̯ẽ³³
川資	t͡ɕʰy̯ẽ³³ t͡sz̩³³
川资	t͡ɕʰy̯ẽ³³ t͡sz̩³³
州	t͡səu̯³³
巡	sən¹³
巡經	sən¹³ t͡ɕin³³
巡经	sən¹³ t͡ɕin³³
巢	t͡sɒu̯¹³
工	kən³³
工人	kən³³ ʐən¹³
工作	kən³³ t͡so²⁴
工錢	kən³³ t͡ɕi̯ẽ¹³
工钱	kən³³ t͡ɕi̯ẽ¹³
左	t͡so⁴¹
左手子	t͡so⁴¹ səu̯⁴¹ t͡sz̩³
左撇子	t͡so⁴¹ pʰi̯e̞²⁴ t͡sz̩³
左笔子	t͡so⁴¹ pi²⁴ t͡sz̩³
左筆子	t͡so⁴¹ pi²⁴ t͡sz̩³
左莫	t͡so⁴¹ mo³
巧	t͡ɕʰi̯ɒu̯⁴¹
巫婆	u³³ po¹³
差	t͡sʰa̠³³
差不多	t͡sʰa̠³³ pu³ to³³
差点咖子	t͡sʰa̠³³ ti̯ẽ⁴¹ ka̠³ t͡sz̩³
差點咖子	t͡sʰa̠³³ ti̯ẽ⁴¹ ka̠³ t͡sz̩³
己	t͡ɕi⁴¹
巴	pa̠³³
巴不得	pa̠³³ pu³ tɤ̞³
巴壁藤	pa̠³³ pi²⁴ tən¹³
巴壁虎	pa̠³³ pi²⁴ ɸu⁴¹
巴壳	pa̠³³ kʰo²⁴
巴壳蛋	pa̠³³ kʰo²⁴ tan²¹⁻¹¹
巴家	pa̠³³ t͡ɕi̯a̠³³
巴巴	pa̠³³ pa̠³
巴巴凳	pa̠³³ pa̠³ tən⁴⁵
巴巴头	pa̠³³ pa̠³ təu̯¹³
巴巴頭	pa̠³³ pa̠³ təu̯¹³
巴掌	pa̠³³ t͡san⁴¹
巴殼	pa̠³³ kʰo²⁴
巴殼蛋	pa̠³³ kʰo²⁴ tan²¹⁻¹¹
巷子	xan²¹⁻¹¹ t͡sz̩³
巾	t͡ɕin³³
币	pe̞i̯⁴⁵
市	sz̩²¹
布	pu⁴⁵
布庄	pu⁴⁵ t͡ɕy̯æn³³
布莊	pu⁴⁵ t͡ɕy̯æn³³
布鞋	pu⁴⁵ xai̯¹³
帆	ɸan¹³
帆布凳子	ɸan¹³ pu⁴⁵ tən⁴⁵ t͡sz̩³
帆船	ɸan¹³ t͡ɕy̯ẽ¹³
师	sz̩³³
师公子	ɕi³³ kən³³ t͡sz̩³
希	ɕi³³
帐	t͡san⁴⁵
帐子	t͡san⁴⁵ t͡sz̩³
帕	pʰɤ̞²⁴
帛	pɤ̞²⁴
帝	ti⁴⁵
師	sz̩³³
師公子	ɕi³³ kən³³ t͡sz̩³
席	ɕi²⁴
席子	ɕi²⁴ t͡sz̩³
帮	pan³³
帳	t͡san⁴⁵
帳子	t͡san⁴⁵ t͡sz̩³
常	san¹³
常年子	san¹³ n̠ʲi̯ẽ¹³ t͡sz̩³
帽	mɒu̯²¹
帽子	mɒu̯²¹⁻¹¹ t͡sz̩³
幅	ɸu⁴⁵
幣	pe̞i̯⁴⁵
幫	pan³³
干	kan³³
干子	kan³³ t͡sz̩³
干田	kan³³ ti̯ẽ¹³
干菜子	kan³³ t͡sʰai̯⁴⁵ t͡sz̩³
平	pin¹³
平常年子	pʰin¹³ san¹³ n̠ʲi̯ẽ¹³ t͡sz̩³
年	n̠ʲi̯ẽ¹³
年初	n̠ʲi̯ẽ¹³ t͡sʰəu̯³³
年底	n̠ʲi̯ẽ¹³ ti⁴¹
年紀	n̠ʲi̯ẽ¹³ t͡ɕi⁴¹
年纪	n̠ʲi̯ẽ¹³ t͡ɕi⁴¹
并	pin⁴⁵
幸	ɕin⁴⁵
幹	kan⁴⁵
幺它	i̯ɒu̯³³ to¹³
幻	xõ⁴⁵
幼	i̯əu̯⁴⁵
幼儿园	i̯əu̯⁴⁵ ɤ̞¹³ y̯ẽ¹³
幼兒園	i̯əu̯⁴⁵ ɤ̞¹³ y̯ẽ¹³
幽	i̯əu̯³³
幾	t͡ɕi⁴¹
幾多	t͡ɕi⁴¹ to³³
广	ku̯an⁴¹
广橘	ku̯an⁴¹ t͡ɕy²⁴
广糖	ku̯an⁴¹ tan¹³
广货铺	ku̯an⁴¹ xo⁴⁵ pʰu⁴⁵
庄	t͡ɕy̯æn³³
庆	t͡ɕʰin⁴⁵
庇	pʰi⁴¹
床	t͡ɕy̯æn¹³
床当头	t͡ɕy̯æn¹³ tan⁴⁵ təu̯¹³
床當頭	t͡ɕy̯æn¹³ tan⁴⁵ təu̯¹³
床鋪	t͡ɕy̯æn¹³ pʰu³³
床铺	t͡ɕy̯æn¹³ pʰu³³
序	ɕi⁴⁵
库	kʰu⁴⁵
底	ti⁴¹
店	ti̯ẽ⁴⁵
店子	ti̯ẽ⁴⁵ t͡sz̩³
庙	mi̯ɒu̯²¹
庙祝	mi̯ɒu̯²¹⁻¹¹ t͡səu̯²⁴
庙老倌	mi̯ɒu̯²¹⁻¹¹ lɒu̯⁴¹ kõ³³
庚	kən³³
府	ɸu⁴¹
废	ɸe̞i̯⁴⁵
庫	kʰu⁴⁵
庭	tin¹³
庵	ŋan³³
康	kʰan³³
廁	t͡sʰz̩⁴⁵
廉	li̯ẽ¹³
廚	t͡ɕy¹³
廟	mi̯ɒu̯²¹
廟祝	mi̯ɒu̯²¹⁻¹¹ t͡səu̯²⁴
廟老倌	mi̯ɒu̯²¹⁻¹¹ lɒu̯⁴¹ kõ³³
廢	ɸe̞i̯⁴⁵
廣	ku̯an⁴¹
廣橘	ku̯an⁴¹ t͡ɕy²⁴
廣糖	ku̯an⁴¹ tan¹³
廣貨鋪	ku̯an⁴¹ xo⁴⁵ pʰu⁴⁵
延	i̯ẽ¹³
建	t͡ɕi̯ẽ⁴⁵
开	kʰai̯³³
开先	kʰai̯³³ ɕi̯ẽ³³
开初	kʰai̯³³ t͡sʰəu̯³³
开发子	kʰai̯³³ ɸa̠³ t͡sz̩³
开山	kʰai̯³³ san³³
开山子	kʰai̯³³ san³³ t͡sz̩³
开水	kʰai̯³³ ɕy̯e̞i̯⁴¹
开边	kʰai̯³³ pi̯ẽ³³
开销	kʰai̯³³ ɕi̯ɒu̯³³
弃	t͡ɕʰi⁴⁵
弄	lən⁴⁵
弆	kɤ̞⁴¹
式	sz̩⁴⁵
弓	kən³³
引	in⁴¹
弟	ti²¹
弟媳妇	ti²¹⁻¹¹ ɕi²⁴ ɸu³
弟媳婦	ti²¹⁻¹¹ ɕi²⁴ ɸu³
弟弟	ti⁴⁵ ti³
张	t͡san³³
弦	ɕi̯ẽ¹³
弱	n̠ʲi̯o²⁴
張	t͡san³³
強	t͡ɕi̯æn¹³
弹	tan¹³
弹四郎	tan¹³ sz̩⁴⁵ l̃an¹³
弹琴	tan¹³ t͡ɕin¹³
弹腔	tan¹³ t͡ɕʰi̯æn³³
强	t͡ɕi̯æn¹³
彈	tan¹³
彈四郎	tan¹³ sz̩⁴⁵ l̃an¹³
彈琴	tan¹³ t͡ɕin¹³
彈腔	tan¹³ t͡ɕʰi̯æn³³
归	ku̯e̞i̯³³
当	tan³³
当赔匠	tan³³ pe̞i̯¹³ t͡ɕi̯æn²¹⁻¹¹
当阳	tan³³ i̯æn¹³
录	ləu̯²⁴
彗	ɸe̞i̯⁴⁵
形	ɕin¹³
彩	t͡sʰai̯⁴¹
彩霞	t͡sʰai̯⁴¹ ɕi̯a̠¹³
彩龍船	t͡sʰai̯⁴¹ lən¹³ t͡ɕʰy̯ẽ¹³
彩龙船	t͡sʰai̯⁴¹ lən¹³ t͡ɕʰy̯ẽ¹³
彭	pən¹³
影	in⁴¹
影子	in⁴¹ t͡sz̩³
影子戏	in⁴¹ t͡sz̩³ ɕi⁴⁵
影子戲	in⁴¹ t͡sz̩³ ɕi⁴⁵
役	y²⁴
彻	t͡sʰɤ̞²⁴
往	u̯an⁴¹
往年子	u̯an⁴¹ n̠ʲi̯ẽ¹³ t͡sz̩³
往往	u̯an⁴¹ u̯an⁴¹
征	t͡sən³³
待	tai̯⁴⁵
很	xɤ̞⁴¹
律	li²⁴
律师	li²⁴ sz̩³³
律師	li²⁴ sz̩³³
後	xəu̯²¹
後娘	xəu̯²¹⁻¹¹ n̠ʲi̯æn¹³
後娘子	xəu̯²¹⁻¹¹ n̠ʲi̯æn¹³ t͡sz̩³
後年	xəu̯²¹⁻¹¹ n̠ʲi̯ẽ¹³
後悔	xəu̯²¹⁻¹¹ ɸe̞i̯⁴¹
後爺	xəu̯²¹⁻¹¹ i̯a̠¹³
後背	xəu̯²¹⁻¹¹ pe̞i̯⁴⁵
後腦殼	xəu̯²¹⁻¹¹ lɒu̯⁴¹ kʰo²⁴
後頭	xəu̯²¹⁻¹¹ təu̯³
徐	ɕi¹³
徒	təu̯¹³
徒弟伢子	təu̯¹³ ti⁴⁵ ŋa̠¹³ t͡sz̩³
得	tɤ̞²⁴
得螺	tɤ̞²⁴ lo¹³
徛	t͡ɕi²¹
徛人旁	t͡ɕi²¹⁻¹¹ ʐən¹³ pan¹³
從	t͡sən¹³
從小	t͡sən¹³ ɕi̯ɒu̯⁴¹
從毛鬚	t͡sən¹³ mɒu̯¹³ ɕi³³
循	sən¹³
微	u̯e̞i̯¹³
徵	t͡sən³³
德	tɤ̞²⁴
徹	t͡sʰɤ̞²⁴
徽	ɸe̞i̯³³
心	ɕin³³
心子	ɕin³³ t͡sz̩³
必	pi²⁴
忍	ʐən⁴¹
志	t͡sz̩⁴⁵
忘	u̯an¹³
忙	man¹³
忠	t͡sən³³
快	kʰu̯ai̯⁴⁵
快迅	kʰu̯ai̯⁴⁵ ɕin⁴⁵
念	n̠ʲi̯ẽ²¹
念經	n̠ʲi̯ẽ²¹⁻¹¹ t͡ɕin³³
念经	n̠ʲi̯ẽ²¹⁻¹¹ t͡ɕin³³
怀	ɸai̯¹³
怀肚	ɸai̯¹³ təu̯²¹⁻¹¹
态	tʰai̯⁴⁵
怄气	ŋəu̯⁴⁵ t͡ɕʰi⁴⁵
怕	pʰa̠⁴⁵
怕丑	pʰa̠⁴⁵ t͡sʰəu̯⁴¹
怕痒花	pʰa̠⁴⁵ i̯æn⁴¹ ɸa̠³³
怕癢花	pʰa̠⁴⁵ i̯æn⁴¹ ɸa̠³³
怕醜	pʰa̠⁴⁵ t͡sʰəu̯⁴¹
怜	li̯ẽ¹³
思	sz̩³³
急	t͡ɕi²⁴
性	ɕin⁴⁵
怨	y̯ẽ⁴⁵
怪	ku̯ai̯⁴⁵
怪人子	ku̯ai̯⁴⁵ ʐən¹³ t͡sz̩³
总	t͡sən⁴¹
恆	xən¹³
恋	li̯ẽ⁴⁵
恒	xən¹³
恥	t͡sʰz̩⁴¹
恩	ŋən³³
恭	kən³³
息	ɕi²⁴
息錢	ɕi²⁴ t͡ɕi̯ẽ¹³
息钱	ɕi²⁴ t͡ɕi̯ẽ¹³
恰	t͡ɕʰi̯a̠²⁴
恳	kʰən⁴¹
恶	o²⁴
恶实	o²¹⁻¹¹ sz̩²⁴
悔	ɸe̞i̯⁴¹
患	xõ⁴⁵
