# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# ⚠ LICENCE: GPL-3.0 (per-file fence) — NOT CC-BY-SA like the sibling riders.
# Source: g2p-inversion over espeak-ng dictsource/ps_list (GPL-3.0, Hanif Rahman) + wikipron + kaikki.
# 12535 of 13828 rows are reachable only from the GPL source. Only the SHORT-VOWEL PLACEMENT
# derives from it — espeak's phoneme strings are never copied; the consonants are our g2p's.
# See src/languages/pashto/lexicon.PROVENANCE.md and LICENSES/PROVENANCE.md §4.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبخانە	آبخانَە
اثرسره	اثرْسْره
اثرـ	اثَرْـ
اثركې	اثَركې
اثرلري	اثَرْلري
اثرليکی	اثَرليکِی
اثره	اثَره
اثرو	اثَرو
اثرورسوخ	اثَروْرْسُوخ
اثروسره	اثروْسْره
اثرونه	اثَرونه
اثرونو	اثَرونو
اثرونوله	اثَرونوله
اثروکړچې	اثَروکْړْچې
اثروکړې	اثَروکړې
اثري	اثَري
اثريي	اثَرَيي
اثرپرې	اثَرْپْرې
اثرچي	اثَرچي
اثرچې	اثَرچې
اثرکي	اثَرکي
اثرکې	اثَرکې
اثری	اثَرِی
اثـــر	اثَـــر
اثــــردي	اثَــــردي
اثـــــرپــــه	اثـــــرپْــــه
اثـــنی	اثَـــنِی
اثن	اثْن
اثنتي	اثْنْتي
اثنی	اثنِی
اثونو	اثونُو
اجب	اجْب
اجة	اجَة
اجت	اجْت
اجد	اجْد
اجر	اجْر
اجرآتو	اجْرآتو
اجرآتوکي	اجْرآتوکي
اجرآکړی	اجرآکړِی
اجرأ	اجرَأ
اجرأت	اجرَأت
اجرأتو	اجرَأتو
اجربه	اجْرْبه
اجرتونه	اجْرتُونه
اجرتى	اجْرتِى
اجرتي	اجْرتي
اجرتی	اجْرتِی
اجرعظيم	اجرَعظيم
اجرونه	اجرُونه
اجرونو	اجرُونو
اجرډيه	اجْرْډيه
اجز	اجْز
اجستر	اجْسْتر
اجــر	اجْــر
اجـــــــــر	اجْـــــــــر
اجــــــــــــــــل	اجْــــــــــــــــل
اجــــــل	اجْــــــل
اجـــــمل	اجْـــــمْل
اجــل	اجْــل
اجلى	اجلِى
اجم	اجْم
اجمله	اجْمْله
اجمیرشریف	اجمیرْشْریف
اجن	اجْن
اجنبى	اجْنبِى
اجنبي	اجْنبي
اجنبی	اجْنبِی
اجندآ	اجْندآ
اجندأ	اجْندَأ
اجنسي	اجْنسي
اجنسې	اجْنسې
اجنټ	اجْنْټ
اجنډې	اجْنْډې
اجوخت	اجوخْت
اجونی	اجونِی
اجيری	اجيرِی
اجينټ	اجينْټ
اجی	اجِی
اجینت	اجینْت
اجینټ	اجینْټ
احب	احَب
احبکم	احَبکم
احت	احَت
احتم	احَتْم
احد	احَد
احدبلور	احَدْبْلور
احدد	احَدْد
احدى	احَدِى
احدىچې	احَدِىچې
احدي	احَدي
احديث	احَديث
احدکم	احَدکم
احدی	احَدِی
احدیت	احَدیت
احدې	احَدې
احرونوت	احرونُوت
احرى	احرِى
احزب	احْزْب
احسن	احسَن
احسنه	احْسنه
احضر	احْضْر
احطب	احْطْب
احـم	احْـم
احـمـد	احـمَـد
احل	احْل
احم	احْم
احمد	احمَد
احمدبصير	احمَدبَصير
احمدبلور	احمَدْبْلُور
احمدبن	احمَدبَن
احمدحسين	احمَدحَسين
احمدخسرو	احمَدخَسرُو
احمدخېل	احمَدخېل
احمدد	احمَدْد
احمدرشيد	احمَدْرْشيد
احمدز	احمَدْز
احمدزى	احمدزِى
احمدزی	احمدزِی
احمدزﺉ	احمدزِﺉ
احمدس	احمدْس
احمدسره	احمدْسْره
احمدسعيد	احمدْسعيد
احمدسعيدي	احمدْسعيدي
احمدسمير	احمدْسْمير
احمدشرح	احمدشرْح
احمدشکیب	احمدْشْکیب
احمدصمد	احمدصَمد
احمدصميم	احمدصَميم
احمدف	احمدْف
احمدقریشی	احمدْقْریشِی
احمدلودين	احمدلُودين
احمدنوري	احمدْنوْرْي
احمدنګر	احمدنِګْر
احمده	احْمده
احمدورته	احمدوْرْته
احمدوردګ	احمدوْرْدِګ
احمدوف	احمدوْفْ
احمدولي	احمدوْلْي
احمدى	احْمدِى
احمدي	احْمدي
احمدپوپل	احمدْپوْپْل
احمدژوند	احمدْژوْنْد
احمدی	احْمدِی
احمدې	احْمدې
احمق	احمِق
احمقه	احمِقه
احول	احوْلْ
احکم	احکِم
احی	احِی
احیستی	احیستِی
اخبره	اخْبره
اخت	اخْت
اخترخونه	اخترخُونه
اخترد	اخترْد
اختردسه	اخترْدسه
اختردنيک	اختردَنيک
اختردورځې	اختردَورْځې
اختردى	اختردِى
اختردی	اختردِی
اخترم	اخترْم
اخترمونځ	اخترْموْنْځ
اخترنــــــــــــــــه	اخترنْــــــــــــــــه
اختره	اخْتره
اخترو	اخْترو
اخترورځ	اخْترورْځ
اخترونه	اخْترُونه
اخترونو	اخْترُونو
اخترونوته	اخْترُونوته
اخترونوكي	اخْترُونوكي
اخترونوپه	اخْترُونوپه
اختروکې	اخْتروکې
اختري	اخْتري
اختريزه	اخْتريزه
اختريزې	اخْتريزې
اختريست	اخْتريسْت
اخترکی	اخترکِی
اختریز	اخْتریز
اختریې	اخْترَیې
اختفى	اختَفِى
اخــــلی	اخــــلِی
اخـلـو	اخـلُـو
اخـلـی	اخـلِـی
اخفی	اخفِی
اخلـــــی	اخلِـــــی
اخلمــــــــ	اخلمْــــــــ
اخلمـــــــــــــــ	اخلمْـــــــــــــــ
اخلمه	اخْلمه
اخلو	اخلُو
اخلود	اخلُود
اخلوددې	اخلُوددې
اخلول	اخلُول
اخلوله	اخلُوله
اخلومونږ	اخلُومُونْږ
اخلوچې	اخلُوچې
اخلی	اخلِی
اخلیدو	اخلیدُو
اخلېکله	اخلېکَله
اخمدی	اخْمدِی
اخندد	اخندْد
اخندي	اخْندي
اخنوخ	اخنُوخ
اخوندي	اخُوندي
اخونديزم	اخُونديزم
اخوندپه	اخُونْدْپه
اخوندی	اخُوندِی
اخوندۍ	اخُوندۍ
اخوني	اخُوني
اخوډب	اخُوډَب
اخوډوب	اخُوډوب
اخيتسى	اخيتسِى
اخيرت	اخيرْت
اخيركى	اخيركِى
اخيرمېړونه	اخيرمېړُونه
اخيرنى	اخيرنِى
اخيری	اخيرِی
اخيست	اخيسْت
اخيستله	اخيسْتله
اخيستلو	اخيسْتلو
اخيستلوته	اخيسْتلوته
اخيستلوسره	اخيسْتلوسره
اخيستلونه	اخيسْتلُونه
اخيستلوپه	اخيسْتلوپه
اخيستلى	اخيسْتلِى
اخيستلي	اخيسْتلي
اخيستلی	اخيسْتلِی
اخيستلې	اخيسْتلې
اخيستنه	اخيسْتنه
اخيستنو	اخيسْتنو
اخيستنى	اخيسْتنِى
اخيستني	اخيسْتني
اخيستنی	اخيسْتنِی
اخيستنې	اخيسْتنې
اخيستى	اخيستِى
اخيستىى	اخيستِىى
اخيستىپر	اخيستِىپَر
اخيستىپه	اخيسْتىپه
اخيستی	اخيستِی
اخيسى	اخيسِى
اخيسی	اخيسِی
اخيــــستى	اخيــــستِى
اخيه	اخِيه
اخپرونې	اخپَرونې
اخپله	اخْپله
اخپلو	اخْپلو
اخپلې	اخْپلې
اخځ	اخْځ
اخځليكونه	اخْځْليكونه
اخځليكونو	اخْځْليكونو
اخځليک	اخْځْليک
اخځليکونه	اخْځْليکُونه
اخځلیک	اخْځْلیک
اخځلیکونه	اخْځْلیکُونه
اخځنونه	اخْځنُونه
اخځونه	اخځُونه
اخځونو	اخځُونو
اخښی	اخښَی
اخګر	اخګَر
اخګرخېلو	اخګَرخېلو
اخیتسی	اخیتسِی
اخیرت	اخیرْت
اخیرش	اخیرْش
اخیرنی	اخیرنِی
اخیرينی	اخیرينِی
اخیرکله	اخیرْکْله
اخیری	اخیرِی
اخیست	اخیسْت
اخیستـــی	اخیستِـــی
اخیستـنی	اخیسْتْـنِی
اخیستله	اخیسْتله
اخیستلو	اخیسْتلو
اخیستلوته	اخیسْتلوته
اخیستلوحق	اخیسْتلوحُق
اخیستلوسره	اخیسْتلوسره
اخیستلوپه	اخیسْتلوپه
اخیستلي	اخیسْتلي
اخیستلی	اخیسْتلِی
اخیستلې	اخیسْتلې
اخیستنل	اخیسْتنل
اخیستنه	اخیسْتنه
اخیستنو	اخیسْتنو
اخیستني	اخیسْتني
اخیستنی	اخیسْتنَی
اخیستنې	اخیسْتنې
اخیستودملکی	اخیستودمْلکِی
اخیستوسره	اخیستوسَره
اخیستونونه	اخیستونُونه
اخیستونکئ	اخیستونَکئ
اخیستونکو	اخیستونَکو
اخیستونکي	اخیستونَکي
اخیستونکی	اخیستونَکی
اخیستونکې	اخیستونَکې
اخیستوپرته	اخیستوپْرته
اخیستوڅخه	اخیستوڅَخه
اخیستپه	اخیسْتْپه
اخیستی	اخیستَی
اخیسی	اخیسِی
اخیسیتی	اخیسیتِی
اخیه	اخَیه
اخیځلیک	اخیځَلیک
اخییستی	اخَییستِی
اخېرت	اخېرَت
اخېری	اخېرِی
اخېست	اخېسْت
اخېستله	اخېسْتله
اخېستلو	اخېسْتلو
اخېستلوپه	اخېسْتلوپه
اخېستلي	اخېسْتلي
اخېستنه	اخېسْتنه
اخېستنې	اخېسْتنې
اخېستونكي	اخېستونَكي
اخېستونکي	اخېستونَکي
اخېستونکې	اخېستونَکې
اخېستی	اخېستَی
ادأ	ادَأ
ادبئ	ادَبئ
ادبــی	ادَبِــی
ادبـي	ادَبِـي
ادبـی	ادَبِـی
ادبه	ادَبه
ادبونه	ادَبونه
ادبى	ادَبى
ادبي	ادَبي
ادبيت	ادَبيت
ادبی	ادَبِی
ادبۍ	ادَبۍ
ادبې	ادَبې
ادتمندى	ادتمَندِى
ادته	ادَته
ادثی	ادَثِی
ادخلتني	ادخلْتني
ادخپل	ادْخْپل
ادردمن	ادرْدْمن
ادرس	ادرْس
ادرسونه	ادرسُونه
ادرسونو	ادرسُونو
ادرسکن	ادرْسْکن
ادره	ادَره
ادرو	ادَرو
ادري	ادَري
ادريس	ادَريس
ادريمزي	ادَريمزي
ادرين	ادَرين
ادرک	ادرْک
ادری	ادَرِی
ادریس	ادَریس
ادرین	ادَرین
ادرې	ادَرې
ادزړه	ادْزْړه
ادق	ادَق
ادل	ادَل
ادلون	ادَلُون
ادلى	ادَلِى
ادم	ادَم
ادمخیل	ادَمخیل
ادمدنی	ادَمدَنِی
ادمز	ادَمْز
ادمس	ادَمْس
ادمـــــــــــــــــــــــــــــــــــــــه	ادَمْـــــــــــــــــــــــــــــــــــــــه
ادمنتون	ادَمَنتُون
ادمه	ادَمه
ادمونه	ادَمُونه
ادمى	ادَمِى
ادميت	ادَميت
ادمیت	ادَمیت
ادن	ادَن
ادند	ادَنْد
ادنى	ادَنِى
ادنی	ادَنِی
ادنیښنوسره	ادَنیښنُوسره
ادورنو	ادَورنو
ادوس	ادَوسْ
ادولف	ادَولْف
ادونه	ادَونه
ادونو	ادَونو
ادونوته	ادَونوته
ادوه	ادَوه
ادوي	ادَوي
ادويه	ادَويه
ادوړي	ادَوړي
ادوین	ادَوین
ادي	ادَي
ادپ	ادَپ
ادپت	ادَپْت
ادکي	ادَکي
ادڼه	ادَڼه
ادی	ادَی
اذر	اذَر
اذري	اذَري
اذرې	اذَرې
اذل	اذَل
اذلة	اذَلة
اذله	اذَله
اذن	اذَن
اذنبته	اذَنْبته
اذنه	اذَنه
اذوقه	اذوْقه
اذيتونو	اذيتُونو
اذیتونه	اذیتُونه
اذیتونو	اذیتُونو
ارب	ارَب
اربر	ارَبْر
اربشو	ارَبشو
اربطه	ارَبطه
اربعون	ارَبعُون
اربعين	ارَبعين
اربعین	ارَبعین
اربك	ارَبْك
اربكى	ارَبكِى
اربكي	ارَبكي
اربن	ارَبْن
اربندونه	اربْنْدُونه
اربه	ارَبه
اربو	ارَبو
اربور	ارَبور
اربونو	ارَبُونو
اربي	ارَبي
اربيزه	ارَبيزه
اربکى	ارْبکِى
اربکي	ارْبکي
اربکيو	ارْبکَيو
اربکی	ارْبکِی
اربکیو	ارْبکَیو
