# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# ⚠ LICENCE: GPL-3.0 (per-file fence) — NOT CC-BY-SA like the sibling riders.
# Source: g2p-inversion over espeak-ng dictsource/ps_list (GPL-3.0, Hanif Rahman) + wikipron + kaikki.
# 12535 of 13828 rows are reachable only from the GPL source. Only the SHORT-VOWEL PLACEMENT
# derives from it — espeak's phoneme strings are never copied; the consonants are our g2p's.
# See src/languages/pashto/lexicon.PROVENANCE.md and LICENSES/PROVENANCE.md §4.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبخانە	آبخانَە
اوتوپيردملي	اوتوپيردَملي
اوتوپک	اوتوپَک
اوتوکم	اوتوکَم
اوتوکمي	اوتوکَمي
اوتيروتنوډي	اوتيروتَنوډي
اوتيرى	اوتيرِى
اوتيری	اوتيرِی
اوتيوريکه	اوتِيوريکه
اوتړی	اوتړِی
اوتکس	اوتْکْس
اوتکسی	اوتْکْسِی
اوتکليف	اوتْکْليف
اوتکليفي	اوتْکْليفي
اوتکلیفو	اوتْکْلیفو
اوتکلیفونه	اوتْکْلیفونه
اوتکيه	اوتْکيه
اوتکړه	اوتْکْړه
اوتګ	اوتْګ
اوتګلوري	اوتْګْلوري
اوتڼی	اوتڼِی
اوتی	اوتِی
اوتیری	اوتیرِی
اوتیزی	اوتیزِی
اوتېرمنی	اوتېرمَنِی
اوتېری	اوتېرِی
اوثبت	اوثبَت
اوثمبول	اوثْمْبول
اوثمره	اوثْمْره
اوثمرې	اوثْمْرې
اوجبر	اوجبَر
اوجبري	اوجبَري
اوجدلونو	اوجدَلونو
اوجذب	اوجذَب
اوجذبه	اوجْذْبه
اوجر	اوجَر
اوجرأت	اوجَرَأت
اوجرتي	اوجَرتي
اوجرم	اوجرَم
اوجرمني	اوجرَمني
اوجرمي	اوجرَمي
اوختی	اوختِی
اوخدمت	اوخْدْمت
اوخدمتتونو	اوخْدْمتتُونو
اوخدمتونه	اوخْدْمتُونه
اوخدیجی	اوخدیجِی
اوخر	اوخْر
اوخروج	اوخرُوج
اوخروش	اوخرُوش
اوخرپه	اوخْرْپه
اوخرځ	اوخْرْځ
اوخرځه	اوخْرْځه
اوخرڅ	اوخْرْڅ
اوخرڅول	اوخْرْڅول
اوخرڅولي	اوخْرْڅولي
اوخرچ	اوخْرْچ
اوخزری	اوخْزْرِی
اوخشونت	اوخشُونت
اوخصلت	اوخْصلت
اوخصوصي	اوخْصوْصْي
اوخلف	اوخلَف
اوخلك	اوخلِك
اوخلكو	اوخلِكو
اوخلكومين	اوخلِكومين
اوخلكويې	اوخلِكويې
اوخلوت	اوخْلوْتْ
اوخلوص	اوخْلوْصْ
اوخليلی	اوخليلِی
اوخلک	اوخلِک
اوخلکو	اوخلِکو
اوخلکوتر	اوخلِکوتر
اوخلکود	اوخلِکود
اوخلکوسره	اوخْلکوسره
اوخلکوپه	اوخْلکوپه
اوخلکوکی	اوخلِکوکِی
اوخلکوګټې	اوخْلکوګَټې
اوخلګ	اوخلِګ
اوخلګو	اوخلِګو
اوخلګوضد	اوخلِګوضْد
اوخلګوپه	اوخْلګوپه
اوخلگو	اوخلِگو
اوخنثى	اوخْنْثِى
اوخندني	اوخنِدني
اوخنده	اوخْنده
اوخنځير	اوخْنځير
اوخنډ	اوخنِډ
اوخورك	اوخورْك
اوخورلڼو	اوخورلَڼو
اوخورونو	اوخورُونو
اوخوريې	اوخورِيې
اوخوست	اوخوسْت
اوخوســت	اوخوسْــت
اوخوشمند	اوخوشمَنْد
اوخوند	اوخونْد
اوخوندلري	اوخونْدْلَري
اوخوندونه	اوخوندُونه
اوخوندپوهه	اوخونْدْپوهه
اوخوندی	اوخوندِی
اوخوښی	اوخوښِی
اوخپ	اوخْپ
اوخپره	اوخْپْره
اوخپرول	اوخْپْرُول
اوخپرولو	اوخْپْرُولو
اوخپروني	اوخْپْرُوني
اوخپريدل	اوخْپْريدَل
اوخپريدو	اوخْپْريدو
اوخپل	اوخْپْل
اوخپله	اوخْپْله
اوخپلو	اوخْپْلو
اوخپلوخلګوته	اوخْپْلوخلګوته
اوخپلومينه	اوخْپْلومينه
اوخپلوکوروته	اوخْپْلوکوروته
اوخپلوګټوپه	اوخْپْلوګَټوپه
اوخپلى	اوخْپْلِى
اوخپلي	اوخْپْلي
اوخپلی	اوخْپْلِی
اوخپلې	اوخْپْلې
اوخړ	اوخْړ
اودب	اودْب
اودببرك	اودْبْبَرْك
اودبحث	اودبَحَث
اودبد	اودبَد
اودبدشګون	اودبَدْشْګُون
اودبدن	اودبَدْن
اودبده	اودْبده
اودبدو	اودبَدو
اودبدی	اودبَدِی
اودبرکلي	اودبَرْکْلي
اودبریدته	اودْبریدته
اودبزک	اودبَزْک
اودبسترخونې	اودبَسْتْرْخُونې
اودبش	اودبَش
اودبشر	اودبَشْر
اودبشري	اودبَشري
اودبشريت	اودبَشريت
اودبشرپه	اودبشْرْپه
اودبشری	اودبَشرِی
اودبشپړه	اودبشْپْړه
اودبل	اودبَل
اودبلبل	اودبَلبَل
اودبلجیم	اودبَلجیم
اودبلخ	اودبَلْخ
اودبله	اودْبله
اودبلي	اودبَلي
اودبلی	اودبَلِی
اودبلې	اودبَلې
اودبن	اودبَن
اودبنديدو	اودبَنديدو
اودبندېدو	اودبَندېدو
اودبی	اودبِی
اودت	اودْت
اودتجريبو	اودتَجريبو
اودتحت	اودتَحْت
اودتحصل	اودتَحصَل
اودتحقيق	اودتَحقيق
اودتدریس	اودتَدریس
اودترسره	اودترْسْره
اودترميم	اودتَرميم
اودتره	اودْتره
اودردديوه	اودرْدْديوه
اودرديدلو	اودَرديدلو
اودرزق	اودَرزق
اودرس	اودَرْس
اودرست	اودَرْسْت
اودرسول	اودَرْسوْلْ
اودرسی	اودَرسِی
اودرشوت	اودَرْشوْتْ
اودرمل	اودَرمل
اودرملتون	اودَرملْتوْنْ
اودرملنې	اودَرملنې
اودرملو	اودَرْملو
اودرمي	اودَرمي
اودرنده	اودَرنده
اودرندو	اودَرندو
اودرندې	اودَرندې
اودرنه	اودَرَنه
اودرنو	اودَرَنو
اودرني	اودَرَني
اودرنښت	اودَرنْښْت
اودرنښتپه	اودَرنْښْتْپه
اودرنی	اودَرَنِی
اودرنې	اودَرَنې
اودره	اودَره
اودرو	اودَرو
اودروس	اودَروْسْ
اودروسي	اودَروْسْي
اودروم	اودَروْمْ
اودرومي	اودَروْمْي
اودروند	اودَروْنْد
اودرى	اودَرِى
اودري	اودَري
اودريس	اودَريس
اودريشي	اودَريشي
اودريم	اودَريم
اودريمه	اودَريمه
اودريمې	اودَريمې
اودريو	اودَرَيو
اودريځ	اودَريځ
اودرپه	اودَرپه
اودرژيم	اودَرژيم
اودرک	اودَرْک
اودری	اودَرِی
اودریشۍکې	اودَریشۍکې
اودریم	اودَریم
اودریمه	اودَریمه
اودریږه	اودَریږه
اودریګوني	اودَریګوْنْي
اودرې	اودَرې
اودرېد	اودَرېد
اودرېږې	اودَرېږې
اودز	اودَز
اودزحمت	اودَزْحمت
اودزلمي	اودَزْلمي
اودزم	اودَزْم
اودزمري	اودَزْمْري
اودزمزم	اودَزْمْزم
اودزون	اودَزوْنْ
اودزړه	اودَزړه
اودس	اودَس
اودسب	اودَسب
اودسبق	اودَسبق
اودست	اودَسْت
اودستور	اودَسْتوْرْ
اودستورنه	اودسْتوْرْنه
اودستونزو	اودَسْتوْنْزو
اودسختي	اودَسْختي
اودسخي	اودَسخي
اودسر	اودَسر
اودسرتير	اودَسرتير
اودسره	اودَسَره
اودسستۍ	اودَسستۍ
اودسفرپه	اودَسفرپه
اودسلوک	اودْسلوک
اودسلیم	اودْسلیم
اودسمون	اودْسمون
اودسنځلې	اودسنْځلې
اودسولي	اودْسوْلْي
اودسيندڅپې	اودسينْدْڅپې
اودسپين	اودْسپين
اودسپينږيرو	اودْسپينږيرو
اودسپکی	اودسپکِی
اودسپین	اودْسپین
اودسړک	اودْسړک
اودسکون	اودْسکون
اودسیسی	اودسیسِی
اودسیمی	اودسیمِی
اودشته	اودْشته
اودشرف	اودْشرف
اودشرق	اودْشرق
اودشركت	اودْشركْت
اودشرم	اودْشرم
اودشرک	اودْشرک
اودشمزی	اودشمزِی
اودشمير	اودْشمير
اودشمیر	اودْشمیر
اودشنه	اودْشنه
اودشنې	اودْشنې
اودشپې	اودْشپې
اودصحت	اودْصحت
اودصحیح	اودْصحیح
اودصرف	اودْصرف
اودصفر	اودْصفر
اودصميم	اودْصميم
اودط	اودْط
اودطبي	اودْطبي
اودطريقت	اودْطريقت
اودطریقت	اودْطریقت
اودطلب	اودْطلب
اودطنزپه	اودطنْزْپه
اودطورخم	اودطورخْم
اودظلم	اودْظلم
اودمفسرينو	اودْمْفَسرينو
اودمقدس	اودمَقدَس
اودمكتب	اودمَكتَب
اودمل	اودمَل
اودملت	اودْملَت
اودملى	اودْملِى
اودملي	اودْملي
اودملک	اودْملَک
اودملکي	اودْملَکي
اودملکی	اودْملَکِی
اودملګ	اودْملَګ
اودملګرو	اودْملَګرو
اودملی	اودْملِی
اودملیشو	اودْملیشو
اودملې	اودمَلې
اودممــبر	اودمَمــبَر
اودمملکت	اودمَملَکت
اودمملګت	اودمَملَګت
اودمنفی	اودمُنفِی
اودموخوپه	اودمُوخوپه
اودموخی	اودمُوخِی
اودمور	اودمُور
اودمورپه	اودمُورپه
اودموسي	اودمُوسي
اودموسيقي	اودمُوسيقي
اودموظف	اودمَوظَف
اودموټر	اودموټَر
اودموټرځخه	اودموټرْځخه
اودميلمنوپه	اودميلْمنوپه
اودمچولو	اودْمْچولو
اودمړی	اودْمْړِی
اودمړیو	اودْمْړِیو
اودمکتب	اودمَکتَب
اودمکی	اودمَکِی
اودمکې	اودمَکې
اودمڼې	اودمَڼې
اودن	اودْن
اودنبي	اودنَبي
اودنبی	اودنَبِی
اودندی	اودندِی
اودنر	اودنَر
اودنرخ	اودنَرْخ
اودنس	اودنَس
اودنسبی	اودنَسبِی
اودنسجونودرې	اودنَسجُونودرې
اودنشه	اودْنشه
اودنشي	اودنَشي
اودنشيي	اودنَشيي
اودنظر	اودْنْظَر
اودنفتو	اودنَفتو
اودنفرت	اودنَفرَت
اودنفس	اودنَفْس
اودنفوسو	اودنَفُوسو
اودنقل	اودنَقْل
اودننه	اودْننه
اودنوبل	اودنوبَل
اودنولسمې	اودنولْسْمې
اودنوموړی	اودنوموړِی
اودنړي	اودْنْړي
اودنړی	اودْنْړِی
اودنېشنل	اودنېشنَل
اودټولنی	اودټولنِی
اودټيکس	اودټيکْس
اودټپي	اودْټْپي
اودپ	اودْپ
اودپخیدلو	اودْپْخیدلو
اودپردو	اودْپْرْدُو
اودپردونه	اودْپْرْدونه
اودپردي	اودْپْرْدي
اودپرديسو	اودْپْرْديسو
اودپردې	اودْپْرْدې
اودپرمخ	اودْپْرْمخ
اودپرون	اودْپْرُون
اودپرونوجې	اودْپْرُونوجې
اودپرڼ	اودْپْرڼ
اودپریس	اودْپْریس
اودپریکړنده	اودْپْریکړنده
اودپرې	اودْپْرې
اودپسرلي	اودْپْسرلي
اودپلرونو	اودْپْلرونو
اودپلي	اودْپْلي
اودپلټنی	اودْپْلټنِی
اودپلټنې	اودْپْلټنې
اودپنجشنبې	اودپَنْجْشنبې
اودپنجشیر	اودپَنْجْشیر
اودپوستکو	اودپوسْتْکو
اودپوستی	اودپوستِی
اودپوښتنې	اودپوښْتنې
اودپيشلمي	اودپيشْلمي
اودپيژندني	اودپيژنْدْني
اودپښتنو	اودْپْښْتنو
اودپښتنوپه	اودْپْښْتنوپه
اودپښتو	اودْپْښْتو
اودپښتوكلمه	اودْپْښْتوكلمه
اودپښتوله	اودْپْښْتوله
اودپښتون	اودْپْښْتون
اودپښتوپه	اودپَښتوپه
اودپښتوژبي	اودپښتوژَبي
اودپښتوژبې	اودپښتوژَبې
اودپښتوګټنه	اودپښتوګَټَنه
اودپښين	اودپَښين
اودپښټوژبې	اودپښټوژَبې
اودځلورم	اودْځلورْم
اودځمکی	اودځمکِی
اودڅلوروتنو	اودْڅلُوروتَنو
اودڅوكلونوپه	اودڅوكلُونوپه
اودڅښن	اودْڅښن
اودچمن	اودْچمن
اودچپه	اودْچپه
اودچپې	اودْچپې
اودژبي	اودْژبي
اودژبی	اودْژبِی
اودژبې	اودْژبې
اودژمی	اودْژمِی
اودژند	اودژنْد
اودژوندی	اودْژوْندِی
اودښته	اودْښته
اودښتونو	اودْښتُونو
اودښمن	اودْښْمن
اودښمني	اودْښْمني
اودښونځي	اودښُونځي
اودښونی	اودښُونِی
اودښځي	اودْښْځي
اودښځی	اودْښْځِی
اودښځینه	اودْښْځینه
اودښځې	اودْښْځې
اودښکته	اودْښْکته
اورب	اورْب
اوربزونه	اورْبْزُونه
اوربشو	اورْبشو
اوربشي	اورْبشي
اوربشې	اورْبشې
اوربلوم	اورْبلُوم
اوربلونه	اورْبلُونه
اوربلونو	اورْبلُونو
اوربلونې	اورْبلُونې
اوربند	اوربنْد
اوربندد	اوربنْدْد
اوربندوشوځکه	اوربندوشُوځکه
اوربندونه	اوربندُونه
اوربندونو	اوربندُونو
اوربندپه	اوربنْدْپه
اوربړي	اورْبْړي
اورتبو	اورْتبو
اورتبې	اورْتبې
اورتعبیرکــړله	اورتعبیرْکْــړْله
اورتو	اورتُو
اورتوپيډیک	اورتُوپيډیک
اورتوپیدی	اورتُوپیدِی
اورتوپیدۍ	اورتُوپیدۍ
اورحمت	اورْحْمت
اورحمتونو	اورْحْمتُونو
اورحمن	اورْحْمن
اورخصت	اورخصْت
اورد	اورْد
اوردمينيچي	اورْدمينيچي
اوردند	اوردنْد
اوردو	اوردُو
اوروحی	اوروحِی
اورورته	اورورَته
اورورزني	اورورْزني
اوروزلی	اوروزلِی
اوروزمره	اوروزْمْره
اوروزنځي	اوروزْنْځي
اوروزنی	اوروزنِی
اوروزی	اوروزِی
اوروسوځی	اوروسوځِی
اوروشونو	اوروشُونو
اورولم	اورولَم
اورولى	اورولِى
اورولی	اورولِی
اورومرګ	اورومرْګ
اورونـــــــه	اورونْـــــــه
اورونـه	اورونْـه
اوروژی	اوروژِی
اوروکــي	اوروکِــي
اوروګون	اوروګُون
اورى	اورِى
اورىدلې	اورِىدلې
اوريدل	اوريدَل
اوريدلـــــــيتـــه	اوريدلِـــــــيتْـــه
اوريدلى	اوريدلِى
اوريدلی	اوريدلِی
اوريدنکى	اوريدْنکِى
اوريدی	اوريدِی
اوريزخمي	اوريزخَمي
اوريفورم	اوريفورْم
اوريمد	اوريمَد
اوريو	اورَيو
اوريوتر	اورَيوتر
اوريورك	اورَيورْك
اوريوپه	اورَيوپه
اورييم	اورَييم
اوريپر	اوريپَر
اوريښتنې	اوريښْتْنې
اوريګن	اوريګَن
اوريې	اورَيې
اورپرې	اورْپْرې
اورپكو	اورْپْكو
اورپكوله	اورْپْكوله
اورپكى	اورْپْكِى
اورپكي	اورْپْكي
اورپكۍ	اورْپْكۍ
اورپكې	اورْپْكې
اورپکو	اورْپْکو
اورپکى	اورْپْکِى
اورپکي	اورْپْکي
اورپکيزي	اورْپْکيزي
اورپکی	اورْپْکِی
اورپکۍ	اورْپْکۍ
اورپکې	اورْپْکې
اورځني	اورْځْني
اورځپلي	اورْځْپْلي
اورڅخه	اورْڅْخه
اورژبى	اورْژْبِى
اورژني	اورْژْني
اورژېدل	اورژېدَل
اورښت	اورْښْت
اورښتنو	اورْښْتْنو
اورښتني	اورْښْتْني
اورښتنی	اورْښْتْنِی
اورښتنې	اورْښْتْنې
اورښتو	اورْښْتو
اورښتونه	اورْښْتونه
اورښتونو	اورْښْتونو
اورښتونی	اورْښْتونِی
اورښتينو	اورْښْتينو
اورښتينولي	اورْښْتينولي
اورښتيني	اورْښْتيني
اورښتین	اورْښْتین
اورښتینی	اورْښْتینِی
اورښخ	اورْښْخ
اورښيتنى	اورښيتنِى
اورښکي	اورْښْکي
اورک	اورْک
اورکز	اورْکْز
اورکزو	اورْکْزو
اورکزى	اورْکْزِى
اورکزي	اورْکْزي
اورکزی	اورْکْزِی
اورکزۍ	اورْکْزۍ
اورکندې	اورْکْنْدې
اورکښي	اورْکْښي
اورکښې	اورْکْښې
اورکی	اورکِی
اورګ	اورْګ
اورګاډی	اورګاډَی
اوست	اوسْت
اوستر	اوسْتْر
اوسترزي	اوسْتْرزي
اوستره	اوسْتْره
اوسترو	اوسْتْرو
اوسترګود	اوسْتْرګود
اوسترګوكي	اوسْتْرګوكي
اوسترګوكې	اوسْتْرګوكې
اوسترګوله	اوسْتْرګوله
اوسترګي	اوسْتْرګي
اوسترګې	اوسْتْرګې
اوستری	اوسْتْرِی
اوسترې	اوسْتْرې
اوستلو	اوسْتلو
اوستلود	اوسْتلود
اوستلي	اوسْتلي
اوستلی	اوسْتلِی
اوستلې	اوسْتلې
اوستمي	اوسْتمي
اوستمی	اوسْتمِی
اوستوری	اوستورِی
اوستونزمن	اوستونْزمن
اوستونزمنه	اوستونْزمَنه
اوستونزمنو	اوستونْزمَنو
اوستونزمنې	اوستونْزمَنې
اوستونزی	اوستونزِی
اوستونځمن	اوستونْځْمن
اوستونځمنی	اوستونْځْمنِی
اوستونځی	اوستونځِی
اوستى	اوستِى
اوستړي	اوسْتړي
اوستړی	اوسْتړی
اوستړې	اوسْتړې
اوستی	اوستِی
اوسجده	اوسْجْده
اوسخ	اوسْخ
اوسخت	اوسْخْت
اوسخته	اوسْخْته
اوسختو	اوسْخْتُو
اوسختوټکوسره	اوسْخْتُوټکُوسره
اوسختي	اوسْخْتي
اوسختی	اوسْخْتِی
اوسختیدلوسره	اوسْخْتیدلُوسره
اوسخروف	اوسْخْرُوف
اوسخپ	اوسْخْپ
اوسدخيبر	اوسْدْخيبر
اوسرب	اوسرْب
اوسربند	اوسربنْد
اوسربېرن	اوسربېرْن
اوسرتمبگي	اوسرتمْبگي
اوسرتيرو	اوسرتيرُو
اوسرتیروم	اوسرتیرُوم
اوسرحدلري	اوسرحدْلري
اوسرحدي	اوسرْحدي
اوسرسري	اوسرْسْري
اوسرشميرنه	اوسرْشْميرنه
اوسرقلفي	اوسرقُلفي
اوسركښ	اوسرْكْښ
اوسرلوړي	اوسرلُوړي
اوسرلوړی	اوسرلُوړِی
اوسرلوړې	اوسرلُوړې
اوسرلښکريې	اوسرْلْښْکْرَيې
اوسرنوشت	اوسرنُوشْت
اوسره	اوسَره
اوسرو	اوسَرُو
اوسرور	اوسروْر
اوسرورديد	اوسروْرديد
اوسرونه	اوسَرُونه
اوسروې	اوسَرَوې
اوسري	اوسَري
اوسريي	اوسَرَيي
اوسريې	اوسَرَيې
اوسرټمبگی	اوسرټمْبگِی
اوسرپريکول	اوسرْپْريکُول
اوسرښندني	اوسرښنْدْني
اوسرښندونو	اوسرښندُونُو
اوسرکونه	اوسرکُونه
اوسرکښ	اوسرْکْښ
اوسری	اوسَرِی
اوسریې	اوسَرَیې
اوسرې	اوسَرې
اوسستی	اوسستِی
اوسسستمونه	اوسسسْتمُونه
اوسطح	اوسَطح
اوسطحي	اوسَطَحي
اوسطى	اوسَطى
اوسطی	اوسَطِی
اوســـــــــــه	اوسْـــــــــــه
اوســـــــــــپر	اوسَـــــــــــپر
اوســــــــــه	اوسْــــــــــه
اوســــــم	اوسَــــــم
اوســــــه	اوسْــــــه
اوســــه	اوسْــــه
اوســــی	اوسَــــی
اوســـو	اوسَـــو
اوســمیز	اوسَــمیز
اوسكندرذى	اوسكندرذِى
اوسلطنتی	اوسُلطَنتِی
اوسلفو	اوسْلْفُو
اوسلفي	اوسْلْفي
اوسلو	اوسلُو
اوسلوك	اوسلُوك
اوسلوک	اوسلُوک
اوسلوکی	اوسلُوکِی
اوسلوکې	اوسلُوکې
اوسلګو	اوسْلګُو
اوسلګونه	اوسْلګُونه
اوسلګونو	اوسْلګُونُو
اوسلی	اوسلِی
اوسلیقی	اوسلیقِی
اوسمبول	اوسَمبول
اوسمبوليکې	اوسَمبوليکې
اوسمتي	اوسَمتي
اوسمد	اوسَمْد
اوسمدستي	اوسَمدَستي
اوسمزمونږ	اوسَمْزْمُونْږ
اوسمسو	اوسَمسو
اوسمسوري	اوسَمسوري
اوسملکه	اوسَملکه
اوسمندر	اوسَمَندَر
اوسمندرونو	اوسَمَندَرونُو
اوسمندري	اوسَمَندَري
اوسمندری	اوسَمَندَرِی
اوسمه	اوسَمه
اوسمورځ	اوسَمُورْځ
اوسمولو	اوسَمُولو
اوسمون	اوسَمُون
اوسمونونو	اوسَمُونونُو
اوسمي	اوسَمي
اوسمڅو	اوسمڅُو
اوسمچي	اوسَمچي
اوسمیزو	اوسَمیزُو
اوسن	اوسَن
اوسنت	اوسَنْت
اوسنتو	اوسَنتُو
اوسنتي	اوسَنتي
اوسنجو	اوسَنجُو
اوسنجول	اوسَنجُول
اوسنجونې	اوسَنجُونې
اوسند	اوسَنْد
اوسندره	اوسنْدْره
اوسندرو	اوسَنْدْرُو
اوسندروته	اوسَنْدْرُوته
اوسندرودونو	اوسَنْدْرُودُونُو
اوسندروپسې	اوسَنْدْرُوپسې
اوسندروچې	اوسَنْدْرُوچې
اوسندري	اوسَنْدْري
اوسندرې	اوسَنْدْرې
اوسنو	اوسَنُو
اوسنى	اوسَنِى
اوسنىۍ	اوسَنىۍ
اوسني	اوسَني
اوسنيوزلمو	اوسَنيوزْلَمُو
اوسنيوشخړو	اوسَنيوشْخْړُو
اوسنيومنثورو	اوسَنيومَنثُورُو
اوسنيوموثقو	اوسَنيومُوثقُو
اوسنييو	اوسَنِييو
اوسنی	اوسَنِی
اوسنۍ	اوسَنۍ
اوسنۍدره	اوسَنۍدره
اوسنۍملی	اوسَنۍملِی
اوسنۍنه	اوسَنۍنه
اوسنۍنړۍ	اوسَنۍنړۍ
اوسنۍهلي	اوسَنۍهلي
اوسنۍوچ	اوسَنۍوچْ
اوسنې	اوسَنې
اوسو	اوسُو
اوسوتره	اوسُوتره
اوسود	اوسُود
اوسور	اوسُور
اوسوريي	اوسُوريي
اوسوری	اوسُورِی
اوسورې	اوسُورې
اوسوز	اوسُوز
اوسوزسره	اوسُوزْسْره
اوسوزه	اوسُوزه
اوسوسيولوجي	اوسُوسِيولوجي
اوسوسيولوجيکی	اوسُوسِيولوجيکِی
اوسول	اوسُول
اوسوله	اوسُوله
اوسولي	اوسُولي
اوسولې	اوسُولې
اوسولېدلې	اوسُولېدلې
اوسويدن	اوسُويدَن
اوسويل	اوسُويل
اوسوچون	اوسوچُون
اوسوچونه	اوسوچُونه
اوسى	اوسِى
اوسيدل	اوسيدَل
اوسيدله	اوسيدَله
اوسيدلو	اوسيدَلو
اوسيدلي	اوسيدَلي
اوسيدلی	اوسيدَلِی
اوسيدلې	اوسيدَلې
اوسيدم	اوسيدَم
اوسيدنوكوسره	اوسيدنُوكوسره
اوسيدنوکو	اوسيدنُوکو
اوسيدنوکى	اوسيدنُوکِى
اوسيدى	اوسيدِى
اوسيكلــــه	اوسيكلْــــه
اوسيمى	اوسيمِى
اوسيندددې	اوسينْدْدْدې
اوسيندونه	اوسيندُونه
اوسيندکي	اوسينْدْکي
اوسټنډرډ	اوسټَنْډْرْډ
اوسپخپلو	اوسْپْخْپْلو
اوسپر	اوسپَر
اوسپرلي	اوسپَرلي
اوسپــــين	اوسپِــــين
اوسپكې	اوسْپْكې
اوسپنبز	اوسْپْنْبْز
اوسپنه	اوسْپْنه
اوسپنو	اوسْپْنو
اوسپنى	اوسْپْنِى
اوسپني	اوسْپْني
اوسپنيز	اوسْپْنيز
اوسپنيزه	اوسْپْنيزه
اوسپنيزو	اوسْپْنيزو
اوسپنيزي	اوسْپْنيزي
اوسپنيزې	اوسْپنيزې
اوسپنی	اوسْپنِی
اوسپنیز	اوسْپنیز
اوسپنیزه	اوسْپنیزه
اوسپنیزو	اوسْپنیزو
اوسپنیزې	اوسْپنیزې
اوسپنۍ	اوسْپنۍ
اوسپنې	اوسْپنې
اوسپنېزو	اوسْپنېزو
اوسپنېزې	اوسْپنېزې
اوسپوږمی	اوسپوږمِی
اوسپيڅلی	اوسپيڅلِی
اوسپړل	اوسْپړل
اوسپکه	اوسْپکه
اوسپکو	اوسْپکو
اوسپکی	اوسْپکِی
اوسپکې	اوسْپکې
اوسپیڅلی	اوسپیڅلِی
اوسپییڅلی	اوسپَییڅلِی
اوسپېڅلی	اوسپېڅلِی
اوسپېڅلۍ	اوسپېڅَلۍ
اوسړكونه	اوسْړْكُونه
اوسړيو	اوسړَيو
اوسړکونو	اوسْړکُونو
اوسړی	اوسړِی
اوسکون	اوسکُون
اوسی	اوسِی
اوسیدلی	اوسیدلِی
اوسیدی	اوسیدِی
اوسیرت	اوسیرْت
اوسیری	اوسیرِی
اوسیستمونه	اوسیسْتمونه
اوسیـدلی	اوسیـدلِی
اوسیـږی	اوسیـږِی
اوسیمی	اوسیمِی
اوسیمییزو	اوسیمَییزو
اوسیورې	اوسَیورې
اوسیږودلته	اوسیږودْلته
اوسیږی	اوسیږِی
اوسیژی	اوسیژِی
اوسییږ	اوسَییږ
اوسېدلى	اوسېدلِى
اوسېدلی	اوسېدلِی
اوسېدونکی	اوسېدُونکَی
اوسېدونکې	اوسېدُونکې
اوشبنم	اوشْبْنم
اوشبکې	اوشْبْکې
اوشت	اوشْت
اوشتمن	اوشْتْمن
اوشتمنه	اوشْتْمنه
اوشتمنو	اوشْتْمنو
اوشتمني	اوشْتْمني
اوشتمنې	اوشْتْمنې
اوشخصي	اوشْخصي
اوشخصيت	اوشْخصيت
اوشخصيتونه	اوشْخصيتُونه
اوشخصيتونو	اوشْخصيتُونو
اوشخصی	اوشْخصِی
اوشخصیت	اوشْخصیت
اوشخصې	اوشْخصې
اوشخړه	اوشْخْړه
اوشخړوکې	اوشْخْړُوکې
اوشخړی	اوشْخْړی
اوشدت	اوشْدْت
اوشر	اوشْر
اوشربة	اوشْرْبَة
اوشرحه	اوشْرْحه
اوشرشم	اوشْرْشْم
اوشرط	اوشْرْط
اوشرطه	اوشْرْطه
اوشرطونه	اوشْرْطُونه
اوشرف	اوشْرْف
اوشرق	اوشْرْق
اوشرقي	اوشْرْقي
اوشرقی	اوشْرْقِی
اوشرم	اوشْرْم
اوشرمنده	اوشْرْمنده
اوشرمندګي	اوشْرْمنْدْګي
اوشرمه	اوشْرْمه
اوشفقت	اوشْفْقْت
اوشك	اوشْك
اوشكل	اوشْكْل
اوشل	اوشْل
اوشمس	اوشمَس
اوشمسی	اوشمَسِی
اوشمعي	اوشمَعي
اوشمل	اوشمَل
اوشملې	اوشمَلې
اوشمیریې	اوشمیرَیې
اوشننه	اوشْننه
اوشننو	اوشنَنو
اوشنونكى	اوشنُونَكى
اوشنډ	اوشنَډ
اوشنډه	اوشْنډه
اوشنډکړل	اوشنډْکْړل
اوشنډی	اوشنَډِی
اوشورددې	اوشوردَدې
اوشوكت	اوشوكْت
اوشوکت	اوشوکْت
اوشيرپورزړه	اوشيرپورْزْړه
اوشپني	اوشپَني
اوشړل	اوشْړْل
اوشک	اوشْک
اوشکر	اوشکَر
اوشکریې	اوشْکرَیې
اوشکل	اوشکَل
اوشکونه	اوشکُونه
اوصب	اوصَب
اوصبر	اوصَبْر
اوصبرته	اوصبْرْته
اوصبرڅخه	اوصبْرْڅخه
اوصبرچي	اوصَبْرْچي
اوصحت	اوصَحَت
اوصحي	اوصَحي
اوصحيح	اوصَحيح
اوصحيفې	اوصَحيفې
اوصحی	اوصَحِی
اوصحیح	اوصَحیح
اوصدقه	اوصَدَقه
اوصدقي	اوصَدَقي
اوصدقی	اوصَدَقِی
اوصرف	اوصَرْف
اوصفت	اوصَفْت
