# af-rcrl-lexicon.tsv — shipped Afrikaans pronunciation lexicon (word -> canonical IPA).
# RCRL Afrikaans Pronunciation Dictionary v1.4.1 (CTexT / North-West University) via ttslab/za_lex.
# CC BY-SA 2.5 ZA. Built by tools/afrikaans/build_af_lexicon.ts. Sidecar: af-rcrl-lexicon.PROVENANCE.md
# SHIPPED PATH ONLY — phonemizeWordRules (what the eval scores) does not consult this.
# 24914 entries.
aah	ɑː
diagnoseer	diaχnusˈiər
diagnosering	diaχnusˈiərəŋ
diagnoses	diaχnˈuəsəs
diagnostiese	diaχnˈɔstisə
diagram	diaχrˈam
diagrammatiese	diaχramˈɑːtisə
diaken	diˈɑːkən
diakens	diˈɑːkəns
dialek	dialˈɛk
dialektiese	dialˈɛktisə
dialektologie	dialɛktuluχˈi
dialoog	dialˈuəχ
dialoë	dialˈuə
diamant	diamˈant
diamantbedryf	diamˈantbədrəif
diamante	diamˈantə
diamantvelde	diamˈantfɛldə
diarree	diarˈiə
diaspora	diaspˈuəra
didaktiek	didaktˈik
dieet	diˈiət
dieetkundige	diiətkˈœndəχə
dieetkundiges	diiətkˈœndəχəs
dieetriglyne	diˈiətrəχləinə
dief	dif
diefstal	dˈifstal
diefstalle	dˈifstalə
diefwering	dˈifviərəŋ
diegene	dˈiχiənə
dien	din
dienaar	dˈinɑːr
dienaars	dˈinɑːrs
dienare	dˈinɑːrə
dienende	dˈinəndə
dienooreenkomstig	dinuəriənkˈɔmstəχ
diensbaar	dˈinsbɑːr
diensgeld	dˈinsχɛlt
diensie	dˈinsi
diensjare	dˈinsjɑːrə
dienskneg	dˈinsknɛχ
dienskommissie	dˈinskumisi
dienskontrak	dˈinskɔntrak
dienslewering	dˈinsliəvərəŋ
diensmeisie	dˈinsməisi
dienspistool	dˈinspəstuəl
diensplig	dˈinspləχ
dienspligtige	dinsplˈəχtəχə
dienspligtiges	dinsplˈəχtəχəs
diensstandaard	dˈinsstandɑːrt
dienste	dˈinstə
dienstegeld	dˈinstəχɛlt
diensteraad	dˈinstərɑːt
diensvaardigheid	dinsfˈɑːrdəχɦəit
diensverskaffer	dˈinsfərskafər
diensverskaffers	dˈinsfərskafərs
diensvoorwaardes	dˈinsfuərvɑːrdəs
dienswerk	dˈinsvɛrk
diepblou	dˈipblœu
diepe	dˈipə
dieper	dˈipər
diepers	dˈipərs
diepgaande	dipχˈɑːndə
diepkloof	dˈipkluəf
diepliggende	diplˈəχəndə
diepsee	dˈipsiə
diepsloot	dˈipsluət
diepste	dˈipstə
diepte	dˈiptə
dieptes	dˈiptəs
dierbaar	dˈirbɑːr
dierbare	dˈirbɑːrə
diere	dˈirə
dierearts	dˈirəarts
dieregesondheid	dˈirəχəsɔntɦəit
dierelewe	dˈirəliəvə
diereliefhebbers	dˈirəlifɦɛbərs
dieremishandeling	dˈirəməsɦandələŋ
diereprodukte	dˈirəprudœktə
diereriem	dˈirərim
diereryk	dˈirərəik
dierespesies	dˈirəspiəsis
dieretuin	dˈirətœyn
dieretuine	dˈirətœynə
dierkunde	dˈirkœndə
dierkundige	dirkˈœndəχə
dierlike	dˈirləkə
diersoorte	dˈirsuərtə
diertjie	dˈirki
diertjies	dˈirkis
dies	dis
diesel	dˈisəl
dieselenjin	dˈisəlɛnjən
dieselfde	disˈɛlfdə
dieseltenk	dˈisəltɛŋk
diewe	dˈivə
differensiaalvergelykings	dəfərɛnʃiˈɑːlfərχələikəŋs
differensiasie	dəfərɛnsiˈɑːsi
differensieer	dəfərɛnʃiˈiər
different	dəfərˈɛnt
diftonge	dˈəftɔŋə
digbundel	dˈəχbœndəl
digbundels	dˈəχbœndəls
digby	dˈəχbəi
digitaal	diχitˈɑːl
digitale	diχitˈɑːlə
digkuns	dˈəχkœns
digotome	diχutˈuəmə
digte	dˈəχtə
digterlike	dˈəχtərləkə
digters	dˈəχtərs
digtheid	dˈəχtɦəit
digtoeë	dˈəχtuə
dik	dək
dikderm	dˈəkdɛrəm
dikke	dˈəkə
dikker	dˈəkər
diktator	dəktˈɑːtɔr
diktatoriale	diktatuəriˈɑːlə
diktators	dəktˈɑːtɔrs
dikte	dˈəktə
diktee	dəktˈiə
dikteer	dəktˈiər
dikwels	dˈəkvəls
dilemma	dəlˈɛma
dimensionele	dimɛnʃiunˈiələ
dinamiek	dinamˈik
dinamies	dinˈɑːmis
dinamiese	dinˈɑːmisə
dinamiet	dinɑːmˈit
dinamika	dinˈɑːmika
dinastie	dinastˈi
dingaansdag	dəŋχˈɑːnsdaχ
dinge	dˈəŋə
dinges	dˈəŋəs
dingetjie	dˈəŋiki
dingetjies	dˈəŋikis
dinkwerk	dˈəŋkvɛrk
dinosourusse	dinuəsˈœurœsə
dinsdag	dˈənsdaχ
dinsdagmiddag	dˈənsdaχmədaχ
dip	dəp
diploma	dəplˈuəma
diplomaat	dəplumˈɑːt
diplomakursus	dəplˈuəmakœrsœs
diplomas	dəplˈuəmas
diplomasie	dəplumˈasi
diplomate	dəplumˈɑːtə
diplomatieke	dəplumatˈikə
diplomaties	dəplumˈɑːtis
diplomering	dəplumˈiərəŋ
dipool	dˈipuəl
direk	dirˈɛk
direksie	dirˈɛksi
direksielede	dirˈɛksiliədə
direksielid	dirˈɛksilət
direksies	dirˈɛksis
direkte	dirˈɛktə
direkteur	dirɛktˈøːr
direktoraat	dirɛkturˈɑːt
dirigeer	dərəχˈiər
dirigent	dərəχˈɛnt
dirigente	dərəχˈɛntə
disa	dˈisa
disakker	dˈisakər
disinvestering	dəsənfɛstˈiərəŋ
disket	dəskˈɛt
diskette	dəskˈɛtə
disko	dˈəskœu
diskoers	dəskˈurs
diskoerse	dəskˈursə
diskontokoers	dəskˈɔntukurs
diskresie	dəskrˈɛsi
diskriminasie	dəskrəminˈɑːsi
diskrimineer	dəskrəminˈiər
diskriminerend	dəskrəminˈiərənt
diskriminerende	dəskrəminˈiərəndə
diskwalifikasie	dəskwalifikˈɑːsi
disnis	dˈəsnəs
dispersie	dəspˈɛrsi
disse	dˈəsə
dissipel	dəsˈipəl
dissipels	dəsˈipəls
dissipelskap	dəsˈipəlskap
dissipline	dəsəplˈinə
dissiplineer	dəsəplinˈiər
dissiplines	dəsəplˈinəs
distansie	dəstˈansi
distansieer	dəstansiˈiər
distillasie	dəstəlˈɑːsi
distrik	dəstrˈək
distriksgeneesheer	dəstrˈəksχəniəsɦiər
distrikshof	dəstrˈəksɦɔf
distriksraad	dəstrˈəksrɑːt
distrikte	dəstrˈəktə
diuretika	diurˈiətika
divan	dˈivan
divas	dˈivas
divers	divˈɛrs
diverse	divˈɛrsə
diversifikasie	divɛrsifikˈɑːsi
diversiteit	divɛrsitˈəit
divisie	dəvˈisi
djihad	dʒiɦˈat
dobbel	dˈɔbəl
dobbelaar	dˈɔbəlɑːr
dobbelaars	dˈɔbəlɑːrs
dobbelary	dɔbəlarˈəi
dobbelhuise	dˈɔbəlɦœysə
dobbellisensies	dˈɔbəlləsɛnsis
dobbelraad	dˈɔbəlrɑːt
dobbelsteen	dˈɔbəlstiən
dobbelwet	dˈɔbəlvɛt
dode	dˈuədə
dodelik	dˈuədələk
dodelike	dˈuədələkə
doderyk	dˈuədərəik
dodesel	dˈuədəsɛl
dodetal	dˈuədətal
doeane	duˈɑːnə
doeanebeamptes	duˈɑːnəbəamptəs
doef	duf
doekies	dˈukis
doel	dul
doelbewus	dˈulbəvœs
doelbewuste	dˈulbəvœstə
doele	dˈulə
doeleindes	dˈuləindəs
doelgerig	dˈulχərəχ
doelgerigte	dˈulχərəχtə
doelgerigtheid	dˈulχərəχtɦəit
doelhok	dˈulɦɔk
doelloos	dˈuluəs
doellose	dˈuluəsə
doellyn	dˈulləin
doelmatig	dulmˈɑːtəχ
doelmatigheid	dulmˈɑːtəχɦəit
doelpale	dˈulpɑːlə
doelskieter	dˈulskitər
doelskieters	dˈulskitərs
doelskop	dˈulskɔp
doelskoppe	dˈulskɔpə
doelskote	dˈulskuətə
doelstelling	dˈulstɛləŋ
doelstellings	dˈulstɛləŋs
doeltreffend	dultrˈɛfənt
doeltreffende	dultrˈɛfəndə
doeltreffender	dultrˈɛfəndər
doeltreffendheid	dultrˈɛfəntɦəit
doeltreffendste	dultrˈɛfəntstə
doelwagter	dˈulvaχtər
doelwagters	dˈulvaχtərs
doelwit	dˈulvət
doelwitstelling	dˈulvətstɛləŋ
doelwitte	dˈulvətə
doem	dum
doemprofete	dˈumprufiətə
doende	dˈundə
doenig	dˈunəχ
doepa	dˈupa
doer	dur
dof	dɔf
dogma	dˈɔχma
dogmas	dˈɔχmas
dogtermens	dˈɔχtərmɛns
dogters	dˈɔχtərs
dogtertjies	dˈɔχtərkis
dokters	dˈɔktərs
doktor	dˈɔktɔr
doktorale	dɔkturˈɑːlə
doktorsgraad	dˈɔktərsχrɑːt
doktorsgrade	dˈɔktərsχrɑːdə
doktrine	dɔktrˈinə
dokument	dɔkymˈɛnt
dokumentasie	dɔkymɛntˈɑːsi
dokumente	dɔkymˈɛntə
dokumenteer	dɔkymɛntˈiər
dol	dɔl
dolende	dˈɔləndə
dolfyne	dɔlfˈəinə
dolk	dɔlk
dollar	dˈɔlər
dollarprys	dˈɔlərprəis
dollars	dˈɔlərs
dolle	dˈɔlə
dolleeg	dˈɔliəχ
dolosse	dˈɔlɔsə
dom	dɔm
domein	duəmˈəin
dominant	dɔminˈant
dominante	dɔminˈantə
dominee	dˈuəməni
domineer	dɔminˈiər
dominees	dˈuəmənis
dominiale	dɔminiˈɑːlə
dompel	dˈɔmpəl
donateurs	duənatˈøːrs
donder	dˈɔndər
donderbuie	dˈɔndərbœyə
donderdag	dˈɔndərdaχ
donderdagaand	dˈɔndərdaχɑːnt
donderdagaande	dˈɔndərdaχɑːndə
donderdagnag	dˈɔndərdaχnaχ
donderstorm	dˈɔndərstɔrəm
donderstorms	dˈɔndərstɔrəms
donderweer	dˈɔndərviər
donkeraand	dˈɔŋkərɑːnt
donkerbruin	dˈɔŋkərbrœyn
donkerder	dˈɔŋkərdər
donkere	dˈɔŋkərə
donkergroen	dˈɔŋkərχrun
donkerkop	dˈɔŋkərkɔp
donkerste	dˈɔŋkərstə
donkie	dˈɔŋki
donner	dˈɔnər
donnerhellings	dˈɔnərɦɛləŋs
donshael	dˈɔnsɦɑːəl
donsie	dˈɔnsi
donsig	dˈɔnsəχ
doodbloei	dˈuətblui
doodeenvoudig	dˈuətiənfœudəχ
doodgaan	dˈuətχɑːn
doodgebore	dˈuətχəbuərə
doodgebrand	dˈuətχəbrant
doodgebyt	dˈuətχəbəit
doodgegaan	dˈuətχəχɑːn
doodgeloop	dˈuətχəluəp
doodgelukkig	dˈuətχəlœkəχ
doodgemaak	dˈuətχəmɑːk
doodgery	dˈuətχərəi
doodgeskiet	dˈuətχəskit
doodgeskok	dˈuətχəskɔk
doodgeslaan	dˈuətχəslɑːn
doodgesteek	dˈuətχəstiək
doodgewone	dˈuətχəvuənə
doodgewoon	dˈuətχəvuən
doodkis	dˈuətkəs
doodkry	dˈuətkrəi
doodloopstraat	dˈuətluəpstrɑːt
doodmaak	dˈuətmɑːk
doods	duəts
doodsdreigemente	dˈuətsdrəiχəmɛntə
doodse	dˈuətsə
doodseker	dˈuətsiəkər
doodsertifikaat	dˈuətsɛrtifikɑːt
doodsit	dˈuətsət
doodskiet	dˈuətskit
doodskis	dˈuətskəs
doodsklok	dˈuətsklɔk
doodskoot	dˈuətskuət
doodsnikke	dˈuətsnəkə
doodsondersoek	dˈuətsɔndərsuk
doodsteek	dˈuətstiək
doodstraf	dˈuətstraf
doodvonnis	dˈuətfɔnəs
doofheid	dˈuəfɦəit
doofstom	dˈuəfstɔm
doolgange	dˈuəlχaŋə
doolhof	dˈuəlɦɔf
doop	duəp
door	duər
doos	duəs
dop	dɔp
dopamien	duəpamˈin
doper	dˈuəpər
dopgehou	dˈɔpχəɦœu
doppe	dˈɔpə
dopper	dˈɔpər
doppie	dˈɔpi
dopstrukture	dˈɔpstrœktyrə
dor	dɔr
dordtse	dˈɔrtsə
doring	dˈuərəŋ
doringbome	dˈuərəŋbuəmə
doringdraad	dˈuərəŋdrɑːt
dorings	dˈuərəŋs
doringtak	dˈuərəŋtak
dormehl	dɔrmˈɛl
dorpe	dˈɔrpə
dorpenaar	dˈɔrpənɑːr
dorpenaars	dˈɔrpənɑːrs
dorperaad	dˈɔrpərɑːt
dorpie	dˈɔrpi
dorpies	dˈɔrpis
dorpse	dˈɔrpsə
dorpsgebied	dˈɔrpsχəbit
dorpsgebiede	dˈɔrpsχəbidə
dorpsloot	dˈɔrpsluət
dorpsondagskool	dˈɔrpsɔndaχskuəl
dorpstad	dˈɔrpstat
dorpstigting	dˈɔrpstəχtəŋ
dorre	dˈɔrə
dorste	dˈɔrstə
dos	dɔs
dose	dˈuəsə
doseer	dusˈiər
doseervorm	dusˈiərfɔrəm
doseervorme	dusˈiərfɔrəmə
dosent	dusˈɛnt
dosente	dusˈɛntə
doserende	dusˈiərəndə
dosis	dˈuəsəs
dosisse	dˈuəsəsə
dossier	dɔsˈir
dossiere	dɔsˈirə
dosyn	dusˈəin
dosyne	dusˈəinə
dou	dœu
douvoordag	dˈœufuərdaχ
dowes	dˈuəvəs
dowwe	dˈɔvə
dowwer	dˈɔvər
dra	drɑː
draadheining	drˈɑːtɦəinəŋ
draadjie	drˈɑːiki
draadjies	drˈɑːikis
draadkar	drˈɑːtkar
draadloos	drˈɑːtluəs
draadlose	drˈɑːtluəsə
draagbare	drˈɑːχbɑːrə
draagkrag	drˈɑːχkraχ
draaiballe	drˈɑːibalə
draaibare	drˈɑːibɑːrə
draaiboek	drˈɑːibuk
draaiboekskrywer	drˈɑːibukskrəivər
draaiboekskrywers	drˈɑːibukskrəivərs
draaibouler	drˈɑːibœulər
draaiboulers	drˈɑːibœulərs
draaie	drˈɑːiə
draaiende	drɑːiˈəndə
draaier	drˈɑːiər
draaiers	drˈɑːiərs
draaipunt	drˈɑːipœnt
draaitjie	drˈɑːiki
draaiwerk	drˈɑːivɛrk
draakbote	drˈɑːkbuətə
draakstekery	drˈɑːkstiəkərəi
drade	drˈɑːdə
draer	drˈɑːər
draers	drˈɑːərs
draf	draf
drag	draχ
dragon	drˈaχɔn
drake	drˈɑːkə
drakensberge	drˈɑːkənsbɛrχə
drakensbergse	drˈɑːkənsbɛrχsə
drakoniese	drakˈuənisə
drama	drˈɑːma
dramareeks	drˈɑːmariəks
dramas	drˈɑːmas
dramateks	drˈɑːmatɛks
dramaties	dramˈɑːtis
dramatiese	dramˈɑːtisə
dramaturg	dramatˈœrχ
dramaturge	dramatˈœrχə
drang	draŋ
drange	drˈaŋə
drank	draŋk
drankbedryf	drˈaŋkbədrəif
dranke	drˈaŋkə
drankie	drˈaŋki
drankies	drˈaŋkis
drankprobleem	drˈaŋkprubliəm
drankwet	drˈaŋkvɛt
drankwinkel	drˈaŋkvəŋkəl
drankwinkels	drˈaŋkvəŋkəls
drasak	drˈɑːsak
drasties	drˈastis
drastiese	drˈastisə
drawwers	drˈavərs
dreef	driəf
dreig	drəiχ
dreigement	drəiχəmˈɛnt
dreigemente	drəiχəmˈɛntə
dreigend	drˈəiχənt
dreigende	drˈəiχəndə
dreigoproepe	drˈəiχɔprupə
dreineer	drəinˈiər
dreinering	drəinˈiərəŋ
drentel	drˈɛntəl
dreun	drøːn
dreuning	drˈøːnəŋ
driedaagse	drˈidɑːχsə
driedimensionele	drˈidimɛnʃiuniələ
driedubbele	drˈidœbələ
driehoek	drˈiɦuk
driehoeke	drˈiɦukə
driehoekige	driɦˈukəχə
driehonderd	drˈiɦɔndərt
driejarige	drˈijɑːrəχə
driejariges	drijˈɑːrəχəs
driekamp	drˈikamp
driekuns	drˈikœns
driekwart	drˈikwart
driekwarte	drˈikwartə
driekwartier	drikwartˈir
driekwartvolle	drˈikwartfɔlə
drielaag	drˈilɑːχ
drieledige	drilˈiədəχə
drieledigheid	drilˈiədəχɦəit
drieling	drˈiləŋ
driemalige	drimˈɑːləχə
driemanskap	drˈimanskap
driesprong	drˈisprɔŋ
drietal	drˈital
drievoudige	drifˈœudəχə
drifte	drˈəftə
driftig	drˈəftəχ
dring	drəŋ
dringend	drˈəŋənt
dringende	drˈəŋəndə
dringendheid	drˈəŋəntɦəit
dringendste	drˈəŋəntstə
drink	drəŋk
drinkers	drˈəŋkərs
drinkery	drˈəŋkərəi
drinkplekke	drˈəŋkplɛkə
drinkwater	drˈəŋkvɑːtər
droefheid	drˈufɦəit
droewe	drˈuvə
droewig	drˈuvəχ
droewige	drˈuvəχə
drome	drˈuəmə
dromme	drˈɔmə
dronk	drɔŋk
dronkenskap	drˈɔŋkənskap
drooggedrink	drˈuəχχədrəŋk
droogte	drˈuəχtə
droogtegeteisterde	drˈuəχtəχətəistərdə
droogtes	drˈuəχtəs
droom	druəm
drop	drɔp
dros	drɔs
droë	drˈuə
droër	drˈuər
drugs	draχs
druis	drœys
druiwe	drˈœyvə
drukgroepe	drˈœkχrupə
drukke	drˈœkə
drukker	drˈœkər
drukkers	drˈœkərs
drukkery	drœkərˈəi
drukkie	drˈœki
drukking	drˈœkəŋ
drukpers	drˈœkpɛrs
druktyd	drˈœktəit
drukwerk	drˈœkvɛrk
drummer	drˈamər
drumpel	drˈœmpəl
druppel	drˈœpəl
druppels	drˈœpəls
dryf	drəif
dryfbewegings	drˈəifbəviəχəŋs
dryfhou	drˈəifɦœu
dryfkrag	drˈəifkraχ
dryfspel	drˈəifspɛl
dryfveer	drˈəiffiər
dryfvere	drˈəiffiərə
drywende	drˈəivəndə
drywing	drˈəivəŋ
drywingsgradering	drˈəivəŋsχradiərəŋ
dubbel	dˈœbəl
dubbelbed	dˈœbəlbɛt
dubbele	dˈœbələ
dubbelfout	dˈœbəlfœut
dubbelkajuit	dˈœbəlkajœyt
dubbelkonkaaf	dˈœbəlkɔŋkɑːf
dubbelkonveks	dˈœbəlkɔnvɛks
dubbelpunt	dˈœbəlpœnt
dubbelsinnige	dœbəlsˈənəχə
dubbelsinnigheid	dœbəlsˈənəχɦəit
dubbelspel	dˈœbəlspɛl
dubbelverdiepinghuis	dˈœbəlfərdipəŋɦœys
duffy	dˈafi
dui	dœy
duidelik	dˈœydələk
duidelike	dˈœydələkə
duideliker	dˈœydələkər
duidelikheid	dˈœydələkɦəit
duidelikste	dˈœydələkstə
duie	dˈœyə
duifeier	dˈœyfəiər
duifie	dˈœyfi
duifies	dˈœyfis
duikbomwerpers	dˈœykbɔmvɛrpərs
duikers	dˈœykərs
duikpak	dˈœykpak
duikslae	dˈœykslɑːə
duikslag	dˈœykslaχ
duim	dœym
duime	dˈœymə
duine	dˈœynə
duiselig	dˈœysələχ
duiseligheid	dˈœysələχɦəit
duisende	dˈœysəndə
duisendjarige	dˈœysəntjɑːrəχə
duistere	dˈœystərə
duitse	dˈœytsə
duitsers	dˈœytsərs
duitsland	dˈœytslant
duitswes	dˈœytsvɛs
duiwe	dˈœyvə
duiwel	dˈœyvəl
duiwels	dˈœyvəls
duiwelsklap	dˈœyvəlsklap
duiwelskloof	dœyvəlsklˈuəf
duiweltjies	dˈœyvəlkis
duiwemelk	dˈœyvəmɛlk
duld	dœlt
dun	dœn
dunbevolk	dˈœnbəfɔlk
dunderm	dˈœndɛrəm
dunne	dˈœnə
dunner	dˈœnər
duplekse	dˈuplɛksə
duplikaat	duplikˈɑːt
duplikaatsleutels	duplikˈɑːtsløːtəls
dupliseer	duplisˈiər
durban	dˈœrban
durf	dœrf
dus	dœs
dusver	dˈœsfɛr
dwaalleer	dwˈɑːlliər
dwaas	dwɑːs
dwaasheid	dwˈɑːsɦəit
dwaling	dwˈɑːləŋ
dwang	dwaŋ
dwangarbeid	dwˈaŋarbəit
dwars	dwars
dwarsbalkies	dwˈarsbalkis
dwarsboom	dwˈarsbuəm
dwarsdeur	dwˈarsdøːr
dwarsklap	dwˈarsklap
dwarslat	dwˈarslat
dwase	dwˈɑːsə
dwelm	dwˈɛlm
dwelmgebruik	dwˈɛləmχəbrœyk
dwelmhandel	dwˈɛləmɦandəl
dwelmhandelaar	dwˈɛləmɦandəlɑːr
dwelmmiddel	dwˈɛləmmədəl
dwelmmiddels	dwˈɛləmmədəls
dwelmmisbruik	dwˈɛləmməsbrœyk
dwelmprobleem	dwˈɛləmprubliəm
dwelms	dwˈɛlms
dwelmsmokkelary	dwˈɛlmsmɔkəlarəi
dwelmverskaffing	dwˈɛləmfərskafəŋ
dwelmverslaafde	dwˈɛlmfərslɑːfdə
dwelmverslaafdes	dwˈɛləmfərslɑːfdəs
dwelmverwant	dwˈɛləmfərvant
dwelmverwante	dwˈɛləmfərvantə
dwerg	dwɛrχ
dwing	dwəŋ
dwingeland	dwˈəŋəlant
dwingende	dwˈəŋəndə
dyke	dˈəikə
dylan	dˈələn
dyspier	dˈəispir
dè	dɛ
eb	ˈɛp
ede	ˈiədə
edele	ˈiədələ
edelmetaal	ˈiədəlmətɑːl
edelmetale	ˈiədəlmətɑːlə
edelstene	ˈiədəlstiənə
edenville	ˈiədənvəl
edik	ˈiədək
editeur	ɛditˈøːr
eed	ˈiət
eendaagse	ˈiəndɑːχsə
eendag	ˈiəndaχ
eendagkrieket	ˈiəndaχkrikət
eendagspan	ˈiəndaχspan
eendagwedstryd	ˈiəndaχvɛtstrəit
eende	ˈiəndə
eenderse	ˈiəndərsə
eendeweer	ˈiəndəviər
eendimensionele	ˈiəndimɛnʃiuniələ
eenhede	ˈiənɦiədə
eenheid	ˈiənɦəit
eenheidsbesef	ˈiənɦəitsbəsɛf
eenheidsbeweging	ˈiənɦəitsbəviəχəŋ
eenheidsgevoel	ˈiənɦəitsχəful
eenheidskoste	ˈiənɦəitskɔstə
eenheidstaat	ˈiənɦəitstɑːt
eenige	ˈiənəχə
eenkant	ˈiənkant
eenkeer	ˈiənkiər
eenmaal	iənmˈɑːl
eenmalig	iənmˈɑːləχ
eenmalige	iənmˈɑːləχə
eenmansaak	ˈiənmansɑːk
eenparig	iənpˈɑːrəχ
eenparige	iənpˈɑːrəχə
eenparigheid	iənpˈɑːrəχɦəit
eenpartystaat	ˈiənpartəistɑːt
eenrigting	ˈiənrəχtəŋ
eens	ˈiəns
eensame	ˈiənsɑːmə
eensgesindheid	ˈiənsχəsəntɦəit
eensklaps	ˈiənsklaps
eensoortige	iənsˈuərtəχə
eenstemmig	iənstˈɛməχ
eenstemmigheid	iənstˈɛməχɦəit
eensydig	iənsˈəidəχ
eensydige	iənsˈəidəχə
eentalige	iəntˈɑːləχə
eentjie	ˈiəŋki
eentonig	iəntˈuənəχ
eentonige	iəntˈuənəχə
eenvormig	iənfˈɔrəməχ
eenvormige	iənfˈɔrəməχə
eenvormigheid	iənfˈɔrəməχɦəit
eenvoud	ˈiənfœut
eenvoudige	iənfˈœudəχə
eenvoudiger	iənfˈœudəχər
eenvoudigste	iənfˈœudəχstə
eenwording	ˈiənvɔrdəŋ
eer	ˈiər
eerbare	ˈiərbɑːrə
eerbetoon	ˈiərbətuən
eerbewys	ˈiərbəvəis
eerbewyse	ˈiərbəvəisə
eerbied	ˈiərbit
eerbiedig	iərbˈidəχ
eerder	ˈiərdər
eergister	ˈiərχəstər
eergisteraand	ˈiərχəstərɑːnt
eergistermiddag	ˈiərχəstərmədaχ
eergisternag	ˈiərχəstərnaχ
eergisteroggend	ˈiərχəstərɔχənt
eerlik	ˈiərlək
eerlike	ˈiərləkə
eerlikheid	ˈiərləkɦəit
eersdaags	ˈiərsdɑːχs
eersgenoemde	ˈiərsχənumdə
eerskomende	ˈiərskuəməndə
eerstebeurt	ˈiərstəbøːrt
eerstehands	ˈiərstəɦants
eerstehandse	ˈiərstəɦantsə
eerstejaar	ˈiərstəjɑːr
eerstejaars	ˈiərstəjɑːrs
eerstejaarstudent	ˈiərstəjɑːrstydɛnt
eersteliga	ˈiərstəliχa
eersteling	ˈiərstələŋ
eerstens	ˈiərstəns
eersterangse	ˈiərstəraŋsə
eerstes	ˈiərstəs
eerstevlakmodules	ˈiərstəflakmɔdyləs
eersug	ˈiərsœχ
eertydse	ˈiərtəitsə
eerwaarde	ˈiərvɑːrdə
eerware	ˈiərvɑːrə
eetbaar	ˈiətbɑːr
eetbare	ˈiətbɑːrə
eetgoed	ˈiətχut
eetkamer	ˈiətkɑːmər
eetkamertafel	ˈiətkɑːmərtɑːfəl
eetlepel	ˈiətliəpəl
eetlepels	ˈiətliəpəls
eetlus	ˈiətlœs
eetplek	ˈiətplɛk
eetplekke	ˈiətplɛkə
eetsaal	ˈiətsɑːl
eetstaking	ˈiətstɑːkəŋ
eettafel	ˈiəttɑːfəl
effe	ˈɛfə
effekkurwes	ifˈɛkkœrvəs
effekte	ifˈɛktə
effektebeurs	ifˈɛktəbøːrs
effektemark	ifˈɛktəmark
effektemarkte	ifˈɛktəmarktə
effektetrust	ifˈɛktətrœst
effektetrusts	ifˈɛktətrœsts
effektief	ɛfɛktˈif
effektiefste	ɛfɛktˈifstə
effektiewe	ɛfɛktˈivə
effektiewer	ɛfɛktˈivər
effens	ˈɛfəns
effense	ˈɛfənsə
effentjies	ˈifɛŋkis
effentjiese	ˈɛfənkisə
eggo	ˈɛχu
egipte	iχˈəptə
egiptiese	iχˈəptisə
ego	ˈiəχu
egskeiding	ˈɛχskəidəŋ
egte	ˈɛχtə
egtelike	ˈɛχtələkə
egter	ˈɛχtər
egtheid	ˈɛχtɦəit
ei	ˈəi
eiebelang	ˈəiəbəlaŋ
eiegemaakte	ˈəiəχəmɑːktə
eiehandige	əiəɦˈandəχə
eiemagtig	ˈəiəmˈaχtəχ
eien	ˈəiən
eienaam	ˈəiənɑːm
eienaar	ˈəiənɑːr
eienaardig	əiənˈɑːrdəχ
eienaardige	əiənˈɑːrdəχə
eienaars	ˈəiənɑːrs
eienaarskap	ˈəiənɑːrskap
eiename	ˈəiənɑːmə
eienares	əiənarˈɛs
eiendom	ˈəiəndɔm
eiendomme	ˈəiəndɔmə
eiendoms	ˈəiəndɔms
eiendomsagent	ˈəiəndɔmsaχɛnt
eiendomsagente	ˈəiəndɔmsaχɛntə
eiendomsbedryf	ˈəiəndɔmsbədrəif
eiendomsmaatskappy	ˈəiəndɔmsmɑːtskapəi
eiendomsmark	ˈəiəndɔmsmark
eiendomsontwikkelaars	ˈəiəndɔmsɔntvəkəlɑːrs
eiendomspryse	ˈəiəndɔmsprəisə
eiendomsreg	ˈəiəndɔmsrɛχ
eiendomsregte	ˈəiəndɔmsrɛχtə
eiendomstrust	ˈəiəndɔmstrœst
eiendomstrusts	ˈəiəndɔmstrœsts
eiendomsverkryging	ˈəiəndɔmsfərkrəiχəŋ
eienskap	ˈəiənskap
eienskappe	ˈəiənskapə
eiergeel	ˈəiərχiəl
eiergeelmengsel	ˈəiərχiəlmɛŋsəl
eiergele	ˈəiərχiələ
eiersel	ˈəiərsɛl
eierselle	ˈəiərsɛlə
eiertjie	ˈəiərki
eierwitte	ˈəiərvətə
eiesoortig	əiəsˈuərtəχ
eiesoortige	əiəsˈuərtəχə
eiesoortigheid	əiəsˈuərtəχɦəit
eietydse	ˈəiətəitsə
eike	ˈəikə
eikeboom	ˈəikəbuəm
eikehout	ˈəikəɦœut
eikel	ˈəikəl
eilande	ˈəilandə
eilander	ˈəilandər
eindbestemming	ˈəintbəstɛməŋ
einddoel	ˈəintdul
eindeksamen	ˈəintɛksɑːmən
eindelik	ˈəindələk
eindeloosheid	ˈəindəluəsɦəit
eindelose	ˈəindəluəsə
eindfluitjie	ˈəintflœyki
eindig	ˈəindəχ
eindige	ˈəindəχə
eindloop	ˈəintluəp
eindpoging	ˈəintpuəχəŋ
eindproduk	ˈəintprudœk
eindpunt	ˈəintpœnt
eindpunte	ˈəintpœntə
eindronde	ˈəintrɔntə
eindstreep	ˈəintstriəp
