# af-rcrl-lexicon.tsv — shipped Afrikaans pronunciation lexicon (word -> canonical IPA).
# RCRL Afrikaans Pronunciation Dictionary v1.4.1 (CTexT / North-West University) via ttslab/za_lex.
# CC BY-SA 2.5 ZA. Built by tools/afrikaans/build_af_lexicon.ts. Sidecar: af-rcrl-lexicon.PROVENANCE.md
# SHIPPED PATH ONLY — phonemizeWordRules (what the eval scores) does not consult this.
# 24914 entries.
aah	ɑː
aangenaam	ˈɑːnχənɑːm
aangename	ˈɑːnχənɑːmə
aangenamer	ˈɑːnχənɑːmər
aangeneem	ˈɑːnχəniəm
aangenome	ˈɑːnχənuəmə
aangepak	ˈɑːnχəpak
aangepas	ˈɑːnχəpas
aangepasde	ˈɑːnχəpasdə
aangepaste	ˈɑːnχəpastə
aangeplant	ˈɑːnχəplant
aangepor	ˈɑːnχəpɔr
aangeraai	ˈɑːnχərɑːi
aangeraak	ˈɑːnχərɑːk
aangerand	ˈɑːnχərant
aangerig	ˈɑːnχərəχ
aangeroep	ˈɑːnχərup
aangeroer	ˈɑːnχərur
aangery	ˈɑːnχərəi
aangesien	ˈɑːnχəsin
aangesig	ˈɑːnχəsəχ
aangesit	ˈɑːnχəsət
aangeskaf	ˈɑːnχəskaf
aangeskakel	ˈɑːnχəskɑːkəl
aangeskrewe	ˈɑːnχəskriəvə
aangeslaan	ˈɑːnχəslɑːn
aangeslane	ˈɑːnχəslɑːnə
aangesluit	ˈɑːnχəslœyt
aangespoor	ˈɑːnχəspuər
aangespreek	ˈɑːnχəspriək
aangesprokene	ˈɑːnχəspruəkənə
aangestaar	ˈɑːnχəstɑːr
aangesteek	ˈɑːnχəstiək
aangestel	ˈɑːnχəstɛl
aangestelde	ˈɑːnχəstɛldə
aangesuiwer	ˈɑːnχəsœyvər
aangesweef	ˈɑːnχəswiəf
aangetas	ˈɑːnχətas
aangetaste	ˈɑːnχətastə
aangeteken	ˈɑːnχətiəkən
aangetekende	ˈɑːnχətiəkəndə
aangetoon	ˈɑːnχətuən
aangetoonde	ˈɑːnχətuəndə
aangetree	ˈɑːnχətriə
aangetref	ˈɑːnχətrɛf
aangetrek	ˈɑːnχətrɛk
aangetrokke	ˈɑːnχətrɔkə
aangetrokkenheid	ˈɑːnχətrɔkənɦəit
aangetroude	ˈɑːnχətrœudə
aangeval	ˈɑːnχəfal
aangevang	ˈɑːnχəfaŋ
aangevange	ˈɑːnχəfaŋə
aangevlieë	ˈɑːnχəfliə
aangevoel	ˈɑːnχəful
aangevoer	ˈɑːnχəfur
aangevoor	ˈɑːnχəfuər
aangevra	ˈɑːnχəfrɑː
aangevul	ˈɑːnχəfœl
aangewakker	ˈɑːnχəvakər
aangewend	ˈɑːnχəvɛnt
aangewese	ˈɑːnχəviəsə
aangewys	ˈɑːnχəvəis
aangewysde	ˈɑːnχəvəisdə
aangeë	ˈɑːnχiə
aangrensend	ɑːnχrˈɛnsənt
aangrensende	ɑːnχrˈɛnsəndə
aangroei	ˈɑːnχrui
aangryp	ˈɑːnχrəip
aangrypend	ɑːnχrˈəipənt
aangrypende	ɑːnχrˈəipəndə
aanhaal	ˈɑːnɦɑːl
aanhaling	ˈɑːnɦɑːləŋ
aanhalings	ˈɑːnɦɑːləŋs
aanhalingstekens	ˈɑːnɦɑːləŋstiəkəns
aanhang	ˈɑːnɦaŋ
aanhanger	ˈɑːnɦaŋər
aanhangers	ˈɑːnɦaŋərs
aanhangig	ɑːnɦˈaŋəχ
aanhangsel	ˈɑːnɦaŋsəl
aanhangsels	ˈɑːnɦaŋsəls
aanhef	ˈɑːnɦɛf
aanheg	ˈɑːnɦɛχ
aanhegting	ˈɑːnɦɛχtəŋ
aanhelp	ˈɑːnɦɛlp
aanhits	ˈɑːnɦəts
aanhitsing	ˈɑːnɦətsəŋ
aanhoor	ˈɑːnɦuər
aanhou	ˈɑːnɦœu
aanhoudend	ɑːnɦˈœudənt
aanhoudende	ɑːnɦˈœudəndə
aanhouding	ˈɑːnɦœudəŋ
aanjaag	ˈɑːnjɑːχ
aanjaer	ˈɑːnjɑːər
aankla	ˈɑːnklɑː
aanklaer	ˈɑːnklɑːər
aanklaers	ˈɑːnklɑːərs
aanklag	ˈɑːnklaχ
aanklagte	ˈɑːnklaχtə
aanklank	ˈɑːnklaŋk
aanklop	ˈɑːnklɔp
aanknoop	ˈɑːnknuəp
aankom	ˈɑːnkɔm
aankomelinge	ˈɑːnkuəmələŋə
