㔂甘蔗	lân-kam-tsià
一帆風順	it-phâng-hong-sūn
一席之地	it-si̍k-tsi-tē
一帶	it-tài
一幅圖	tsi̍t-pak-tôo
一年	tsi̍t-nî
一年半載	it-liân-puàn-tsài
一年換二十四个頭家	tsi̍t-nî-uānn-jī-tsa̍p-sì-ê-thâu-ke
一年迵天	tsi̍t-nî-thàng-thinn
一年透冬	tsi̍t-nî-thàu-tang
一庀仔	tsi̍t-phí-á
一庀庀仔	tsi̍t-phí-phí-á
一床包仔	tsi̍t-sn̂g-pau-á
一度	it-tó
一度一	it-tó-it
一度好	it-tó-hó
一廂情願	it-siong-tsîng-guān
一張眠床	tsi̍t-tiunn-bîn-tshn̂g
一律	it-lu̍t
一得一失	it-tit-it-sit
一徛一畫	tsi̍t-khiā-tsi̍t-uē
一心一意	it-sim-it-ì
一心二用	it-sim-nn̄g-īong
一心憶著	tsi̍t-sim-i̍t-tio̍h
一意孤行	it-ì-koo-hîng
一應俱全	it-ìng-kū-tsuân
一所在	tsi̍t-sóo-tsāi
一手	tsi̍t-tshiú
一手包辦	tsi̍t-tshiú-pau-pān
一技之長	it-ki-tsi-tiông
一把抓	it-pá-tsua
一括	tsi̍t-kuah
一拳無夠死	tsi̍t-kûn-bô-kàu-sí
一捲	tsi̍t-kńg
一掃空	it-sóo-khong
一掃而空	it-sàu-jî-khong
一掠長	tsi̍t-lia̍h-tn̂g
一搦米	tsi̍t-la̍k-bí
一搭	tsi̍t-tah
一撇	tsi̍t-phuat
一撮	tsi̍t-tshok
一撮仔	tsi̍t-tshok-á
一擺	tsi̍t-pái
一擺半擺	tsi̍t-pái-puànn-pái
一擺閣一擺	tsi̍t-pái-koh-tsi̍t-pái
一支喙親像破雞筅	tsi̍t-ki-tshuì-tshin-tshiūnn-phuà-ke-tshíng
一文不值	it-bûn-put-ti̍t
一斗	tsi̍t-táu
一方破一方	tsi̍t-hng-phuà-tsi̍t-hng
一方通行	it-hong-thong-hîng
一方面	tsi̍t-hong-bīn
一旁	tsi̍t-pîng
一日一日	tsi̍t-ji̍t-tsi̍t-ji̍t
一日三行情	tsi̍t-ji̍t-sann-hâng-tsîng
一日不見如三秋	it-ji̍t-put-kiàn-jû-sann-tshiu
一旦	it-tàn
一早	it-tsá
一是一二是二	it-sī-it-lī-sī-lī
一時	tsi̍t-sî
一時之間	it-sî-tsi-kan
一時仔	tsi̍t-sî-á
一時失覺察	tsi̍t-sî-sit-kak-tshat
一時心適興	tsi̍t-sî-sim-sik-hing
一時無張持	tsi̍t-sî-bô-tiunn-tî
一時無斟酌	tsi̍t-sî-bô-tsim-tsiok
一時無注意	tsi̍t-sî-bô-tsù-ì
一時袂比得一時	tsi̍t-sî-bē-pí-tit-tsi̍t-sî
一時風駛一時船	Tsi̍t-sî-hong-sái-tsi̍t-sî-tsûn
一晡	tsi̍t-poo
一晡久	tsi̍t-poo-kú
一暝日	tsi̍t-mê-ji̍t
一暫仔	tsi̍t-tsām-á
一月	it-gue̍h
一月外	tsi̍t-gue̍h-guā
一月捅	tsi̍t-gue̍h-thóng
一望無盡	it-bōng-bô7-tsīn
一朝	it-tiau
一本萬利	it-pún-bān-lī
一板一眼	it-pán-it-gán
一枇弓蕉	tsi̍t-pî-king-tsio
一枝獨秀	it-ki-to̍k-siù
一枝竹篙壓倒一船載	tsi̍t-ki-tik-ko-ah-tó-tsi̍t-tsûn-tsài
一枝花	it-ki-hue
一枝香	tsi̍t-ki-hiunn
一桮	tsi̍t-pue
一條根	it-tiâu-kin
一條歌	tsi̍t-tiâu-kua
一條腸仔通尻川	tsi̍t-tiâu-tn̂g-á-thong-kha-tshng
一條錢	tsi̍t-tiâu-tsînn
一概	it-khài
一模一樣	it-bôo-it-iūnn
一樣	tsi̍t-iūnn
一樣米飼百樣人	tsi̍t-iūnn-bí-tshī-pah-iūnn-lâng
一欉香	tsi̍t-tsâng-hiunn
一步取	tsi̍t-pōo-tshú
一步登天	it-pōo-ting-thian
一步𬦰上天	tsi̍t-pōo-peh-tsiūnn-thinn
一死百了	it-sú-pah-liáu
一毛不拔	it-môo-put-pua̍t
一氣	tsi̍t-khuì
一氧化碳	it-iông-huà-thuànn
一決雌雄	it-kuat-tshu-hiông
一波三折	it-pho-sam-tsiat
一注錢	tsi̍t-tù-tsînn
一派胡言	it-phài-hôo-giân
一流	it-iû
一流水	it-liû-suí
一清二楚	it-tshing-jī-tshó
一清二白	it-tshing-jī-pi̍k
