# Serbo-Croatian accent TRANSITIONS — the OOV tier. Key: <ending>|<stem tone>. Value:
# <nucleus shift><TAB><resulting tone><TAB><tone agreement, 0-100><TAB><support>.
# Applied to a stem whose accent is known, NOT used to predict an accent from nothing.
# The shift is always taken (its alternative, first-nucleus, scores 66.8% on these words);
# the tone is withheld below the engine's agreement threshold, as a homograph's is.
# Learned from stress.tsv itself. See tools/serbian/build_sh_accent_transitions.py.
a|--	0	--	33	51
a|LF	0	LF	29	230
a|LR	-1	SR	59	323
a|SF	0	SF	57	279
a|SR	1	LR	72	1505
aba|SF	0	SR	100	2
ac|--	0	LR	100	5
ac|LF	0	LR	92	25
ac|LR	0	LR	100	2
ac|SF	0	LR	62	52
ac|SR	1	LR	65	40
aci|--	0	SF	100	1
aci|LF	1	LR	100	2
aci|SF	0	SF	67	3
ad|--	0	SF	100	1
ad|LF	0	SF	100	2
ada|SF	1	LR	67	3
adi|SF	0	SF	100	1
ado|SF	1	LF	100	1
aj|LF	0	SR	100	1
aj|LR	0	SF	100	2
aj|SR	1	SR	50	2
ak|--	0	SF	100	2
ak|LF	0	SF	38	21
ak|LR	0	LR	50	12
ak|SF	0	SR	38	24
ak|SR	0	SR	57	7
aka|--	0	SR	50	2
aka|LF	0	SF	60	5
aka|SF	0	SR	50	6
aka|SR	0	SR	100	1
ako|--	0	SF	100	1
ako|SR	2	SR	100	1
al|SF	0	SR	100	3
ala|LF	1	LR	50	2
ala|SF	1	LR	50	2
ale|LF	1	LR	100	1
ali|LF	0	SR	100	1
alj|--	0	SF	100	1
alj|LF	0	SF	50	2
alo|LF	0	SR	33	3
alo|LR	1	SR	100	1
alo|SF	1	SR	100	1
alt|LF	0	SR	100	1
am|--	0	SR	100	1
am|LF	0	LF	50	2
ama|LF	1	LR	50	2
ama|SF	0	SF	100	1
amo|LF	0	SF	100	1
an|--	0	SR	50	4
an|LF	0	LR	32	34
an|LR	0	LR	92	25
an|SF	0	SF	83	78
an|SR	0	SR	61	31
ana|--	0	SF	100	1
ana|LF	1	SR	67	3
ana|SF	0	SF	80	5
ana|SR	2	SR	67	3
and|SF	1	SR	100	1
ane|SF	0	SF	100	1
ani|LF	0	SR	100	1
ani|SF	0	SF	50	2
ani|SR	1	LR	100	1
anj|LF	0	LF	50	4
anj|SF	0	SF	40	5
ant|SR	1	SR	100	2
ao|LF	0	LR	100	3
ao|SF	1	LR	50	2
ap|LF	0	SR	100	1
apa|LF	0	SR	100	1
ar|--	0	SF	100	1
ar|LF	0	SR	57	14
ar|SF	0	SR	64	11
ar|SR	1	SR	50	2
ara|LF	0	SR	100	1
ara|SF	0	SR	50	2
ard|LF	0	SR	100	1
as|LF	0	SR	100	1
as|SF	1	SR	100	1
asa|LF	1	LR	100	1
ast|LF	0	--	100	1
ast|SF	1	SR	60	5
at|LF	0	SR	50	2
at|SF	0	SR	60	5
at|SR	1	SR	100	2
ata|--	0	SR	100	1
ata|LF	1	SR	100	1
ata|SF	0	SR	100	1
ati|--	0	SR	40	5
ati|LF	0	LR	60	35
ati|LR	1	LR	62	24
ati|SF	0	SR	40	68
ati|SR	1	LR	64	36
av|--	0	SR	100	1
av|LF	0	SF	88	8
av|SF	1	SR	50	4
ava|LF	0	LF	100	1
ava|SF	0	SF	100	2
avi|LF	1	LF	100	1
aza|--	0	LF	100	1
aze|SF	0	SR	100	1
aći|LF	0	SR	100	1
aći|SF	0	SR	100	1
ač|LF	0	SR	100	5
ač|LR	1	SR	100	3
ač|SF	0	SR	100	5
ač|SR	1	SR	100	1
ača|LF	0	SR	100	3
ača|SF	1	SR	100	1
ača|SR	0	SF	67	3
ače|LF	0	SF	100	2
ače|SF	0	SF	100	3
aš|--	1	SR	100	1
aš|LF	1	SR	100	1
aš|LR	1	SR	100	1
aš|SF	0	SR	100	10
aš|SR	1	SR	100	5
až|SF	0	SR	100	1
aža|LF	1	LR	100	1
aлa|LF	1	LR	100	1
aрa|SF	0	SF	100	1
aње|SF	0	LF	100	1
b|--	0	--	50	2
b|LF	0	SF	50	2
b|SF	0	LF	100	2
ba|--	1	SR	67	3
ba|LF	0	--	71	7
ba|LR	0	SR	67	3
ba|SF	0	SR	67	9
bac|SF	0	SR	100	1
ban|LF	0	SR	100	1
bar|--	0	SR	100	1
bar|LF	0	SF	50	2
bat|LF	1	SR	100	1
bec|LF	0	SR	100	1
bel|SF	0	SR	100	1
ben|LF	0	SF	100	1
beo|SF	0	SR	100	1
ber|LF	0	SF	100	1
ber|SF	0	SF	100	1
bet|SF	1	SR	50	2
bi|--	0	SF	100	1
bi|LF	0	LR	71	7
bi|SF	0	SR	100	5
bil|SF	0	SR	100	1
bio|SF	0	SR	100	1
bir|--	0	SR	100	1
bir|LR	0	SF	100	1
bis|--	0	SR	100	1
bit|SR	0	SF	100	1
bni|SF	0	SF	100	1
bo|--	1	SR	100	1
bo|SF	0	SF	100	1
boj|SF	0	SF	100	1
bok|LF	0	SR	100	1
bol|LF	0	LF	100	1
bon|SF	0	SR	100	1
bor|SF	0	LR	33	3
bun|LF	0	SR	100	1
bus|SR	2	LR	100	1
c|--	0	LR	71	21
c|LF	0	LR	64	14
c|LR	0	LR	91	54
c|SF	0	LR	54	24
c|SR	0	LR	81	26
ca|--	0	SR	41	29
ca|LF	0	LR	30	61
ca|LR	0	LR	64	25
ca|SF	0	SF	55	103
ca|SR	0	SR	82	80
car|--	0	SR	100	1
ce|--	0	SR	100	5
ce|LF	0	SR	40	10
ce|LR	-1	SR	67	3
ce|SF	0	SF	36	11
ce|SR	1	LR	60	5
cen|LF	1	SR	100	1
cer|--	0	SR	100	1
cer|LF	0	SR	100	1
ces|SF	0	SR	100	1
ci|--	0	SR	37	19
ci|LF	0	LR	42	59
ci|LR	0	LR	80	25
ci|SF	0	SF	44	73
ci|SR	0	LR	49	59
cid|LF	1	SR	100	1
cid|LR	1	SR	100	1
cij|LF	0	LF	100	1
cil|LF	1	SR	100	1
cis|SF	0	SR	100	1
cka|LF	0	SR	100	1
co|LR	1	SR	100	1
co|SR	1	LR	100	1
com|--	0	SR	100	5
com|LF	0	SR	44	9
com|LR	0	SR	100	1
com|SF	0	SR	40	5
com|SR	1	SR	100	1
cu|--	0	SR	100	5
cu|LF	0	SR	40	10
cu|LR	1	SR	100	2
cu|SF	0	SR	29	7
cu|SR	1	LR	75	4
cuz|SF	0	SR	100	1
d|--	0	SR	67	3
d|LF	0	SF	100	2
d|LR	0	SF	100	3
d|SF	0	SF	58	12
d|SR	0	SR	100	2
da|--	1	LR	80	5
da|LF	0	LF	75	4
da|LR	0	SR	100	1
da|SF	1	LR	60	5
da|SR	0	SR	100	1
dac|SR	2	LR	100	1
dah|LF	0	SR	100	1
dak|--	1	LR	100	1
dak|LF	0	SF	100	1
dan|--	0	SF	67	3
dan|LF	0	SF	50	2
dan|SF	0	SR	60	5
dan|SR	1	SR	50	2
dar|SF	0	SF	50	2
dat|LF	0	SR	50	2
dać|--	1	SR	100	1
dač|SR	1	SR	100	1
daš|LF	0	SF	100	1
dba|--	0	SR	100	1
dba|SF	0	SR	50	2
dba|SR	0	SR	100	1
dbi|--	0	SR	100	1
dbi|SF	0	LR	100	1
de|--	0	SF	100	1
de|LF	0	SF	50	2
de|SF	0	SF	40	5
der|LF	0	LF	100	1
der|SF	0	SF	50	2
dev|SF	0	LR	100	1
di|--	0	--	100	1
di|LF	0	LF	75	4
di|LR	0	SF	100	1
di|SR	0	SR	100	1
dij|SF	0	SR	100	1
dir|--	1	SR	100	1
div|SF	0	LR	100	1
diš|--	0	SR	100	1
dje|LF	0	SF	100	1
dle|LF	0	SR	100	1
dni|--	0	SF	100	2
dni|SF	0	SR	100	2
dni|SR	0	SF	100	1
dno|--	0	SF	100	1
dno|SF	0	SR	100	2
do|--	0	SF	100	1
do|LF	0	LR	100	2
do|SR	1	SR	100	1
dok|SF	0	SR	100	1
dol|LF	1	SR	100	1
dol|LR	0	SR	100	1
dol|SR	0	SR	100	1
dor|SF	1	LR	100	1
dra|LF	0	SF	100	1
dra|SF	0	LF	50	2
dri|SF	0	SR	100	1
du|--	0	SF	100	1
duh|SF	0	SR	100	1
duk|SF	0	SR	100	1
dun|LF	0	SR	100	1
dur|LR	1	SR	100	1
dž|LF	0	SF	100	1
dža|LF	0	LF	100	1
dža|SF	1	SR	100	1
dži|LF	0	LF	100	1
e|--	0	SF	39	28
e|LF	0	LF	51	109
e|LR	0	LR	90	10
e|SF	0	SF	88	139
e|SR	0	SR	45	139
eb|LF	0	SF	100	1
ec|SF	1	LR	100	2
ec|SR	1	LR	100	1
ed|SF	0	SR	100	1
eda|LF	0	SR	100	1
ef|LF	0	SR	100	1
ef|SF	0	SR	100	1
eg|LF	0	SR	100	2
eg|SF	0	SR	50	2
ej|LF	0	SR	50	2
ej|LR	1	SR	100	1
ej|SF	1	LR	100	1
ej|SR	1	SR	100	1
ek|LF	0	SR	100	2
ek|SF	0	LR	100	1
eks|--	0	SR	100	1
el|--	0	SR	100	1
el|LF	0	SR	100	2
el|SF	0	SR	100	1
ela|LF	1	SR	83	6
ela|SF	2	SR	100	1
eli|LF	0	LR	100	1
elj|--	0	SR	100	1
em|--	0	SR	33	6
em|LF	0	SF	47	19
em|LR	0	LR	100	3
em|SF	0	SR	50	10
em|SR	0	SR	86	21
en|--	0	SF	100	2
en|LF	0	SR	46	13
en|LR	0	SR	100	3
en|SF	0	SR	57	7
en|SR	0	SR	100	1
end|LF	0	SR	100	1
ent|SF	0	--	100	1
eo|SF	0	LR	100	1
eon|SF	0	SR	100	1
ep|SF	0	SR	100	1
er|--	0	SR	100	1
er|LF	0	SF	57	14
er|LR	1	SR	100	2
er|SF	0	SR	50	24
er|SR	1	SR	82	11
era|LF	0	--	100	1
era|SF	0	SF	50	2
ern|LF	0	SR	100	1
ero|LF	0	SF	100	1
ero|LR	0	LR	100	1
ero|SF	0	SF	100	2
ero|SR	0	SR	100	2
esa|SF	2	--	100	1
est|SF	0	LR	100	1
et|--	0	SR	100	1
et|LF	0	SR	80	5
et|LR	0	SF	100	1
et|SF	0	SR	75	4
et|SR	1	LR	33	3
eta|--	0	SR	100	1
eta|LF	0	SR	100	1
eta|SF	1	--	67	3
eta|SR	2	SR	100	1
eti|--	1	SR	100	2
eti|LF	0	LR	80	10
eti|LR	1	LR	100	1
eti|SF	0	SR	62	8
eti|SR	1	SR	100	3
