# Egyptian Arabic (arz) SHORT-VOWEL / vocalization lexicon — bare word ⇥ canonical Egyptian IPA, mined from
# kaikki Egyptian Arabic (Wiktionary, CC BY-SA). REBUILT 2026-07-18 from the kaikki Egyptian IPA: correct ج→ɡ,
# ق→ʔ, plain s, majhūl o/e KEPT (the value the abjad g2p can't recover), narrow marks stripped + æ/ɪ/ʊ/ɾ/ɜ/ə/ɛ →
# broad a/i/u/r/e, gemination→length Cː, affricate ties, stress on the nucleus. The prior 554 had MSA artifacts
# (d͡ʒ for ج, spurious sˤ). Shipped refinement for FLEURS arz (eval stays rule-only, non-circular).
آسف	ˈaːsif
ثروت	sˈarwat
ج	ɡˈiːm
جاب	ɡˈaːb
جاكتة	ʒakˈitːa
جامد	ɡˈaːmid
جامع	ɡˈaːmiʕ
جامعة	ɡˈamʕa
جاي	ɡˈajː
جايز	ɡˈaːjiz
جبنه	ɡˈebna
جبنه رومي	ɡˈebnaˈruːmi
جتة	ɡˈitːa
جد	ɡˈidːe
جدة	ɡˈidːa
جراچ	ɡarˈaːʒ
جزر	ɡˈazar
جزمة	ɡˈazma
جزمة باتيناچ	ɡazmˈatbatinaːʒ
جلد	ɡˈild
جلود	ɡilˈuːd
جمباز	ɡumbˈaːz
جمبري	ɡambˈari
جمجمة	ɡomɡˈoma
جمهورية مصر العربية	ɡomhuːrˈijːetˈmasˤrelʕaraˈbejːa
جنزاري	ɡenzˈaːri
جنوب سينا	ɡaˌnubsˈiːna
جنينة	ɡenˈeːna
جنيه	ɡinˈeːh
جه	ɡˈih
جواز	ɡawˈaːz
جوانتي	ɡuwˈanti
جوز	ɡˈoːz
جومة	ɡˈoːma
جون	ɡˈoːn
جيبة	ʒˈiːba
جيلاتي	ʒilˈaːti
ح	ħ
حاجة	ħˈaːɡa
حارة	ħˈaːra
حب	ħˈabː
حتى	ħˈatːa
حج	ħˈaɡːe
حجازي	ħiɡˈaːziː
حدا	ħadˈaː
حداشر	ħidˈaːʃarˤ
حديد	ħadˈiːd
حديد تسليح	ħadi‿tːaslˈiːħ
حديدة	ħadˈiːda
حرر	ħˈarːar
حضرتك	ħadˤrˈetak
حط	ħˈatˤː
حلاق	ħalːˈaːʔ
حلزون	ħalazˈoːn
حلو	ħˈelw
حلوم	ħalːˈuːm
حما	ħˈama
حمار	ħumˈaːrˤ
حمام	ħamːˈaːm
حنش	ħˈanaʃ
حنطور	ħantˤˈuːr
حنك	ħˈanak
حيط	ħˈeːtˤ
حيطة	ħˈeːtˤa
خ	xˈa
خال	xˈaːl
خالة	xˈaːla
خالص	xˈaːɫesˤ
خامس	xˈaːmis
خد	xˈad
خربش	xˈarbeʃ
خرج	xˈaraɡ
خرسيس	xarsˈiːs
خفاش	xufːˈaːʃ
خماسين	xamasˈiːn
خمسة	xˈamsa
خمستاشر	χamastˈaːʃarˤ
خمسين	xamsˈiːn
خول	xˈawal
خيال	xajˈaːl
د	dˈaːl
داق	dˈaːʔ
دبانة	debːˈaːna
دحرج	dˈaħraɡ
درة	dˈora
دركسيون	diriksjˈoːn
دش	dˈuʃː
دغري	dˈuɣri
دقماق	duʔmˈaːʔ
دقن	dˈaʔn
دقيق	diʔˈiːʔ
دكتور	duktˈoːr
دكر	dˈakar
دلوقت	delwˈaʔt
دلوقتي	delwˈaʔti
دم	dˈamːe
دنيا	dˈonja
ده	dˈa
دهب	dˈahab
دور	dˈoːr
دوق	dˈawːaʔ
دول	dˈoːl
دي	dˈi
ديب	dˈiːb
ديموقراطية	dimuqratˤˈijːa
ذ	ðˈaːl
ذكي	zˈaki
ذهبى	zahˈabi
ذوق	zˈoːʔ
ر	rˈe
رأفت	rˈaʔfat
رابع	rˈaːbiʕ
راجل	rˈaːɡil
راح	rˈaːħ
راس	rˈaːs
رامي	rˈaːmi
رايب	rˈaːjib
ربع	rˈubʕ
رتم	rˈitm
رجع	rˈaɡaʕ
رجل	rˈiɡil
رد	rˈadː
رفع	rˈafaʕ
رفعت	rˈifʕat
رقبة	rˈaʔaba
رقم	rˈaqam
رمرم	rˈamram
رن	rˈanːe
روبابيكيا	robabikˈia
روح	rˈawːaħ
روچ	rˈoːʒ
ريجيم	riːʒˈiːm
ريچيم	riːʒˈiːm
ز	zˈe
زار	zˈaːr
زبادي	zabˈaːdi
زعل	zˈaʕal
زعلان	zaʕlˈaːn
زلمكة	zalamˈokːa
زود	zˈawːed
زي	zˈajː
س	sˈiːn
سأل	sˈaʔal
سؤال	suʔˈaːl
ساب	sˈaːb
سابع	sˈaːbiʕ
ساعة	sˈaːʕa
ساقع	sˈaːʔeʕ
سبتمبر	sebtˈamber
سبع	sˈabʕ
سبعة	sˈabʕa
سبعين	sabʕˈiːn
سبيط	subːˈeːtˤ
ست	sˈitːe
ستة	sˈitːa
ستيرنج	stˈiːrinɡ
ستين	sitːˈiːn
سرق	sˈaraʔ
سرير	sirˈiːr
سقع	sˈeʔeʕ
سكت	sˈikit
سكس	sˈeks
سكن	sˈikin
سكينة	sakːˈiːna
سلم	sˈilːim
سلمة	silːˈima
سماء	sˈama
سمع	sˈimiʕ
سمك	sˈamak
سنة	sˈaneh
سهل	sˈahːil
سوستة	sˈusta
سيخ	sˈiːx
سينا	sˈiːna
ش	ʃˈiːn
شاذ	ʃˈazː
شاف	ʃˈaːf
شاكوش	ʃaːkˈuːʃ
شال	ʃˈaːl
شباك	ʃiˈbːaːk
شبت	ʃabˈat
شبع	ʃˈabaʕ
شبورة	ʃabːˈuːra
شتر	ʃˈatar
شخر	ʃˈaxar
شر	ʃˈarː
شراب	ʃarˤˈaːb
شرب	ʃˈirib
شغال	ʃaɣːˈaːl
شغل	ʃˈuɣl
شفاطة	ʃafːˈaːtˤa
