# Serbo-Croatian accent lexicon — word<TAB>stressed-nucleus ordinal (0-based)<TAB>accent.
# The accent is the four-way pitch system: SR short-rising, LR long-rising, SF short-falling,
# LF long-falling, and `--` = the position is known but two contours are recorded for this
# spelling (grâd/grȁd), so the engine emits ˈ and withholds the tone rather than guessing.
# Position is emitted as ˈ; the accent becomes a Chao tone letter + length.
# Shared by the sr / hr / bs engines, which all run serbian.ts's g2p. A nucleus is a vowel OR a syllabic ⟨r⟩.
# From kaikki.org Serbo-Croatian (Wiktionary extract, CC-BY-SA) — built from the ACCENTED
# ORTHOGRAPHY (rijéka), not the IPA (/rjěːka/), which has a different nucleus count under the
# Ijekavian ⟨ije⟩ reflex. Both scripts. See tools/serbian/build_sh_stress_lexicon.py.
a	0	--
abad	0	SR
abadžija	0	SF
abadžić	0	SF
abaiti	1	LR
abaja	1	--
abak	0	SR
abakus	0	SR
abažur	1	SR
abažura	2	LR
abdal	0	SR
abdes	0	SR
abdest	0	SR
abdesthana	2	SR
abdicirajući	2	LR
abdiciranje	2	LR
abdicirati	2	LR
abdiciravši	2	LR
abdikacija	2	LR
abdikanata	1	SR
abdikant	1	SR
abdomen	1	LR
abdomenski	1	LR
abdominalan	0	SF
abdominalni	0	SF
abdovina	0	SR
abeceda	2	LR
abecedar	2	SR
abecedara	3	LR
abecedarij	2	SR
abecedirajući	3	LR
abecediranje	3	LR
abecedirati	3	LR
abecediravši	3	LR
abecedni	0	SF
abel	0	LR
aber	0	SR
abesinac	2	LR
abesinaca	1	SR
abesinci	2	LR
abesinija	2	LR
abesinka	1	SR
abesinski	1	SR
abhaski	0	SR
abhaz	0	SR
abhazi	0	SR
abhazija	0	SR
abhažanka	1	SR
abidjan	0	SR
abidjanski	1	SR
abidžan	0	SR
abidžanski	1	SR
ablacija	1	LR
ablativ	0	SF
ablaut	0	SR
ablendati	0	SR
ablender	0	SR
abnormalan	0	SF
abnormalni	0	SF
abnormalno	0	SF
abnormalnost	2	LR
abolicija	2	LR
abolicijski	2	LR
abonenata	1	SR
abonent	1	SR
abonentica	1	SR
abonentkinja	1	SR
abonirac	2	LR
aboniraca	1	SR
abonirajući	2	LR
aboniranje	2	LR
abonirati	2	LR
aboniravši	2	LR
abonirca	2	LR
abonirci	2	LR
abonman	1	SR
abonmana	2	LR
abonos	0	SR
aboridžin	2	SR
aboridžinica	2	SR
abortirajući	2	LR
abortiranje	2	LR
abortirati	2	LR
abortiravši	2	LR
abortus	1	SR
abrazija	1	LR
abraziv	1	SR
abrazivan	0	SF
abrazivni	0	SF
abrevijacija	3	LR
abrogirati	2	LR
abundati	1	SR
acetat	1	SR
acetata	2	LR
acetati	2	LR
acetilen	2	SR
acetilena	3	LR
aceton	1	SR
acetona	2	LR
acetonski	1	SR
ada	0	--
adam	0	SR
adaptacija	2	LR
adaptirajući	2	LR
adaptiranje	2	LR
adaptirati	2	LR
adaptiravši	2	LR
adekvatan	0	SF
adekvatni	0	SF
adekvatno	0	SF
adekvatnost	2	LR
adekvatnosti	2	LR
adekvatnošću	2	LR
adela	0	SR
adelaidski	2	SR
aden	0	LF
adenski	0	LR
adet	0	LR
adherenata	1	SR
adherent	1	SR
adicija	1	LR
adijabatski	2	SR
adisabebski	2	SR
adjektiv	0	SF
adjunkata	0	SR
adjunkt	0	SR
adjunkta	0	SF
adjustaža	2	LR
adjustirajući	2	LR
adjustiranje	2	LR
adjustirati	2	LR
adjustiravši	2	LR
administracija	3	LR
administrativac	4	LR
administrativaca	3	SR
administrativan	0	SF
administrativci	4	LR
administrativka	3	SR
administrativki	3	SR
administrativni	0	SF
administratorica	2	SR
admiral	1	SR
admirala	2	LR
admiralitet	3	SR
admiraliteta	4	LR
admirativ	2	SR
admitancija	2	SR
adneks	0	SR
adolescencija	3	SR
adolescentica	2	SR
adonis	0	SF
adopcija	1	SR
adoptacija	2	LR
adoptirajući	2	LR
adoptiran	1	SF
adoptiranje	2	LR
adoptirati	2	LR
adoptiravši	2	LR
adoracija	2	LR
adorati	1	SR
adorator	1	SR
adoratorica	1	SR
adorirajući	2	LR
adoriranje	2	LR
adorirati	2	LR
adoriravši	2	LR
adrenalin	2	SR
adrenalina	3	LR
adrenaline	0	SF
adrenalinom	3	LR
adrenalinski	2	SR
adrenalinu	3	LR
adresa	1	--
adresanata	1	SR
adresant	1	SR
adresar	1	SR
adresara	2	LR
adresat	1	SR
adresata	2	LR
adresirajući	2	LR
adresiranje	2	LR
adresirati	2	LR
adresiravši	2	LR
adresovati	0	SR
adriana	2	SR
adrijanopolj	3	SR
adrijanopolja	3	SR
adrijanopoljem	3	SR
adrijanopolju	3	SR
adsorbirajući	2	LR
adsorbiranje	2	LR
adsorbirati	2	LR
adsorbiravši	2	LR
adsorpcija	1	SR
adsorpcijski	1	SR
adut	0	SR
aduta	1	LR
advenat	0	SR
advenata	0	SR
advent	0	SR
adventist	1	SR
adventista	1	SR
adventistica	1	SR
adventistički	2	SR
adventistkinja	1	SR
adverb	0	SR
adverba	0	SR
adverban	0	SR
adverbijal	2	SR
adverbijalan	0	SF
adverbijalni	0	SF
adverbni	0	SR
advokat	1	SR
advokatica	2	SR
advokatski	1	SR
advokatstvo	2	LR
advokatura	3	LR
adzuki	1	SR
adžuvan	1	SR
adžuvana	2	LR
aeroban	0	SF
aerobici	2	SR
aerobik	2	SR
aerobika	2	SR
aerobiologija	5	SR
aerobički	2	SR
aerobni	0	SF
aerodinamika	4	SR
aerodinamičan	4	SR
aerodinamički	4	SR
aerodinamični	4	SR
aerodrom	2	SR
aerodromski	2	SR
aerogliser	3	SR
aerografija	3	SR
aerolit	2	SR
aerolita	3	LR
aerologija	3	SR
aeromehanika	4	SR
aeromehaničar	4	SR
aeronautika	4	SR
aeronautički	4	SR
aeroplan	0	SF
aeroplanski	0	SF
aerosol	0	SF
aerostat	0	SF
aerostatika	3	SR
afekata	0	SR
afekt	0	SR
afektacija	2	LR
afektirajući	2	LR
afektiranje	2	LR
afektirati	2	LR
afektiravši	2	LR
afel	0	SR
afera	1	LR
afereza	1	SR
aferim	1	SR
afgan	0	SR
afganac	1	LR
afganistan	2	SR
afganistana	3	LR
afganistanac	3	LR
afganistanka	2	SR
afganistanski	2	SR
afganka	0	SR
afganski	0	SR
afikasa	0	SR
afiks	0	SR
afiksa	0	--
afikse	0	SR
afinitet	2	SR
afiniteta	3	LR
afirmacija	2	LR
afirmativan	0	SF
afirmativni	0	SF
afirmativno	0	SF
afirmirajući	2	LR
afirmiran	1	SR
afirmiranje	2	LR
afirmirati	2	LR
afirmiravši	2	LR
aforist	1	SR
aforističar	2	SR
aforističarka	2	SR
aforistički	2	SR
aforizam	2	SR
afrazijski	1	LF
afrika	0	SR
afrikanac	2	LR
afrikanci	2	LR
afrikanist	2	SR
afrikanistica	2	SR
afrikanistika	3	SR
afrikanistkinja	2	SR
afrikanizacija	4	LR
afrikanizam	3	SR
afrikanizirati	4	LR
afrikanizma	3	SR
afrikanizmi	3	SR
afrikanizovati	3	SR
afrikanka	1	SR
afrikans	0	SR
afrikanski	1	SR
afrikata	2	LR
afričanin	1	LR
afričanka	1	SR
afrički	0	SR
afroamerikanac	5	LR
afroamerikanka	4	SR
afroazijski	2	LF
afrodita	1	SR
afrodizijak	2	SR
afrodizijački	2	SR
aga	0	--
agami	1	LR
agamija	1	LR
agava	1	LR
agbaba	1	SF
agda	0	--
agdi	0	LR
agenata	0	SR
agencija	1	SR
agent	0	SR
agentura	2	LR
agilan	0	SF
agilni	0	SF
agilno	0	SF
agilnost	1	LR
agilnosti	1	LR
agilnošću	1	LR
agitacija	2	LR
agitator	1	SR
agitirajući	2	LR
agitiranje	2	LR
agitirati	2	LR
agitiravši	2	LR
agitovati	0	SR
agitprop	0	SR
agitpropovac	0	SR
agitpropovca	0	SR
agić	0	LR
aglomeracija	3	LR
aglomerat	2	SR
aglomerata	3	LR
aglutinacija	3	LR
aglutinativan	0	SF
aglutinativni	0	SF
agneza	1	LR
agnosticizam	3	SR
agnostik	1	SR
agnostičar	1	SR
agnostičarka	1	SR
agnostičarki	1	SR
agnostički	1	SR
agoge	1	SR
agogika	1	SR
agogičan	1	SR
agogični	1	SR
agonija	1	SR
agranulocitoza	5	LR
agrar	0	SR
agrara	1	LR
agrarni	0	SR
agregat	1	SR
agregatni	1	SR
agresija	1	SR
agresivan	0	SF
agresivni	0	SF
agresivno	0	SF
agresivnost	2	LR
agresor	0	SR
agresorica	0	SR
agresorski	0	SR
agrikultura	3	LR
agrobiologija	4	SR
agrologija	2	SR
agronom	1	SR
agronomija	2	SR
agronomski	1	SR
agrostologija	3	SR
agrotehnika	2	SR
agrotehničar	2	SR
agrotehničarka	2	SR
agrotehnički	2	SR
agroturizam	3	SR
agroturizma	3	SR
agrumi	0	SR
ahat	0	SF
ahbab	0	SR
ahil	0	SR
ahilej	1	SR
ahiret	0	LR
ahmak	0	SR
ahmetović	1	LR
ais	0	SR
aj	0	SF
ajam	0	LR
ajatolah	2	SR
ajd	0	SF
ajde	0	SR
ajkula	0	SF
ajme	0	SR
ajmeh	0	SR
ajmo	0	SR
ajvar	0	SR
ajvara	1	LR
akademac	2	LR
akademački	2	SR
akademija	2	SR
akademijski	2	SR
akademik	2	SR
akademičar	2	SR
akademičarski	2	SR
akademski	1	SR
akadski	0	SR
akamoli	1	SF
akara	0	SF
akceleracija	3	LR
akcelerator	2	SR
akcenat	0	SR
akcenata	0	SR
akcent	0	SR
akcenta	0	SR
akcente	0	SR
akcenti	0	SR
akcentima	0	SR
akcentirajući	2	LR
