# Thai lexical dictionary — word<TAB>IPA (Chao tone contours ˩˩˦/˨˩/˧/˦˥/˥˩), for irregulars the rules
# can't derive. Ported+converted from espeak-ng-portable data/th/dictionary.jsonl (tone digits→Chao).
กีฏวิทยา	kˈiː˧ta˨˩wˌi˦˥ttʰa˦˥jˌaː˧
กุญชร	kˈu˧nt͡ɕʰɔː˧n
กุลสตรี	kˈu˧nla˦˥sˌa˨˩triː˧
กุ้งมังกร	kˈu˥˩ŋma˧ŋkˌɔː˧n
ก้าวล่วง	kˈaː˥˩wlua˥˩ŋ
ขบวนการ	kʰˈa˨˩bua˧nkˌaː˧n
ของเล่น	kʰˈɔː˩˩˦ŋle˥˩n
ขัดเกลา	kʰˈa˨˩tkla˧w
ขับเคลื่อน	kʰˈa˨˩pkʰlɯa˥˩n
ขายทอดตลาด	kʰˈaː˩˩˦jtʰɔː˥˩ttˌa˨˩laː˨˩t
ขีปนาวุธ	kʰˈiː˩˩˦pa˨˩nˌaː˧wu˦˥t
ข่มขืนกระทำชำเรา	kʰˈo˨˩mkʰɯː˩˩˦nkrˌa˨˩tʰa˧mt͡ɕʰˌa˧mra˧w
ข้อตกลง	kʰˈɔː˥˩to˨˩klˌo˧ŋ
ข้อยกเว้น	kʰˈɔː˥˩jo˦˥kwˌe˦˥n
ข้ออ้าง	kʰˈɔː˥˩ʔaː˥˩ŋ
ข้อเท็จจริง	kʰˈɔː˥˩tʰe˦˥tt͡ɕˌi˧ŋ
ข้อเท้า	kʰˈɔː˥˩tʰaː˦˥w
ข้อเสนอ	kʰˈɔː˥˩sa˨˩nˌɤː˩˩˦
ข้อเสนอแนะ	kʰˈɔː˥˩sa˨˩nˌɤː˩˩˦nɛ˦˥ʔ
ข้าพระพุทธเจ้า	kʰˈaː˥˩pʰra˦˥pʰˌu˦˥ttʰa˦˥t͡ɕˌaː˥˩w
ข้าพเจ้า	kʰˈaː˥˩pʰa˦˥t͡ɕˌaː˥˩w
ข้าราชการ	kʰˈaː˥˩raː˥˩tt͡ɕʰˌa˦˥kaː˧n
ข้าวมันไก่	kʰˈaː˥˩wma˧nkˌa˨˩j
ข้าวสวย	kʰˈaː˥˩wsua˩˩˦j
ข้าวเกรียบ	kʰˈaː˥˩wkria˨˩p
ข้าวเปลือก	kʰˈaː˥˩wplɯa˨˩k
คงเส้นคงวา	kʰˈo˧ŋse˥˩nkʰˌo˧ŋwaː˧
คณบดี	kʰˈa˦˥na˦˥bˌɔː˧diː˧
คณะกรรมการ	kʰˈa˦˥na˦˥kˌa˧mma˦˥kˌaː˧n
คณะรัฐมนตรี	kʰˈa˦˥na˦˥rˌa˦˥ttʰa˨˩mˌo˧ntriː˧
คณิตศาสตร์	kʰˈa˦˥ni˦˥ttˌa˨˩saː˨˩t
คนทรง	kʰˈo˧nso˧ŋ
คนธรรพ์	kʰˈo˧ntʰa˧n
คนสวน	kʰˈo˧nsua˩˩˦n
คนเสมือนไร้ความสามารถ	kʰˈo˧nsa˨˩mˌɯa˩˩˦nra˦˥jkʰwˌaː˧msaː˩˩˦mˌaː˥˩t
คนไร้ความสามารถ	kʰˈo˧nra˦˥jkʰwˌaː˧msaː˩˩˦mˌaː˥˩t
คบเพลิง	kʰˈo˦˥ppʰlɤː˧ŋ
คมนาคม	kʰˈa˦˥ma˦˥nˌaː˧kʰo˧m
ครรภ์	kʰˈa˧n
ครหา	kʰˈɔː˧ra˦˥hˌaː˩˩˦
ครองราชสมบัติ	kʰrˈɔː˧ŋraː˥˩tt͡ɕʰˌa˦˥so˩˩˦mbˌa˨˩t
