# German ⟨c⟩→/t͡s/ before a front vowel — word<TAB>consonant-ordinal+target,…
# SOURCE: the kaikki German extract (Wiktionary, CC-BY-SA). Generated by
# tools/gen/build-de-c-affricate.mts; merged into src/languages/german/consonant.tsv by
# build-de-consonant.mts. See LICENSES/PROVENANCE.md.
# A LIST, NOT A RULE: of the 249 kaikki words spelled with a bare ⟨c⟩ before a front vowel only 98
# take /t͡s/ — the rest are loans where /k/ or /s/ is right (City, Ceylon) — so /k/ stays the OOV
# default and the known words are named here.
acetat	0t͡s
aceton	0t͡s
acetyl	0t͡s
acetylcholin	0t͡s
acetylcholins	0t͡s
acetylen	0t͡s
acetylgruppe	0t͡s
acetylgruppen	0t͡s
acetylieren	0t͡s
acetyls	0t͡s
acetylsalicylsäure	0t͡s,5t͡s
acetylsäure	0t͡s
acidität	0t͡s
amylacetat	2t͡s
amylacetats	2t͡s
berylliumacetat	4t͡s
berylliumacetats	4t͡s
bleiacetat	2t͡s
bleiacetats	2t͡s
butylacetat	3t͡s
butylacetate	3t͡s
butylacetats	3t͡s
calciumacetat	2t͡s,4t͡s
calciumacetats	2t͡s,4t͡s
calciumcarbonat	2t͡s
calciumhaltig	2t͡s
celle	0t͡s
celsius	0t͡s
circa	0t͡s
cirruswolke	0t͡s
cirruswolken	0t͡s
cisalpin	0t͡s
citrin	0t͡s
copernicium	3t͡s
cyan	0t͡s
cypern	0t͡s
cyrenaika	0t͡s
cytokin	0t͡s
cytokine	0t͡s
cytokinese	0t͡s
cytokins	0t͡s
cytokinsturm	0t͡s
cytologie	0t͡s
cäcilia	0t͡s,1t͡s
cäcilie	0t͡s,1t͡s
cäsar	0t͡s
denunciren	3t͡s
fünfzigcentmünze	6t͡s
fünfzigcentmünzen	6t͡s
galicien	2t͡s
galicisch	2t͡s
glycin	2t͡s
haruspices	4t͡s
ice	0t͡s
incel	1t͡s
leucin	1t͡s
lucia	1t͡s
lucianisch	1t͡s
macis	1t͡s
matrices	3t͡s
mercedes	2t͡s
natriumacetat	4t͡s
natriumacetats	4t͡s
niacin	1t͡s
patricia	3t͡s
pentylacetat	4t͡s
pentylacetats	4t͡s
procedere	2t͡s
propylacetat	4t͡s
propylacetate	4t͡s
propylacetats	4t͡s
salicylsäure	2t͡s
silicium	2t͡s
siliciumhaltig	2t͡s
suicidium	1t͡s
syncytial	2t͡s
syncytium	2t͡s
viceadmiral	1t͡s
vicedirector	1t͡s
vicekanzler	1t͡s
vicepräsident	1t͡s
vincent	2t͡s
zwanzigcentmünze	7t͡s
zwanzigcentmünzen	7t͡s
