# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
ثابت	sɑːbɪt̪
ثانی	sɑːniː
ثبوت	səbuːt̪
ثریا	səɾʊjɑː
ثقافتی	səqɑːfə̲t̪iː
ثمر	səməɾ
ثواب	səʋɑːb
جئی	d͡ʒəiː
جا	d͡ʒɑː
جاؤ	d͡ʒɑːoː
جائداد	d͡ʒɑːjd̪ɑːd̪
جائز	d͡ʒɑːjəz
جائزہ	d͡ʒɑːjzɑ
جائپھل	d͡ʒɑːjpʰəl
جائیو	d͡ʒɑːɪjoː
جائیے	d͡ʒɑːɪjeː
جاتا	d͡ʒɑːt̪ɑː
جاتی	d͡ʒɑːt̪ɪ
جاتے	d͡ʒɑːt̪eː
جادو	d͡ʒɑːd̪uː
جادوٹونا	d͡ʒɑːd̪uːʈoːnɑː
جادوگر	d͡ʒɑːd̪uːɡəɾ
جادوگرنی	d͡ʒɑːd̪uːɡəɾniː
جادوگری	d͡ʒɑːd̪uːɡɾiː
جار	d͡ʒɑːɾ
جارجیا	d͡ʒɔːɾd͡ʒɪjɑː
جارجیائی	d͡ʒɔːɾd͡ʒɪjɑːiː
جارڈن	d͡ʒɔːɾɖən
جارک	d͡ʒɑːɾək
جاری	d͡ʒɑːɾiː
جاز	d͡ʒɑːz
جاسوس	d͡ʒɑːsuːs
جافنا	d͡ʒɑːfnɑː
جال	d͡ʒɑːl
جالا	d͡ʒɑːlɑː
جالندھر	d͡ʒɑːlənd̪ʱəɾ
جالون	d͡ʒɑːlɔːn
جالی	d͡ʒɑːliː
جام	d͡ʒɑːm
جاماتا	d͡ʒɑːmɑːt̪ɑː
جامع	d͡ʒɑːmɑː
جامعہ	d͡ʒɑːmə̲ʔɑ
جامن	d͡ʒɑːmʊn
جامنی	d͡ʒɑːmniː
جامہ	d͡ʒɑːmɑ
جان	d͡ʒɑːn
جانا	d͡ʒɑːnɑː
جانباز	d͡ʒɑː̃bɑːz
جانت	d͡ʒɑː̃t̪
جاننا	d͡ʒɑːnnɑː
جانور	d͡ʒɑːnʋəɾ
جانچ	d͡ʒɑː̃t͡ʃ
جانچنا	d͡ʒɑː̃t͡ʃnɑː
جانکاری	d͡ʒɑːnkɑːɾiː
جانگھ	d͡ʒɑːŋɡʱ
جانگھیا	d͡ʒɑː̃ɡʱɪjɑː
جانیں	d͡ʒɑːneː̃
جاوتری	d͡ʒɑːʋɪt̪ɾiː
جاوید	d͡ʒɑːʋeːd̪
جاٹ	d͡ʒɑːʈ
جاپان	d͡ʒɑːpɑːn
جاپانی	d͡ʒɑːpɑːniː
جاڑا	d͡ʒɑːɽɑː
جاگرت	d͡ʒɑːɡɾɪt̪
جاگنا	d͡ʒɑːɡnɑː
جاگیں	d͡ʒɑːɡeː̃
جاہل	d͡ʒɑːɦɪl
جایا	d͡ʒɑːjɑː
جب	d͡ʒəb
جبرائیل	d͡ʒɪbɾɑːiːl
جبرالٹر	d͡ʒɪbɾɑːlʈəɾ
جبل	d͡ʒəbəl
جبوتی	d͡ʒɪbʊt̪iː
جبڑا	d͡ʒəbɽɑː
جتانا	d͡ʒət̪ɑːnɑː
جتنا	d͡ʒɪt̪nɑː
جج	d͡ʒəd͡ʒ
جدا	d͡ʒʊd̪ɑː
جدائی	d͡ʒʊd̪ɑːiː
جدھر	d͡ʒɪd̪ʱəɾ
جدہ	d͡ʒeːd̪ːɑ
جدید	d͡ʒəd̪iːd̪
جذب	d͡ʒəzb
جذبات	d͡ʒəzbɑːt̪
جذبہ	d͡ʒəzbɑ
جرأت	d͡ʒʊɾɾət̪
جراب	d͡ʒʊɾɑːb
جراح	d͡ʒəɾɾɑːɦ
جرح	d͡ʒʊɾɦ
جرم	d͡ʒʊɾm
جرمانہ	d͡ʒʊɾmɑːnɑ
جرمن	d͡ʒəɾmən
جرمنی	d͡ʒəɾməniː
جزا	d͡ʒəzɑː
جزیرہ	d͡ʒəziːɾɑ
جس	d͡ʒɪs
جست	d͡ʒəst̪
جستا	d͡ʒəst̪ɑː
جستجو	d͡ʒʊst̪əd͡ʒuː
جستی	d͡ʒəst̪iː
جسم	d͡ʒɪsm
جسمانی	d͡ʒɪsmɑːniː
جسور	d͡ʒəsuːɾ
جسے	d͡ʒɪseː
جشن	d͡ʒəʃən
جعفر	d͡ʒɑːfəɾ
جعلی	d͡ʒɑːliː
جغرافیائی	d͡ʒəɣəɾɑːfʊjɑːiː
جفا	d͡ʒəfɑː
جل	d͡ʒəl
جلاد	d͡ʒəlːɑːd̪
جلال	d͡ʒəlɑːl
جلانا	d͡ʒəlɑːnɑː
جلجون	d͡ʒəld͡ʒoːnɪ
جلد	d͡ʒəld̪
جلدباز	d͡ʒəld̪əbɑːz
جلدی	d͡ʒəld̪iː
جلسہ	d͡ʒəlsɑ
جلن	d͡ʒələn
جلنا	d͡ʒəlnɑː
جلوا	d͡ʒəlʋɑː
جلوانا	d͡ʒəlʋɑːnɑː
جلوبھاجن	d͡ʒəlʋɪbʱɑːd͡ʒən
جلوس	d͡ʒʊluːs
جلوہ	d͡ʒəlʋɑ
جلیبی	d͡ʒəleːbiː
جم	d͡ʒəm
جما	d͡ʒəmɑː
جمائی	d͡ʒəmɑːiː
جماعت	d͡ʒəmɑːt̪
جماعتو	d͡ʒəmɑːʔə̲t̪oː
جماعتوں	d͡ʒəmɑːʔə̲t̪oː̃
جماعتیں	d͡ʒəmɑːʔə̲t̪eː̃
جمانا	d͡ʒəmɑːnɑː
جمبھ	d͡ʒəmbʱ
جمبھائی	d͡ʒə̃bʱɑːiː
جمدگنی	d͡ʒəmd̪əɡnɪ
جمشید	d͡ʒəmʃeːd̪
جمع	d͡ʒəmɑː
جمعرات	d͡ʒʊmeːɾɑːt̪
جمعہ	d͡ʒʊmɑ
جمعیت	d͡ʒəmiːjət̪
جملہ	d͡ʒʊmlɑ
جمنا	d͡ʒəmnɑː
جموانا	d͡ʒəmʋɑːnɑː
جموں	d͡ʒəmːuː
جمگھٹ	d͡ʒəmɡʱəʈ
جمہوریت	d͡ʒəmɦuːɾɪjət̪
جمہوریہ	d͡ʒəmɦuːɾɪjɑ
جمیکند	d͡ʒɪmiːkən̪d̪
جن	d͡ʒən
جناب	d͡ʒənɑːb
جنازہ	d͡ʒənɑːzɑ
جنبش	d͡ʒʊmbɪʃ
جنبھن	d͡ʒəmbʱən
جنت	d͡ʒənːət̪
جنتا	d͡ʒənt̪ɑː
جنتری	d͡ʒənt̪əɾiː
جنتو	d͡ʒənə̲t̪oː
جنتوں	d͡ʒənə̲t̪oː̃
جنتی	d͡ʒənə̲t̪iː
جنتیں	d͡ʒənə̲t̪eː̃
جندڑی	d͡ʒɪn̪d̪əɽiː
جنرل	d͡ʒənɾəl
جنس	d͡ʒɪ̃s
جنم	d͡ʒənm
جننا	d͡ʒənnɑː
جنوب	d͡ʒənuːb
جنوبی	d͡ʒənuːbiː
جنوری	d͡ʒənəʋɾiː
جنون	d͡ʒʊnuːn
جنکشن	d͡ʒəŋkʃən
جنگ	d͡ʒəŋɡ
جنگجو	d͡ʒəŋɡəd͡ʒuː
جنگل	d͡ʒəŋɡəl
جنگلا	d͡ʒəŋɡəlɑː
جنگی	d͡ʒəŋɡiː
جنھائی	d͡ʒʊnɦɑːiː
جنہار	d͡ʒʊnɦɑːɾ
جنہیں	d͡ʒɪnɦeː̃
جنیئو	d͡ʒəneːuː
جو	d͡ʒɔː
جوا	d͡ʒʊɑː
جواب	d͡ʒəʋɑːb
جواد	d͡ʒɪʋɑːd̪
جوار	d͡ʒʋɑːɾ
جواری	d͡ʒʊɑːɾiː
جواز	d͡ʒɪʋɑːz
جوازوں	d͡ʒɪʋɑːzoː̃
جوان	d͡ʒəʋɑːn
جوانو	d͡ʒɪʋɑːnoː
جوانوں	d͡ʒɪʋɑːnoː̃
جوانی	d͡ʒəʋɑːniː
جواٹ	d͡ʒuːɑːʈ
جواٹھ	d͡ʒuːɑːʈʰ
جوبن	d͡ʒoːbən
جوت	d͡ʒoːt̪
جوتا	d͡ʒuːt̪ɑː
جوتنا	d͡ʒoːt̪nɑː
جوتوں	d͡ʒuːt̪oː̃
جوتے	d͡ʒuːt̪eː
جوجھ	d͡ʒuːd͡ʒʱ
جوجھنا	d͡ʒuːd͡ʒʱnɑː
جوجے	d͡ʒoːd͡ʒeː
جودھا	d͡ʒoːd̪ʱɑː
جور	d͡ʒʋəɾ
جورجیا	d͡ʒoːɾd͡ʒɪjɑː
جوش	d͡ʒoːʃ
جوشن	d͡ʒoːʃən
جوشی	d͡ʒoːʃiː
جولائی	d͡ʒʊlɑːiː
جون	d͡ʒuːn
جوناگڑھ	d͡ʒuːnɑːɡəɽʱ
جونپوری	d͡ʒɔːnpʊɾiː
جونک	d͡ʒoːŋk
جوٹھا	d͡ʒuːʈʰɑː
جوڈو	d͡ʒuːɖoː
جوڈیو	d͡ʒuːɖɪjoː
جوڑ	d͡ʒoːɽ
جوڑا	d͡ʒoːɽɑː
جوڑنا	d͡ʒoːɽnɑː
جوکر	d͡ʒoːkəɾ
جوکھم	d͡ʒoːkʰɪm
جوکھمی	d͡ʒoːkʰɪmiː
جوگ	d͡ʒoːɡ
جوگن	d͡ʒoːɡən
جوگی	d͡ʒoːɡiː
جوں	d͡ʒuː̃
جوہانسبرگ	d͡ʒoːɦɑːnəsbəɾɡ
جوہر	d͡ʒɔːɦəɾ
جوہری	d͡ʒɔːɦɾiː
جوہنا	d͡ʒoːɦnɑː
جوہی	d͡ʒuːɦiː
جيوت	d͡ʒiːʋɪt̪
جٹ	d͡ʒʊʈ
جٹا	d͡ʒəʈɑː
جٹامانسی	d͡ʒəʈɑːmɑː̃siː
جٹنا	d͡ʒʊʈnɑː
جٹھانی	d͡ʒɪʈʰɑːniː
جٹھانیاں	d͡ʒəʈʰɑːnʊjɑː̃
جٹھانیو	d͡ʒəʈʰɑːnʊjoː
جٹھانیوں	d͡ʒəʈʰɑːnʊjoː̃
جپنا	d͡ʒəpnɑː
جڑ	d͡ʒəɽ
جڑنا	d͡ʒʊɽnɑː
جڑوانا	d͡ʒʱəɽʋɑːnɑː
جڑواں	d͡ʒʊɽʋɑː̃
جڑی	d͡ʒəɽiː
جکارتہ	d͡ʒəkɑːɾt̪ɑ
جکڑنا	d͡ʒəkəɽnɑː
جگ	d͡ʒəɡ
جگا	d͡ʒəɡɑː
جگاڑ	d͡ʒʊɡɑːɽ
جگت	d͡ʒəɡət̪
جگر	d͡ʒɪɡəɾ
جگنا	d͡ʒəɡnɑː
جگناتھ	d͡ʒəɡənːɑːt̪ʰ
جگنو	d͡ʒʊɡnuː
جگہ	d͡ʒəɡəɦ
جگے	d͡ʒəɡeː
جھا	d͡ʒʱɑː
جھارکھنڈ	d͡ʒʱɑːɾkʰəɳɖ
جھال	d͡ʒʱɑːl
جھالر	d͡ʒʱɑːləɾ
جھالنا	d͡ʒʱɑːlnɑː
جھانجھ	d͡ʒʱɑː̃d͡ʒʱ
جھانسی	d͡ʒʱɑː̃siː
جھاننا	t͡ʃʰɑːnnɑː
جھانٹ	d͡ʒʱɑː̃ʈ
جھانکنا	d͡ʒʱɑː̃knɑː
جھانکی	d͡ʒʱɑː̃kiː
جھاو	d͡ʒʱɑːuː
جھاڑ	d͡ʒʱɑːɽ
جھاڑنا	d͡ʒʱɑːɽnɑː
جھاڑو	d͡ʒʱɑːɽuː
جھاڑی	d͡ʒʱɑːɽiː
جھاگ	d͡ʒʱɑːɡ
جھجھک	d͡ʒʱɪd͡ʒʱək
جھرمٹ	d͡ʒʱʊɾmʊʈ
جھرنا	d͡ʒʱəɾnɑː
جھروکا	d͡ʒʱəɾoːkʰɑː
جھری	d͡ʒʱʊɾɾiː
جھلم	d͡ʒʱɪləm
جھلمل	d͡ʒʱɪlmɪl
جھلملا	d͡ʒʱɪlmɪlɑː
جھلملانا	d͡ʒʱɪlmɪlɑːnɑː
جھلملاہٹ	d͡ʒʱɪlmɪlɑːɦəʈ
جھلملی	d͡ʒʱɪlmɪliː
جھلنا	d͡ʒʱəlnɑː
جھلک	d͡ʒʱələk
جھمیلا	d͡ʒʱəmeːlɑː
جھمیلو	d͡ʒʱəmeːloː
جھمیلوں	d͡ʒʱəmeːloː̃
جھمیلے	d͡ʒʱəmeːleː
جھنجھوڑنا	d͡ʒʱə̃d͡ʒʱoːɽnɑː
جھنجھٹ	d͡ʒʱəɲd͡ʒʱəʈ
جھنڈ	d͡ʒʱʊɳɖ
جھنڈا	d͡ʒʱəɳɖɑː
جھنڈوں	d͡ʒʱəɳɖoː̃
جھنڈی	d͡ʒʱəɳɖiː
جھنڈے	d͡ʒʱəɳɖeː
جھو	d͡ʒʱɔː
جھول	d͡ʒʱoːl
جھولا	d͡ʒʱuːlɑː
جھولنا	d͡ʒʱuːlnɑː
جھولی	d͡ʒʱoːliː
جھوم	d͡ʒʱuːm
جھومنا	d͡ʒʱuːmnɑː
جھونپڑا	d͡ʒʱoːmpəɽɑː
جھونکا	d͡ʒʱoːŋkɑː
جھوٹ	d͡ʒʱuːʈʰ
جھوٹا	d͡ʒʱuːʈʰɑː
جھوٹوں	d͡ʒʱuːʈoː̃
جھوٹھ	d͡ʒʱuːʈʰ
جھپٹ	d͡ʒʱəpəʈ
جھپٹا	d͡ʒʱəpəʈʈɑː
جھڑنا	d͡ʒʱəɽnɑː
جھڑپ	d͡ʒʱəɽəp
جھڑی	d͡ʒʱəɽiː
جھک	d͡ʒʱək
جھکنا	d͡ʒʱʊknɑː
جھکورنا	d͡ʒʱəkoːɾnɑː
جھگا	d͡ʒʱəɡɑː
جھگڑا	d͡ʒʱəɡɽɑː
جھگڑنا	d͡ʒʱəɡəɽnɑː
جھیل	d͡ʒʱiːl
جھیلمی	d͡ʒʱeːlə̲miː
جھینگا	d͡ʒʱiːŋɡɑː
جھینگر	d͡ʒʱiːŋɡʊɾ
جہاد	d͡ʒɪɦɑːd̪
جہاز	d͡ʒəɦɑːz
جہازمار	d͡ʒəɦɑːzmɑːɾ
جہازی	d͡ʒəɦɑːziː
جہان	d͡ʒəɦɑːn
جہانگير	d͡ʒəɦɑː̃ɡiːɾ
جہاں	d͡ʒəɦɑː̃
جہلم	d͡ʒʱeːləm
جہنم	d͡ʒɛɦɛnːəm
جی	d͡ʒiː
جیالا	d͡ʒʊjɑːlɑː
جیامیتی	d͡ʒjɑːmɪt̪ɪ
جیب	d͡ʒeːb
جیبوں	d͡ʒeːboː̃
جیبھ	d͡ʒiːbʱ
جیبیں	d͡ʒeːbeː̃
جیت	d͡ʒiːt̪
جیتنا	d͡ʒiːt̪nɑː
جیجا	d͡ʒiːd͡ʒɑː
جیجی	d͡ʒiːd͡ʒiː
جیر	d͡ʒiːɾ
جیرا	d͡ʒiːɾɑː
جیسا	d͡ʒɛːsɑː
جیل	d͡ʒeːl
جیمنا	d͡ʒiːmnɑː
جین	d͡ʒiːn
جینا	d͡ʒiːnɑː
جینس	d͡ʒiːns
جینٹو	d͡ʒeːɳʈuː
جیو	d͡ʒɛːʋ
جیوتی	d͡ʒjoːt̪ɪ
جیون	d͡ʒiːʋən
جیوڑی	d͡ʒeːʋɽiː
جیوی	d͡ʒiːʋiː
جیٹھ	d͡ʒeːʈʰ
جیٹھانی	d͡ʒeːʈʰɑːniː
جیٹھوں	d͡ʒeːʈʰoː̃
جیکٹ	d͡ʒɛːkeːʈ
جیگوار	d͡ʒɛːɡʊɑːɾ
جے	d͡ʒɛj
حاجت	ɦɑːd͡ʒət̪
حادثات	ɦɑːd̪ə̲sɑːt̪
حادثوں	ɦɑːd̪ə̲soː̃
حادثہ	ɦɑːd̪sɑ
حادثے	ɦɑːd̪ə̲seː
حاصل	ɦɑːsɪl
حاضر	ɦɑːzɪɾ
حاضرات	ɦɑːzɪɾɑːt̪
حاضراتى	ɦɑːzɪɾɑːt̪iː
حاضری	ɦɑːzɪɾiː
حافظ	ɦɑːfɪz
حافظہ	ɦɑːfɪzɑ
حال	ɦɑːl
حالات	ɦɑːlɑːt̪
حالانکہ	ɦɑːlɑː̃kɪ
حالت	ɦɑːlət̪
حالیہ	ɦɑːlɪjɑ
حام	ɦɑːm
حامی	ɦɑːmiː
حامیو	ɦɑːmʊjoː
حامیوں	ɦɑːmʊjoː̃
حبشی	ɦəbʃiː
حبقوق	ɦəbəqquːq
حبیب	ɦəbiːb
حج	ɦəd͡ʒː
حجاب	ɦɪd͡ʒɑːb
حجام	ɦəd͡ʒːɑːm
حجامت	ɦəd͡ʒɑːmət̪
حجرہ	ɦʊd͡ʒɾɑ
حد	ɦəd̪
حدیث	ɦəd̪iːs
حراست	ɦɪɾɑːsət̪
حرام	ɦəɾɑːm
حرامی	ɦəɾɑːmiː
حرف	ɦəɾəf
حرم	ɦəɾəm
حرمزئی	ɦəɾməzəiː
حرکت	ɦəɾkət̪
حساب	ɦɪsɑːb
حسد	ɦəsəd̪
حسرت	ɦəsɾət̪
حسن	ɦʊsn
حسین	ɦəsiːn
حسینہ	ɦəsiːnɑ
حشرہ	ɦəʃə̲ɾɑ
حشفہ	ɦəʃə̲fɑ
حصہ	ɦɪsːɑ
حضرت	ɦəzɾət̪
حضور	ɦʊzuːɾ
حفاظت	ɦɪfɑːzət̪
حق	ɦəq
حقوق	ɦəquːq
حقہ	ɦʊkːɑ
حقیقت	ɦəqiːqət̪
حل	ɦəl
حلال	ɦəlɑːl
حلب	ɦələb
حلف	ɦələf
حلق	ɦələq
حلقہ	ɦəlqɑ
حلم	ɦəlm
حلوہ	ɦəlʋɑ
حليم	ɦəliːm
حمار	ɦɪmɑːɾ
حماقت	ɦɪmɑːqət̪
حمام	ɦəmɑːm
حمایت	ɦɪmɑːjət̪
حمد	ɦəmd̪
حمص	ɦʊmːʊs
حملہ	ɦəmlɑ
حنا	ɦɪnɑː
حنوک	ɦənoːk
حنوکاہ	ɦənuːkɑːɦ
حوا	ɦɔːʋɑː
حواری	ɦɪʋɑːɾiː
حواریو	ɦɪʋɑːɾʊjoː
حواریوں	ɦɪʋɑːɾjoː̃
حوالات	ɦəʋɑːlɑːt̪
حوالدار	ɦəʋəld̪ɑːɾ
حوالہ	ɦəʋɑːlɑ
حور	ɦuːɾ
حورو	ɦuːɾoː
حوروں	ɦuːɾoː̃
حوریں	ɦuːɾeː̃
حوصلہ	ɦɔːslɑ
حویلی	ɦəʋeːliː
حکم	ɦʊkm
حکمت	ɦɪkmət̪
حکمران	ɦʊkməɾɑːn
حکومت	ɦʊkuːmət̪
حکیم	ɦəkiːm
حیا	ɦəjɑː
حیات	ɦəjɑːt̪
حیاتیات	ɦʊjɑːt̪ʊjɑːt̪
حیاتین	ɦʊjɑːt̪iːn
حیثیت	ɦɛːsɪjət̪
حیدر	ɦɛːd̪əɾ
حیران	ɦɛːɾɑːn
حیرت	ɦɛːɾət̪
حیف	ɦɛːf
حیوان	ɦɛːʋɑːn
حیوانیت	ɦɛːʋɑːnɪjət̪
خاتمہ	xɑːt̪mɑ
خاتون	xɑːt̪uːn
خارج	xɑːɾɪd͡ʒ
خاسکر	xɑːskəɾ
خاص	xɑːs
خاصگی	xɑːsɡiː
خاصیت	xɑːsɪjət̪
خاطر	xɑːt̪ɪɾ
خاطرداری	xɑːt̪ɪɾd̪ɑːɾiː
خاقان	xɑːqɑːn
خالص	xɑːlɪs
خالصتان	xɑːlɪst̪ɑːn
خالق	xɑːlɪq
خالو	xɑːluː
خالہ	xɑːlɑ
خالی	xɑːliː
خاموش	xɑːmoːʃ
خاموشی	xɑːmoːʃiː
خامی	xɑːmiː
خان	xɑːn
خاندان	xɑːnd̪ɑːn
خاندانی	xɑːnd̪ɑːniː
خانساما	xɑːnsɑːmɑː
خانساماں	xɑːnsɑːmɑː̃
خانقاہ	xɑːnqɑːɦ
خانگی	xɑːnɡiː
خانہ	xɑːnɑ
خانیت	xɑːnɪjət̪
خاوند	xɑːʋən̪d̪
خاک	xɑːk
خاکا	xɑːkɑː
خاکسار	xɑːksɑːɾ
خاکستری	xɑːkəst̪əɾiː
خاکی	xɑːkiː
خبر	xəbəɾ
خبردار	xəbəɾd̪ɑːɾ
خبرنویش	xəbɾənʋiːs
خبطی	xəbt̪iː
خبیث	xəbiːs
ختم	xət̪m
ختنہ	xət̪nɑ
خدا	xʊd̪ɑː
خداوند	xʊd̪ɑːʋən̪d̪
خدرہ	xʊd̪ɾɑ
خدمت	xɪd̪mət̪
خدمتوں	xəd̪mət̪oː̃
خدمتگار	xɪd̪mət̪ɡɑːɾ
خدمتیں	xəd̪mət̪eː̃
خدیو	xəd̪iːʋ
خر	xəɾ
خراب	xəɾɑːb
خراش	xəɾɑːʃ
خرافات	xʊɾɑːfɑːt̪
خربوزہ	xəɾbuːzɑ
خرد	xʊɾd̪
خردبین	xʊɾd̪əbiːn
خرس	xəɾs
خرچ	xəɾt͡ʃ
خرچہ	xəɾt͡ʃɑ
خرگوش	xəɾɡoːʃ
خرید	xəɾiːd̪
خریدار	xəɾiːd̪ɑːɾ
خریداری	xəɾiːd̪ɑːɾiː
خریدنا	xəɾiːd̪nɑː
خریدوانا	xəɾiːd̪ʋɑːnɑː
خزانہ	xəzɑːnɑ
خزاں	xɪzɑː̃
خستگی	xəst̪əɡiː
خستہ	xəst̪ɑ
خسرو	xʊsɾoː
خسرہ	xəsɾɑ
خشبو	xəʃəbuː
خشت	xɪʃt̪
خشم	xəʃm
خشک	xʊʃk
خصم	xəsm
خصوصی	xəsuːsiː
خط	xət̪
خطا	xət̪ɑː
خطاب	xɪt̪ɑːb
خطبا	xət̪ə̲bɑː
خطرناک	xət̪əɾnɑːk
خطرہ	xət̪ɾɑ
خطیب	xət̪eːb
خفہ	xəfɑ
خفیہ	xʊfɪjɑ
خلاص	xəlɑːs
خلاصہ	xʊlɑːsɑ
خلاصی	xəlɑːsiː
خلاف	xɪlɑːf
خلافت	xɪlɑːfət̪
خلد	xʊld̪
خلش	xəlɪʃ
خلفا	xələ̲fɑː
خلق	xələq
خلقت	xɪlqət̪
خلیفہ	xəliːfɑ
خم	xəm
خمیازہ	xəmɪjɑːzɑ
خمیر	xəmiːɾ
خنجر	xəɲd͡ʒəɾ
خنجرو	xənd͡ʒəɾoː
خنجروں	xənd͡ʒəɾoː̃
خندق	xən̪d̪əq
خنزیریں	xənəziːɾeː̃
خواب	xʋɑːb
خواتین	xɪʋɑːt̪iːn
خواجہ	xʋɑːd͡ʒɑ
خوار	xʋɑːɾ
خواری	xʋɑːɾiː
خواہش	xʋɑːɦɪʃ
خوب	xuːb
خوبانی	xuːbɑːniː
خوبصورت	xuːbsuːɾət̪
خوبصورتی	xuːbsuːɾt̪iː
خوبی	xuːbiː
خود	xʊd̪
خودکشی	xʊd̪kʊʃiː
خور	xʊɾ
خوراک	xʊɾɑːk
خورخواہ	xɛːɾəxʋɑːɦ
خورشید	xʋʊɾʃeːd̪
خوش	xʊʃ
خوشا	xʊʃɑː
خوشاب	xʊʃɑːb
خوشامدی	xʊʃɑːmd̪iː
خوشبو	xʊʃbuː
خوشبیان	xʊʃəbjɑːn
خوشبیانی	xʊʃəbjɑːniː
خوشدل	xʊʃd̪ɪl
خوشدلی	xʊʃd̪ɪliː
خوشنما	xʊʃnʊmɑː
خوشنویس	xʊʃənʋiːs
خوشنویسی	xʊʃənʋiːsiː
خوشگوار	xʊʃəɡʋɑːɾ
خوشی	xʊʃiː
خوشیاں	xoːʃʊjɑː̃
خوشیوں	xoːʃʊjoː̃
خوف	xɔːf
خول	xoːl
خومانی	xuːmɑːniː
خون	xuːn
خونخوار	xuː̃xɑːɾ
خونی	xuːniː
خوک	xuːk
خوں	xuː̃
خپلو	xəpəluː
خچر	kʰət͡ʃːəɾ
خیابان	xɪjɑːbɑːn
خیاط	xʊjɑːt̪
خیال	xəjɑːl
خیالوں	xʊjɑːloː̃
خیر	xɛːɾ
خیرات	xɛːɾɑːt̪
خیریت	xɛːɾɪjət̪
خیلا	xeːlɑː
خیمہ	xɛːmɑ
داؤد	d̪ɑːuːd̪
داؤں	d̪ɑː̃ʋ
دائر	d̪ɑːjəɾ
دائی	d̪ɑːiː
دائیں	d̪ɑːeː̃
داب	d̪ɑːb
دابھ	d̪ɑːbʱ
داخل	d̪ɑːxɪl
داخلہ	d̪ɑːxɪlɑ
داخلی	d̪ɑːxɪliː
دادا	d̪ɑːd̪ɑː
داداگری	d̪ɑːd̪ɑːɡɪɾiː
دادر	d̪ɑːd̪ʊɾ
دادس	d̪ɑːd̪əs
دادسرا	d̪ɑːd̪əsɾɑː
دادنی	d̪ɑːd̪niː
دادی	d̪ɑːd̪iː
دار	d̪ɑːɾ
دارا	d̪ɑːɾɑː
دارجلنگ	d̪ɑːɾd͡ʒɪlɪŋɡ
داردر	d̪ɑːɾɪd̪ɾ
دارو	d̪ɑːɾuː
دارچینی	d̪ɑːɾt͡ʃiːniː
دارڈھی	d̪ɑːɾɖʱj
داریل	d̪ɑːɾeːl
داس	d̪ɑːs
داستان	d̪ɑːst̪ɑːn
داستانوں	d̪ɑːst̪ɑːnoː̃
داستانیں	d̪ɑːst̪ɑːneː̃
داغ	d̪ɑːɣ
داغستان	d̪ɑːɣɪst̪ɑːn
داغنا	d̪ɑːɣnɑː
داكھ	d̪ɑːkʰ
دال	d̪ɑːl
دام	d̪ɑːm
داماد	d̪ɑːmɑːd̪
دامن	d̪ɑːmən
دان	d̪ɑːn
دانت	d̪ɑː̃t̪
دانتکی	d̪ɑːnt̪ɪkiː
دانتی	d̪ɑː̃t̪iː
دانہ	d̪ɑːnɑ
دايجا	d̪ɑːjd͡ʒɑː
داڑم	d̪ɑːɽɪm
داڑھ	d̪ɑːɽʱ
داڑھی	d̪ɑːɽʱiː
داہنا	d̪ɑːɦɪnɑː
دایاں	d̪ɑːjɑː̃
دبئی	d̪ʊbəiː
دباؤ	d̪əbɑːʋ
دبانا	d̪əbɑːnɑː
دبدبہ	d̪əbəd̪bɑ
دبلا	d̪ʊblɑː
دبلانا	d̪ʊblɑːnɑː
دبنا	d̪əbnɑː
دبنگ	d̪əbəŋɡ
دبو	d̪əbːuː
دبوسہ	d̪əbuːsɑ
دبے	d̪ʊbeː
دت	d̪ʊt̪
دجلہ	d̪əd͡ʒlɑ
دختر	d̪ʊxt̪əɾ
دخل	d̪əxəl
ددا	d̪ɪd̪ɑː
در	d̪əɾ
دراز	d̪əɾɑːz
دراصل	d̪əɾəəsəl
درانتی	d̪əɾɑːn̪t̪iː
دراڑ	d̪əɾɑːɾ
دراگھری	d̪ʊɾɑːɡʱɾiː
دربار	d̪əɾbɑːɾ
دربل	d̪ʊɾbəl
درج	d̪əɾd͡ʒ
درجن	d̪ʊɾd͡ʒən
درجہ	d̪əɾd͡ʒɑ
درخت	d̪əɾəxt̪
درخش	d̪əɾəxʃ
درخواست	d̪əɾxɑːst̪
درخور	d̪əɾxʊɾ
درد	d̪əɾd̪
دردی	d̪əɾd̪iː
درزی	d̪əɾziː
درس	d̪əɾs
درست	d̪ʊɾʊst̪
درش	d̪ɾɪʃ
درشا	d̪ɾɪʃɑː
درشن	d̪əɾʃən
درشنیات	d̪əɾʃənʃɑːst̪ɾ
درشٹی	d̪ɾɪʃʈɪ
درفش	d̪əɾəfʃ
درمیان	d̪əɾmɪjɑːn
درمیانی	d̪əɾmɪjɑːniː
درندہ	d̪əɾɪn̪d̪ɑ
درواتو	d̪ɾəʋɑːt̪ʊ
