# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
آو	ɑːoː
آوارہ	ɑːʋɑːɾɑ
آواز	ɑːʋɑːz
آوازوں	ɑːʋɑːzoː̃
آوازیں	ɑːʋɑːzeː̃
آواس	ɑːʋɑːs
آوشيکتا	ɑːʋəʃjəkt̪ɑː
آوشیک	ɑːʋəʃjək
آٹا	ɑːʈɑː
آٹھ	ɑːʈʰ
آٹھواں	ɑːʈʰʋɑː̃
آپ	ɑːp
آپا	ɑːpɑː
آپت	ɑːpt̪ɪ
آپس	ɑːpəs
آپسی	ɑːpsiː
آپو	ɑːpoː
آچار	ɑːt͡ʃɑːɾ
آچاریہ	ɑːt͡ʃɑːɾj
آڈوانی	ɑːɖʋɑːɳiː
آڑ	ɑːɽ
آڑو	ɑːɽuː
آڑھت	ɑːɽʱət̪
آک	ɑːk
آکار	ɑːkɑːɾ
آکاش	ɑːkɑːʃ
آکاشی	ɑːkɑːʃiː
آکرت	ɑːkɾɪt̪
آکرشت	ɑːkəɾʃɪt̪
آکرمن	ɑːkɾəməɳ
آکسائڈ	ɔːksɑːɪɖ
آکلینڈ	ɔːklɛːɳɖ
آکھر	ɑːkʰəɾ
آکھنا	ɑːkʰnɑː
آکھیٹ	ɑːkʰeːʈ
آگ	ɑːɡ
آگار	ɑːɡɑːɾ
آگاہ	ɑːɡɑːɦ
آگاہی	ɑːɡɑːɦiː
آگرا	ɑːɡɾɑː
آگرہ	ɑːɡɾəɦ
آگھ	ɑːɡʱ
آگھات	ɑːɡʱɑːt̪
آگے	ɑːɡeː
آہ	ɑːɦɑ
آہتی	ɑːɦʊt̪ɪ
آہستہ	ɑːɦɪst̪ɑ
آیا	ɑːjɑː
آیمارا	ɑːjmɑːɾɑː
آیو	ɑːjʊ
آیوجن	ɑːjoːd͡ʒən
ائے	əeː
اب	əb
ابا	əbːɑː
ابابیل	əbɑːbiːl
ابالنا	ʊbɑːlnɑː
ابانا	ʊbɑːnɑː
ابتدا	ɪbt̪ɪd̪ɑː
ابتدائی	ɪbt̪ɪd̪ɑːiː
ابتسام	əbt̪əsɑːm
ابجد	əbd͡ʒəd̪
ابخاز	əbxɑːz
ابخازیا	əbxɑːzɪjɑː
ابد	əbd̪
ابداع	ɪbd̪ɑː
ابر	əbɾ
ابراہیم	ɪbɾɑːɦiːm
ابرنا	ʊbəɾnɑː
ابرو	əbɾuː
ابرى	əbɾiː
ابریق	ɪbɾiːq
ابلنا	ʊbəlnɑː
ابلیسیانہ	əbəliːsʊjɑːnɑ
ابن	ɪbn
ابو	əbːuː
ابٹن	ʊbʈən
ابچل	əbɪt͡ʃəl
ابکائی	ʊbkɑːiː
ابکنا	ʊbəknɑː
ابھاو	əbʱɑːʋ
ابھاگا	əbʱɑːɡɑː
ابھرام	əbʱɪɾɑːm
ابھرنا	ʊbʱəɾnɑː
ابھشیک	əbʱɪʃeːk
ابھلاش	əbʱɪlɑːʃ
ابھلاشا	əbʱɪlɑːʃɑː
ابھمان	əbʱɪmɑːn
ابھمانت	əbʱɪmɑːnɪt̪
ابھنندن	əbʱɪnən̪d̪ən
ابھی	əbʱiː
ابھیاس	əbʱjɑːs
ابھے	əbʱɛj
ابے	əbeː
اتار	ʊt̪ɑːɾ
اتارنا	ʊt̪ɑːɾnɑː
اتاق	ʊt̪ɑːq
اتالین	ɪt̪ɑːlɪjən
اتاولا	ʊt̪ɑːʋlɑː
اتتهہ	ət̪ɪt̪ʰɪ
اتحاد	ɪt̪ːɪɦɑːd̪
اتحادی	ət̪ə̲ɦɑːd̪iː
اتر	ʊt̪ːəɾ
اترائی	ʊt̪ɾɑːiː
اترادھنک	ʊt̪ːəɾɑːd̪ʱʊnɪk
اتراردھ	ʊt̪ːəɾɑːɾd̪ʱː
اترانا	ɪt̪ɾɑːnɑː
اترنا	ʊt̪əɾnɑː
اتری	ʊt̪ːəɾiː
اتسار	ət̪ɪsɑːɾ
اتصال	ət̪ə̲sɑːl
اتفاق	ɪt̪ːɪfɑːq
اتم	ʊt̪ːəm
اتنا	ɪt̪nɑː
اتوار	ɪt̪ʋɑːɾ
اتپیٹھکا	ʊt̪piːʈʰɪkɑː
اتکا	ət̪ə̲kɑː
اتھان	ʊt̪ʰːɑːn
اتھانا	ət̪ʰɑːnɑː
اتھاہ	ət̪ʰɑːɦ
اتھلا	ʊt̪ʰlɑː
اتھک	ət̪ʰək
اتہاس	ɪt̪ɪɦɑːs
اتہام	ət̪ə̲ɦɑːm
اتیاچاری	ət̪jɑːt͡ʃɑːɾiː
اتیراک	ət̪ɛːɾɑːk
اتینت	ət̪jənt̪
اثر	əsəɾ
اجازت	ɪd͡ʒɑːzət̪
