# Ilocano pronunciation lexicon: word <TAB> IPA. Mined from the STRESS-MARKED referees (kaikki ilo +
# wikipron ilo_latn, both human), normalized to our conventions. Fixes what the rule g2p cannot derive
# from spelling: LEXICAL gliding (garcia→ɡaɾsia stays, kua→kua) + the 6th vowel ⟨e⟩→[ɯ] + lexical stress.
# The shipped phonemizeWord consults this first; phonemizeWordRules (the eval path) bypasses it → NON-CIRCULAR.
'da	dˈa
balay	balˈaj
balbalay	balbalˈaj
bales	bˈalɛs
balete	balˈɛtɛ
baliad	baljˈad
balibad	balˈibad
baligawgaw	baliɡauɡˈau
balik	balˈik
balikas	balikˈas
balinghoy	baliŋhˈoj
balla	ballˈa
balligi	ballˈiɡi
balo	bˈalo
balon	bˈalun
banag	bˈanaɡ
banaoang	banˈawaŋ
banat	bˈanat
bandera	bandˈɛɾa
bandus	bandˈus
bangag	bˈaŋaɡ
bangar	baŋˈaɾ
bangir	bˈaŋiɾ
bangka	bˈaŋka
bangkay	baŋkˈaj
bangking	baŋkˈiŋ
banglo	baŋlˈo
bangued	baŋɡˈɛd
baniaga	banjˈaɡa
banias	banjˈas
bannawag	bannˈawaɡ
bannug	bannˈuɡ
bantay	bantˈaj
bantayan	bantˈajan
bao	baʔˈu
bao-angan	bawʔˈaŋan
baon	baˈun
baot	bˈaʔut
bapa	bˈapa
barato	baɾˈato
barbas	bˈaɾbas
barekbek	baɾɛkbˈɛk
barlig	bˈaɾliɡ
baro	baɾˈo
barot	bˈaɾut
barroga	baɾˈoɡa
bartek	baɾtˈɛk
basa	basˈa
basar	basˈaɾ
basi	bˈasi
baskag	baskˈaɡ
basol	bˈasol
bassit	bassˈit
basura	basˈuɾa
batallones	bataljˈonɛs
batea	batɛˈa
bateng	batˈɛŋ
batikuleng	batikulˈɛŋ
batil	batˈil
batok	bˈatok
bauang	bawˈaŋ
bauko	baʔˈuko
bautista	bawtˈista
bawang	bˈawaŋ
bawi	bˈawi
bay-a	baiʔˈa
bay-ong	bajʔˈoŋ
bayabas	bajˈabas
bayad	bˈajad
bayada	bajˈada
bayawak	bajˈawak
baybay	baibˈai
bayombong	bajˈomboŋ
bayuot	bajˈuʔut
beckel	bɯkkˈɯl
bedbed	bɛdbˈɛd
beh	bˈɛh
behikulo	bɛhˈikulo
beinte	bˈɛjntɛ
bendision	bɛndisjˈon
bengngat	bɛŋŋˈat
bersamina	bɛɾsamˈina
besao	bˈɯsaw
bessang	bɛssˈaŋ
bettak	bɛttˈak
biag	bjaɡ
bibig	bibˈiɡ
biblioteka	bibliotˈɛka
bidduang	biddwˈaŋ
biernes	bjˈɛɾnɛs
bilanggo	bilaŋɡˈo
birtud	biɾtˈud
bittaog	bittaʔˈoɡ
bituen	bitwˈɛn
bitwen	bitwˈɛn
blistt	blˈist
bobeda	bˈobɛda
boliney	bolˈinɛj
bontoc	bˈontok
botones	botˈonɛs
botos	bˈotos
brookside	bɾˈuksajd
buaya	bwˈaja
bubon	bubˈon
bucaneg	bukˈanɛɡ
bucay	bˈukaj
bucloc	bˈuklok
budo	bˈudu
buelta	bwˈɛlta
bugaso	buɡˈaso
bugi	bˈuɡi
bugnay	buɡnˈaj
buis	bwˈis
bukal	bukˈal
bukbok	bukbˈuk
buklaw	buklˈaw
bulakbol	bulakbˈol
bulalayao	bulalajˈao
bulan	bˈulan
bullo	bullˈu
bulong	bˈuloŋ
bulosan	bulˈosan
bumanglag	bumˈaŋlaɡ
bun-ayan	bunʔˈajan
buok	buʔˈok
burgos	bˈuɾɡos
burnham	bˈuɾnham
butaka	butˈaka
buwaya	buwˈaja
caasi	kaˈasi
cabanatuan	kabanatwˈan
cabaroan	kabaɾˈoan
cagayan	kaɡajˈan
calis	kˈalis
camdas	kamdˈas
cardenas	kˈaɾdɛnas
casilagan	kasilˈaɡan
castillo	kastˈiljo
cruz	kɾˈus
cuyapo	kujapˈo
daak	daʔˈak
daan	dˈaʔan
dado	dˈado
daeg	daʔˈɛɡ
daga	daɡˈa
