# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
استخر	اسْتخر
استخوان	اسْتخوان
استدن	اسْتدِن
استراحت	اسْتراحِت
استراحتگاه	اسْتراحتگاه
استراق	اسْتراق
استرس	اسْترِس
استقامت	اسْتقامِت
استم	استِم
استناد	اسْتناد
اسد	اسِد
اسطرلاب	اسطُرلاب
اسف	اسِف
اسفناج	اسْفناج
اسفنج	اسْفنج
اسفند	اسْفند
اسفندیار	اسفنْدَیار
اسفندیاری	اسفنْدَیاری
اسقف	اسقِف
اسلام‌آباد	اسلامِ‌آباد
اسلام‌گرا	اسلامْ‌گرا
اسلحه	اسلِحه
اسپانیا	اسپانِیا
اسپانیایی	اسپانِیایی
اسپرس	اسْپرس
اسپریس	اسْپْریس
اسپست	اسپِست
اسپغول	اسْپغول
اسپناخ	اسْپناخ
اسپهان	اسْپهان
اسپهانی	اسْپهانی
اسکدار	اسکُدار
اسکلت	اسْکلِت
اسکندر	اسکندِر
اشارت	اشارِت
اشتباه	اشْتباه
اشتباهی	اشْتباهی
اشتر	اشتِر
اشتراک	اشْتراک
اشتراکی	اشْتراکی
اشتغال	اشْتغال
اشتقاق	اشْتقاق
اشتلم	اشْتلِم
اشتها	اشْتها
اشتک	اشتِک
اشتیاق	اشْتَیاق
اشرج	اشرِج
اشرف	اشرِف
اشم	اشِم
اصابت	اصابِت
اصالت	اصالِت
اصطبل	اصْطبل
اصطلاح	اصْطلاح
اصغر	اصغِر
اصفهان	اصْفهان
اصفهانی	اصْفهانی
اصول‌گرا	اصولْ‌گرا
اضافت	اضافِت
اضطراب	اضْطراب
اضطراری	اضْطراری
اطاعت	اطاعِت
اطلاع	اطِلاع
اطلاعات	اطِلاعات
اطلس	اطلِس
اعتبار	اعْتبار
اعتدال	اعْتدال
اعتراض	اعْتراض
اعتراف	اعْتراف
اعتصاب	اعْتصاب
اعتقاد	اعْتقاد
اعتماد	اعْتماد
اعتکاف	اعْتکاف
اعتیاد	اعْتَیاد
اعشاریه	اعشارِیه
اعظم	اعظِم
اغتشاش	اغْتشاش
اغلب	اغلِب
افاغنه	افاغِنه
افتادن	افتادِن
افتخار	افْتخار
افترا	افْترا
افتضاح	افْتضاح
افراختن	افراختِن
افراسیاب	افراسِیاب
افراشتن	افراشتِن
افرنگ	افْرنگ
افروختن	افروختِن
افزودن	افزودِن
افسر	افسِر
افسردن	افسردِن
افسرده	افسُرده
افسردگی	افسُرْدگی
افسونگر	افسونگِر
افشاندن	افشاندِن
افشردن	افشردِن
افشره	افْشره
افضل	افضِل
افغانستان	افغانِستان
افق	افِق
افقی	افِقی
افکندن	افکندِن
افگندن	افگندِن
اقامت	اقامِت
اقتباس	اقْتباس
اقتصاد	اقْتصاد
اقتصادی	اقْتصادی
اقتضاء	اقْتضاء
اقدس	اقدِس
اقصر	اقصِر
اقلیدس	اقلیدِس
اقلیم‌شناسی	اقلیمْ‌شناسی
البانیا	البانِیا
البته	الْبته
البرز	البُرز
التزام	الْتزام
التفات	الْتفات
التماس	الْتماس
التهاب	الْتهاب
التیام	الْتَیام
الخ	الِخ
الخلیل	الْخلیل
الغیاث	الغِیاث
الف	الِف
الفبا	الِفبا
القاعده	القاعِده
الم	الِم
الموت	الِموت
الموتی	الِموتی
المپ	الِمپ
الک	الِک
الکل	الکُل
الکی	الِکی
امارت	امارِت
امامت	امامِت
امامعلی	امامْعلی
امامقلی	امامْقلی
امانت	امانِت
اماکن	اماکِن
امت	امِت
امتحان	امْتحان
امتداد	امْتداد
امتیاز	امْتَیاز
امرا	امِرا
امشب	امشِب
امل	امِل
امپدانس	امپِدانس
انباشتن	انباشتِن
انبر	انبِر
انبساط	انْبساط
انتباه	انْتباه
انتحار	انْتحار
انتخاب	انْتخاب
انتخابات	انْتخابات
انتزاع	انْتزاع
انتشار	انْتشار
انتصاب	انْتصاب
انتظار	انْتظار
انتظامی	انْتظامی
انتفاع	انْتفاع
انتفاعی	انْتفاعی
انتقاد	انْتقاد
انتقال	انْتقال
انتقام	انْتقام
انتها	انْتها
انتهاء	انْتهاء
انتگرال	انتِگرال
انجامیدن	انجامیدِن
انجماد	انْجماد
انجمن	انْجمِن
انحصار	انْحصار
انحطاط	انْحطاط
انحلال	انْحلال
انداختن	انداختِن
اندر	اندِر
اندرون	انْدرون
اندلس	انْدلُس
اندوختن	اندوختِن
اندودن	اندودِن
اندک	اندِک
اندکی	انْدکی
اندیشیدن	اندیشیدِن
انزجار	انْزجار
انزروت	انْزروت
انسان‌شناس	انسانْ‌شناس
انسان‌شناسی	انسانْ‌شناسی
انسجام	انْسجام
انسداد	انْسداد
انطاکیه	انطاکِیه
انطلیاس	انطِلیاس
انعطاف	انْعطاف
انعقاد	انْعقاد
انعکاس	انْعکاس
انفجار	انْفجار
انفجاری	انْفجاری
انفرادی	انْفرادی
انفست	انْفست
انفعال	انْفعال
انقباض	انْقباض
انقضا	انْقضا
انقضاء	انْقضاء
