آئي	aːiː
آکر	aːkʰᵊɾɪ
آکرڻ	aːkʰʊɾᵊɳʊ
آکيڙو	aːkʰeːɽoː
آکڙڻ	aːkʰʊɽᵊɳʊ
آکڻ	aːkʰᵊɳʊ
آڪاس	aːkaːsʊ
آڪرائي	aːkɪɾaːiː
آڪرو	aːkɪɾoː
آڪهه	aːkᵊhɪ
آڪڙ	aːkʊɽʊ
آڪڙڪرهو	aːkᵊɽᵊkᵊɾᵊhoː
آگ	aːɡᵊ
آگو	aːɡoː
آڱر	aːŋʊɾɪ
آڱوٺو	aːŋuːʈʰoː
آڱوٺي	aːŋuːʈʰiː
آڻ	aːɳᵊ
آڻڻ	aːɳᵊɳʊ
ائري	əʊɾiː
ائو	ʊə
ائي	əiː
ابابيل	əbaːbiːlʊ
اباهو	ʊbaːhoː
اباڻو	əbaːɳoː
ابتائڻ	ʊbᵊt̪aːɪɳʊ
ابتو	ʊbᵊt̪oː
ابتڙ	ʊbᵊt̪ᵊɽɪ
ابتڪنڊي	ʊbᵊt̪ᵊkᵊɳɖiː
ابداڻو	ʊbɪd̪aːɳoː
ابرڪ	əbɪɾᵊkᵊ
ابس	əbᵊsʊ
ابلک	əblᵊkʰʊ
ابهڻ	ʊbɪhᵊɳʊ
ابو	əboː
ابوبحر	əbuːbᵊhᵊɾʊ
ابورکو	ʊbuːɾkʰoː
ابورڻ	ʊbuːɾᵊɳʊ
ات	ʊt̪ɪ
اتابو	ət̪aːboː
اتارو	ʊt̪aːɾoː
اتارڻ	ʊt̪aːɾᵊɳʊ
اتر	ʊt̪ᵊɾʊ
اتراڌي	ʊt̪ɪɾaːd̪ʰiː
اتراڻ	ʊt̪ɪɾaːɳʊ
اترڌو	ʊt̪ɪɾɪd̪ʰoː
اتنائي	ət̪ɪnaːiː
اتنت	ət̪ᵊnt̪ɪ
اتو	ʊt̪uː
اتور	ət̪oːɾʊ
اتي	ʊt̪eː
اتيسار	ət̪iːsaːɾʊ
اتڻ	ʊt̪ᵊɳʊ
اتڻو	ʊt̪ɪɳoː
اثبات	ɪsbaːt̪ʊ
اثباتي	ɪsbaːt̪iː
اثر	əsᵊɾʊ
اجئه	əd͡ʒᵊɪ
اجاردار	ɪd͡ʒaːɾd̪aːɾʊ
اجارو	ɪd͡ʒaːɾoː
اجارڻ	ʊd͡ʒaːɾᵊɳʊ
اجايو	əd͡ʒaːjoː
اجاڙ	ʊd͡ʒaːɽᵊ
اجاڙڻ	ʊd͡ʒaːɽᵊɳʊ
اجبو	ʊd͡ʒɪboː
اجر	əd͡ʒᵊɾʊ
اجرڪ	əd͡ʒɪɾᵊkᵊ
اجرڻ	ʊd͡ʒɪɾᵊɳʊ
اجس	əd͡ʒᵊsʊ
اجل	ʊd͡ʒᵊlʊ
اجلائي	ʊd͡ʒlaːiː
اجورو	ʊd͡ʒuːɾoː
اجي	əd͡ʒiː
اجيت	əd͡ʒiːt̪ʊ
اجيرڻ	əd͡ʒiːɾᵊɳʊ
اجڙ	əd͡ʒᵊɽʊ
اجڙڻ	ʊd͡ʒɪɽᵊɳʊ
اجڪو	əd͡ʒᵊkoː
اجگيبي	əd͡ʒᵊɡɛːbiː
